Entity,Year,Oil production (Etemad & Luciana)
Italy,1900,0.02326
Italy,1901,0.02326
Italy,1902,0.03489
Italy,1903,0.02326
Italy,1904,0.04652
Italy,1905,0.069780001
Italy,1906,0.081410001
Italy,1907,0.093040001
Italy,1908,0.081410001
Italy,1909,0.069780001
Italy,1910,0.081410001
Italy,1911,0.116300001
Italy,1912,0.081410001
Italy,1913,0.081410001
Italy,1914,0.069780001
Italy,1915,0.069780001
Italy,1916,0.081410001
Italy,1917,0.069780001
Italy,1918,0.058150001
Italy,1919,0.058150001
Italy,1920,0.058150001
Italy,1921,0.04652
Italy,1922,0.04652
Italy,1923,0.058150001
Italy,1924,0.058150001
Italy,1925,0.093040001
Italy,1926,0.058150001
Italy,1927,0.069780001
Italy,1928,0.069780001
Italy,1929,0.069780001
Italy,1930,0.093040001
Italy,1931,0.186080002
Italy,1932,0.314010003
Italy,1933,0.314010003
Italy,1934,0.232600002
Italy,1935,0.186080002
Italy,1936,0.186080002
Italy,1937,0.162820002
Italy,1938,0.151190001
Italy,1939,0.139560001
Italy,1940,0.01163
Italy,1941,0.139560001
Italy,1942,0.151190001
Italy,1943,0.127930001
Italy,1944,0.081410001
Italy,1945,0.081410001
Italy,1946,0.127930001
Italy,1947,0.116300001
Italy,1948,0.104670001
Italy,1949,0.104670001
Italy,1950,0.093040001
Italy,1951,0.209340002
Italy,1952,0.744320007
Italy,1953,0.98855001
Italy,1954,0.837360008
Italy,1955,2.372520023
Italy,1956,6.617470065
Italy,1957,14.67706014
Italy,1958,17.97998018
Italy,1959,19.71285019
Italy,1960,23.23674023
Italy,1961,22.93436023
Italy,1962,21.00378021
Italy,1963,20.7479202
Italy,1964,31.04047031
Italy,1965,25.70230025
Italy,1966,20.4455402
Italy,1967,18.67778018
Italy,1968,17.50315017
Italy,1969,17.17751017
Italy,1970,16.34015016
Italy,1971,14.97944015
Italy,1972,13.39776013
Italy,1973,12.18824012
Italy,1974,11.89749012
Italy,1975,11.83934012
Italy,1976,12.89767013
Italy,1977,12.59529012
Italy,1978,16.88676017
Italy,1979,20.0036002
Italy,1980,40.09119484
Italy,1981,40.09119484
Italy,1982,38.32246565
Italy,1983,45.98695879
Italy,1984,48.34526436
Italy,1985,49.52441715
Italy,1986,39.55286442
Italy,1987,50.12675198
Italy,1988,64.18528955
Italy,1989,59.89754805
Italy,1990,64.48874452
Italy,1991,61.41502926
Italy,1992,66.29103239
Italy,1993,66.56012685
Italy,1994,69.84170317
Italy,1995,74.51857098
Italy,1996,80.29783463
Italy,1997,87.71225304
Italy,1998,84.77335621
Italy,1999,71.9804505
Italy,2000,79.31086016
Italy,2001,72.06986565
Italy,2002,76.54993287
Italy,2003,84.24414654
Italy,2004,90.32939445
Italy,2005,97.1701845
Italy,2006,98.18340691
Italy,2007,99.40818702
Italy,2008,94.79545922
Italy,2009,85.79844679
Italy,2010,92.05811498
Italy,2011,90.0409383
Italy,2012,89.0214428
Italy,2013,94.63251799
Italy,2014,99.89024826
