Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
Italy,1985,35.34,138.727,,0.437,1.715,
Italy,1988,40.421,141.27,,0.49,1.711,
Italy,1992,133.246,8.557,,1.582,0.102,
Italy,1993,131.845,8.499,,1.56,0.101,
Italy,1994,138.486,7.723,,1.634,0.091,
Italy,1996,123.056,29.511,,1.445,0.346,
Italy,1999,110.355,20.592,,1.289,0.241,
Italy,2000,138.333,24.516,588.19,1.615,0.286,6.866
Italy,2001,,,608.964,,,7.101
Italy,2002,,,635.903,,,7.411
Italy,2003,,,682.153,,,7.947
Italy,2004,,,734.851,,,8.558
Italy,2005,,,797.716,,,9.287
Italy,2006,,,847.414,,,9.867
Italy,2007,158.372,14.887,904.946,1.844,0.173,10.536
Italy,2008,145.988,14.636,929.455,1.699,0.17,10.819
Italy,2009,149.149,15.28,975.038,1.736,0.178,11.346
Italy,2010,149.753,14.272,967.696,1.742,0.166,11.255
Italy,2011,148.098,15.611,993.187,1.722,0.182,11.548
Italy,2012,141.737,14.629,1063.332,1.647,0.17,12.356
Italy,2013,137.912,15.025,1100.879,1.601,0.174,12.781
Italy,2014,141.489,12.848,,1.641,0.149,
