Entity,Year,"GDP (expenditure, multiple price benchmarks)","GDP (output, multiple price benchmarks)",Population,Number of people in work,Annual working hours per worker,Consumption of households and government (single price benchmark),Domestic absorption (consumption plus investment) (single price benchmark),"GDP (expenditure, single price benchmark)","GDP (output, single price benchmark)",Capital stock (single price benchmark),GDP (using national accounts growth rates),Consumption of households and government (using national accounts),Domestic absorption (consumption plus investment) (using national accounts),Capital stock (using national accounts),Total factor productivity index (using national accounts) (2017=1),Share of labour compensation in GDP,Real internal rate of return,Average depreciation rate of the capital stock,Share of household consumption in GDP,Share of gross capital formation in GDP,Share of government consumption in GDP,Share of merchandise exports in GDP,Share of merchandise imports in GDP,Share of residual trade and GDP statistical discrepancy in GDP,"GDP per capita (expenditure, multiple price benchmarks)","GDP per capita (output, multiple price benchmarks)","GDP per capita (expenditure, single price benchmark)","GDP per capita (output, single price benchmark)",GDP per capita (using national accounts growth rates),Productivity: output per hour worked,Trade openness (share of exports and imports in GDP)
Italy,1950,221477296875.0,213111062500.0,46980234.87489756,19913217.544555664,2099.530483702268,183170671875.0,227362593750.0,221763031250.0,214976921875.0,976759625000.0,340576968750.0,286050375000.0,360226000000.0,1924604000000.0,,59.43796634674072,12.34669983386993,2.80599817633628,68.66118311882019,20.55658549070358,16.54362678527832,4.47283610701561,-10.2075845003128,-0.02664110506884,4714.2654238482655,4536.185548401107,4720.347436332044,4575.901385922323,7249.367093564208,5.097325548840411,18.871507471541086
Italy,1951,238753406250.0,232222296875.0,47292405.573448375,19940393.447875977,2105.959489777644,194706078125.0,246949328125.0,240612125000.0,233771171875.0,1012381937500.0,370354812500.0,303541062500.0,387644875000.0,2001609125000.0,,59.43796634674072,12.3912900686264,2.86557134240865,65.85097312927246,22.34802991151809,17.43819862604141,5.01717627048492,-11.26960217952728,0.61522093601524,5048.451296883163,4910.350701326511,5087.753986764593,4943.101731459551,7831.168831638589,5.529936956857499,22.12865347453377
Italy,1952,246044781250.0,239642578125.0,47539749.80391706,20106498.71826172,2112.408182215964,206616203125.0,260533500000.0,249220796875.0,243274656250.0,1050191875000.0,386296187500.0,321523406250.0,407477500000.0,2075137750000.0,,59.43796634674072,12.9178985953331,2.90976203978061,67.2630786895752,22.163136303424828,17.66816675662994,4.588063806295391,-11.56306117773056,-0.11938501847907,5175.559027231713,5040.888500958298,5242.366606953942,5117.289368442475,8125.751378442697,5.642215785311334,20.64342070266026
Italy,1953,265633250000.0,256834968750.0,47829979.4119444,20320444.107055664,2118.8766212991595,217061734375.0,278582593750.0,269281250000.0,262611000000.0,1094660875000.0,410109093750.0,337077062500.0,434738781250.0,2167394750000.0,,59.43796634674072,13.69230896234512,2.94492896646261,65.71492552757263,23.42661172151565,16.94030314683914,5.0011046230793,-11.34655550122261,0.26361274067312,5553.69777001544,5369.748678709688,5629.967926198886,5490.510412689393,8574.31048041775,5.965066494496372,20.667140202075583
Italy,1954,278830250000.0,267962468750.0,48171072.63003043,20597179.4128418,2125.364867493748,222133312500.0,288260875000.0,281777562500.0,273421031250.0,1145449500000.0,426902218750.0,345003187500.0,450106000000.0,2268664750000.0,0.6114493608474731,59.43796634674072,14.049197733402249,2.97654476016759,64.22579288482666,24.18524771928787,17.01642572879791,5.16782701015472,-11.07455268502235,0.47925896942615,5788.333843871557,5562.72580451009,5849.518126036837,5676.041996198897,8862.211186965847,6.121145755942903,19.978705775175925
Italy,1955,298002406250.0,286192406250.0,48504187.61561642,20588756.561279297,2131.872981451404,228080812500.0,305258531250.0,300172843750.0,291161937500.0,1210160000000.0,449737531250.0,354646593750.0,476180937500.0,2398625750000.0,0.625146210193634,59.43796634674072,14.11695927381515,3.00310868769884,61.90199851989746,26.50680243968963,16.43269807100296,5.37558794021606,-11.30226999521255,1.08518507331609,6143.8490344708935,5900.36490288227,6188.596459522111,6002.820618446096,9272.138208231789,6.520286245152502,20.47091444194012
Italy,1956,310005031250.0,297115375000.0,48791426.81317878,20658466.339111328,2138.401024009525,235310375000.0,317963312500.0,311750843750.0,302123000000.0,1277986500000.0,468255375000.0,368707781250.0,496530468750.0,2533390000000.0,0.6311187744140625,59.43796634674072,14.40346837043762,3.02274636924266,61.39008402824402,27.35737860202789,16.49553477764129,5.981757491827009,-12.25290223956108,1.02814314886927,6353.678330355084,6089.499619218921,6389.459462697958,6192.132916235917,9597.08304479266,6.725706253492062,21.65053347886745
Italy,1957,325040812500.0,309659562500.0,49051733.29358912,20749240.87524414,2144.9490561917983,242830265625.0,331963437500.0,327178187500.0,315015812500.0,1347264250000.0,486049812500.0,381527187500.0,517371437500.0,2678227000000.0,0.6352647542953491,59.43796634674072,14.00630921125412,3.02715357393026,60.8453094959259,28.29482555389404,16.23979210853576,6.888784468173979,-13.79606127738952,1.52734695002436,6626.489843988482,6312.917846278662,6670.063737437,6422.113783717637,9908.92227173397,6.957693632543677,24.038222619115764
Italy,1958,342346500000.0,323375281250.0,49344957.11667489,20821662.90283203,2151.517139208774,253740859375.0,346550937500.0,345354156250.0,331895312500.0,1419607250000.0,508851156250.0,398780375000.0,539273187500.0,2824836500000.0,0.6458868384361267,59.43796634674072,14.49729353189468,3.02324015647172,60.17836332321167,27.963662147521973,16.27371609210968,7.107784599065781,-12.843656539916989,1.32013633847236,6937.821410818748,6553.360265069993,6998.773054628843,6726.022918922434,10312.120751201272,7.218493974496658,21.579897967559983
Italy,1959,365975500000.0,346656062500.0,49700013.19278436,20851449.966430664,2158.105334458436,264163218750.0,366712531250.0,368137343750.0,355380000000.0,1502647500000.0,542033062500.0,418581562500.0,571036875000.0,2989312250000.0,0.6677281856536865,59.43796634674072,14.58095014095306,3.02533339709043,58.44650864601135,28.856241703033447,15.88609963655471,7.7374167740345,-12.546280026435848,1.62001308053731,7363.6901982378895,6974.969224964489,7407.188048864494,7150.501120019731,10906.094942016924,7.703532182539755,21.893600008773703
Italy,1960,391328187500.0,379633062500.0,50064645.43064996,20935604.095458984,2164.7137035267747,280172781250.0,396483500000.0,394602031250.0,384018218750.0,1601015375000.0,586620437500.0,439036250000.0,612325125000.0,3190284000000.0,0.6972436904907227,59.43796634674072,14.5989179611206,3.04317716509103,57.31787085533142,30.28781116008758,15.64033031463623,8.486379683017729,-13.904531300067898,2.17213537544012,7816.457784407396,7582.8573084747295,7881.850113102401,7670.447187765383,11717.259404395312,8.376798427156004,25.935571234849387
Italy,1961,425801343750.0,411400093750.0,50389382.70142189,21068822.860717773,2148.0321997267347,303603812500.0,428427156250.0,428000468750.0,415976000000.0,1713169250000.0,635370000000.0,469918656250.0,662505375000.0,3419661000000.0,0.7301362156867981,59.43796634674072,14.70442116260528,3.0741011723876,57.64607191085816,30.007347464561462,15.339826047420498,8.69972109794616,-14.018353819847102,2.32538692653179,8450.219489154106,8164.42019517717,8493.862115479393,8255.231116142686,12609.203882588368,9.09040698280149,26.24162810047532
Italy,1962,451229906250.0,434536093750.0,50708534.82898442,21007335.6628418,2098.9479680413715,324484906250.0,454942125000.0,451894687500.0,442910468750.0,1836715125000.0,674369750000.0,500259187500.0,706148375000.0,3662203250000.0,0.7612444758415222,59.43796634674072,14.6478459239006,3.09599488973617,58.3087146282196,29.454538226127617,14.95325118303299,8.785887807607649,-13.666164875030509,2.16377228498458,8898.500178949798,8569.289079550059,8911.610028253115,8734.436328001286,13298.939759831866,9.854922388855144,26.464601624076504
