Entity,Year,Population (Clio-infra (2016)) with Island of Ireland figures
Italy,1500,10500000.0
Italy,1600,13100000.0
Italy,1650,11000000.0
Italy,1700,13300000.0
Italy,1750,15000000.0
Italy,1800,19000000.0
Italy,1820,20176000.0
Italy,1830,21513000.0
Italy,1840,22939000.0
Italy,1850,24460000.0
Italy,1860,26081000.0
Italy,1870,27888000.0
Italy,1880,29534000.0
Italy,1890,31702000.0
Italy,1900,33672000.0
Italy,1910,36572000.0
Italy,1920,37398000.0
Italy,1930,40791000.0
Italy,1940,44341000.0
Italy,1950,47105000.0
Italy,1960,50197600.0
Italy,1970,53661100.0
Italy,1980,56451247.0
Italy,1990,56742886.0
Italy,2000,57719337.0
