Entity,Year,Population Growth (UN Population Division (2015 revision))
Italy,1955,-0.407
Italy,1960,-0.358
Italy,1965,-0.286
Italy,1970,-0.208
Italy,1975,-0.156
Italy,1980,-0.14
Italy,1985,-0.136
Italy,1990,-0.131
Italy,1994,0.738
Italy,1995,0.556
Italy,1996,0.78
Italy,1997,0.696
Italy,1998,0.642
Italy,1999,0.383
Italy,2000,0.203
Italy,2001,0.034
Italy,2002,0.039
Italy,2003,0.009
Italy,2004,0.522
Italy,2005,0.315
Italy,2006,0.07
Italy,2007,-0.019
Italy,2008,-0.086
Italy,2009,-0.13
Italy,2010,-0.158
Italy,2011,-0.191
Italy,2012,-0.242
Italy,2013,-0.305
Italy,2014,-0.364
Italy,2015,-0.403
