Entity,Year,"Under 15 years old (UNWPP, 2017)","Working age (15-64 years old) (UNWPP, 2017)","65+ years old (UNWPP, 2017)","Under 5 years old (UNWPP, 2017)","5-14 years old (UNWPP, 2017)","15-24 years old (UNWPP, 2017)","25-64 years old (UNWPP, 2017)"
Italy,1950,12440048,30388224,3770329,4391298,8048750,8047222,22341002
Italy,1951,12434468,30714800,3872632,4451433,7983035,8028398,22686402
Italy,1952,12307016,31121197,3983730,4332111,7974905,8050514,23070683
Italy,1953,12204922,31473640,4087416,4201181,8003741,8069365,23404275
Italy,1954,12171573,31734319,4178920,4106085,8065488,8056152,23678167
Italy,1955,12189324,31922308,4261210,4051206,8138118,8005685,23916623
Italy,1956,12142048,32126252,4369997,3902902,8239146,7950100,24176152
Italy,1957,12205471,32226353,4461145,3888612,8316859,7859781,24366572
Italy,1958,12314446,32292229,4544795,3952731,8361715,7763853,24528376
Italy,1959,12409442,32390010,4630494,4043896,8365546,7693966,24696044
Italy,1960,12472509,32546880,4722807,4128173,8344336,7665410,24881470
Italy,1961,12532986,32740483,4822128,4253875,8279111,7659835,25080648
Italy,1962,12569655,32992086,4925752,4363408,8206247,7678473,25313613
Italy,1963,12596528,33273790,5033342,4451130,8145398,7714658,25559132
Italy,1964,12642640,33537522,5142483,4523194,8119446,7755690,25781832
Italy,1965,12716966,33758368,5253330,4580503,8136463,7794766,25963602
Italy,1966,12824269,33910867,5380854,4645170,8179099,7825454,26085413
Italy,1967,12922523,34054296,5511667,4650846,8271677,7869342,26184954
Italy,1968,13017553,34185349,5648301,4616249,8401304,7916796,26268553
Italy,1969,13114089,34305845,5792886,4568575,8545514,7951451,26354394
Italy,1970,13211849,34420615,5946219,4529401,8682448,7964710,26455905
Italy,1971,13268645,34576647,6104638,4454353,8814292,7985004,26591643
Italy,1972,13339364,34726427,6255225,4415632,8923732,7970458,26755969
Italy,1973,13400210,34878821,6403596,4396306,9003904,7944019,26934802
Italy,1974,13414604,35048873,6558741,4361845,9052759,7942347,27106526
Italy,1975,13361447,35244578,6724669,4286607,9074840,7987410,27257168
Italy,1976,13286153,35409058,6909076,4206747,9079406,8067252,27341806
Italy,1977,13129295,35607573,7108200,4072556,9056739,8192880,27414693
Italy,1978,12907410,35850919,7298696,3900255,9007155,8350525,27500394
Italy,1979,12654969,36149490,7442341,3724268,8930701,8513903,27635587
Italy,1980,12393258,36506577,7519443,3570350,8822908,8665285,27841292
Italy,1981,12103051,36912690,7560763,3406490,8696561,8815846,28096844
Italy,1982,11818107,37367327,7531642,3282846,8535261,8947706,28419621
Italy,1983,11530812,37834765,7473098,3191689,8339123,9056570,28778195
Italy,1984,11226683,38265957,7445055,3114643,8112040,9138398,29127559
Italy,1985,10903169,38627753,7481430,3040292,7862877,9189263,29438490
Italy,1986,10598689,38837158,7625934,2997063,7601626,9199862,29637296
Italy,1987,10282484,38984506,7822461,2949217,7333267,9178495,29806011
Italy,1988,9967324,39085303,8050501,2899351,7067973,9125429,29959874
Italy,1989,9671997,39163389,8277773,2855063,6816934,9040982,30122407
Italy,1990,9407593,39233128,8486399,2822305,6585288,8925405,30307723
Italy,1991,9198496,39249030,8704990,2813907,6384589,8767073,30481957
Italy,1992,9014670,39262241,8911976,2797112,6217558,8581968,30680273
Italy,1993,8855642,39262387,9108618,2776012,6079630,8372731,30889656
Italy,1994,8714697,39238710,9297960,2752734,5961963,8143550,31095160
Italy,1995,8586403,39186318,9482472,2730002,5856401,7899248,31287070
Italy,1996,8481051,39084352,9664267,2710778,5770273,7642182,31442170
Italy,1997,8383384,38967144,9834373,2683640,5699744,7376777,31590367
Italy,1998,8299388,38850176,10003990,2655666,5643722,7117115,31733061
Italy,1999,8238497,38753041,10188451,2637477,5601020,6880694,31872347
Italy,2000,8207569,38688555,10397597,2637137,5570432,6677672,32010883
Italy,2001,8185245,38714747,10606375,2629231,5556014,6520708,32194039
Italy,2002,8195905,38769645,10836213,2648459,5547446,6386872,32382773
Italy,2003,8227163,38846251,11073623,2686327,5540836,6273631,32572620
Italy,2004,8261343,38936489,11296872,2727420,5533923,6174868,32761621
Italy,2005,8286784,39028523,11493176,2758748,5528036,6086395,32942128
Italy,2006,8330470,39079039,11670360,2798532,5531938,6034089,33044950
Italy,2007,8360832,39138984,11813695,2823246,5537586,5995378,33143606
Italy,2008,8377376,39185012,11939997,2831324,5546052,5963727,33221285
Italy,2009,8380657,39184200,12076996,2823340,5557317,5931023,33253177
Italy,2010,8368592,39117703,12243512,2800710,5567882,5893076,33224627
Italy,2011,8362111,38963773,12434045,2781993,5580118,5853217,33110556
Italy,2012,8329466,38756649,12647719,2734975,5594491,5812326,32944323
Italy,2013,8278842,38512793,12876365,2670898,5607944,5770848,32741945
Italy,2014,8222620,38262853,13100195,2606606,5616014,5731576,32531277
Italy,2015,8167971,38029391,13306850,2553684,5614287,5697085,32332306
Italy,2016,8087334,37846470,13496134,2481626,5605708,5686841,32159629
Italy,2017,8023990,37670523,13665387,2447617,5576373,5676202,31994321
Italy,2018,7966701,37501784,13822484,2439718,5526983,5666964,31834820
Italy,2019,7898403,37334612,13983510,2437231,5461172,5662240,31672372
Italy,2020,7811893,37158391,14161789,2425430,5386463,5662617,31495774
Italy,2021,7740188,36967614,14330091,2428829,5311359,5680708,31286906
Italy,2022,7648479,36783004,14505990,2416478,5232001,5704783,31078221
Italy,2023,7547295,36587428,14698313,2393140,5154155,5726707,30860721
Italy,2024,7454124,36357934,14915452,2370795,5083329,5735409,30622525
Italy,2025,7377983,36082119,15162930,2357653,5020330,5724390,30357729
Italy,2026,7318429,35791569,15410457,2347785,4970644,5717412,30074157
Italy,2027,7274579,35464897,15679744,2345700,4928879,5692343,29772554
Italy,2028,7244188,35106601,15967405,2350328,4893860,5649606,29456995
Italy,2029,7219589,34728530,16267438,2356855,4862734,5592509,29136021
Italy,2030,7196160,34337501,16576257,2361882,4834278,5523949,28813552
Italy,2031,7185637,33953630,16861636,2369080,4816557,5463724,28489906
Italy,2032,7177771,33567340,17143663,2376656,4801115,5393460,28173880
Italy,2033,7172805,33177356,17423385,2383863,4788942,5316930,27860426
Italy,2034,7171151,32779794,17704455,2390612,4780539,5240419,27539375
Italy,2035,7171922,32371756,17990682,2396250,4775672,5168215,27203541
Italy,2036,7184505,31988825,18236898,2402448,4782057,5122141,26866684
Italy,2037,7198255,31609172,18475093,2408728,4789527,5083991,26525181
Italy,2038,7211796,31235416,18703494,2414096,4797700,5050428,26184988
Italy,2039,7223388,30876175,18914546,2417322,4806066,5017422,25858753
Italy,2040,7231678,30538136,19102360,2417253,4814425,4982957,25555179
Italy,2041,7246821,30257058,19220714,2415662,4831159,4969737,25287321
Italy,2042,7258348,30006182,19306623,2413413,4844935,4958142,25048040
Italy,2043,7266192,29782673,19362553,2409995,4856197,4947205,24835468
Italy,2044,7269304,29578829,19396813,2404576,4864728,4936392,24642437
Italy,2045,7265791,29385548,19420055,2395862,4869929,4924910,24460638
Italy,2046,7266679,29246595,19377488,2385135,4881544,4935375,24311220
Italy,2047,7262610,29129210,19311150,2375442,4887168,4946939,24182271
Italy,2048,7252476,29023053,19232157,2365702,4886774,4956817,24066236
Italy,2049,7235581,28917984,19150905,2354912,4880669,4962905,23955079
Italy,2050,7211675,28807234,19074285,2342012,4869663,4964088,23843146
Italy,2051,7194767,28740464,18938834,2329254,4865513,4983536,23756928
Italy,2052,7173810,28676029,18797842,2319196,4854614,5000225,23675804
Italy,2053,7148785,28609132,18656853,2310700,4838085,5011996,23597136
Italy,2054,7119645,28534676,18521994,2302525,4817120,5017142,23517534
