Entity,Year,"Population by country, historic and projections (Gapminder & UN)","Population by country, 1800 to 2015 (Gapminder & UN)"
Italy,1800,18822234,18822234.0
Italy,1801,18887712,18887712.0
Italy,1802,18953419,18953419.0
Italy,1803,19019354,19019354.0
Italy,1804,19085518,19085518.0
Italy,1805,19151912,19151912.0
Italy,1806,19218538,19218538.0
Italy,1807,19285395,19285395.0
Italy,1808,19352485,19352485.0
Italy,1809,19419808,19419808.0
Italy,1810,19491674,19491674.0
Italy,1811,19562329,19562329.0
Italy,1812,19636105,19636105.0
Italy,1813,19712990,19712990.0
Italy,1814,19793068,19793068.0
Italy,1815,19876329,19876329.0
Italy,1816,19962810,19962810.0
Italy,1817,20052546,20052546.0
Italy,1818,20145575,20145575.0
Italy,1819,20241933,20241933.0
Italy,1820,20341608,20341608.0
Italy,1821,20444686,20444686.0
Italy,1822,20551155,20551155.0
Italy,1823,20661099,20661099.0
Italy,1824,20774506,20774506.0
Italy,1825,20891413,20891413.0
Italy,1826,21011856,21011856.0
Italy,1827,21135871,21135871.0
Italy,1828,21263496,21263496.0
Italy,1829,21394765,21394765.0
Italy,1830,21529667,21529667.0
Italy,1831,21668286,21668286.0
Italy,1832,21807810,21807810.0
Italy,1833,21948190,21948190.0
Italy,1834,22089524,22089524.0
Italy,1835,22231714,22231714.0
Italy,1836,22374857,22374857.0
Italy,1837,22518905,22518905.0
Italy,1838,22663905,22663905.0
Italy,1839,22809810,22809810.0
Italy,1840,22956667,22956667.0
Italy,1841,23104476,23104476.0
Italy,1842,23253238,23253238.0
Italy,1843,23402952,23402952.0
Italy,1844,23553619,23553619.0
Italy,1845,23705238,23705238.0
Italy,1846,23857857,23857857.0
Italy,1847,24011476,24011476.0
Italy,1848,24166048,24166048.0
Italy,1849,24321619,24321619.0
Italy,1850,24478190,24478190.0
Italy,1851,24635572,24635572.0
Italy,1852,24793950,24793950.0
Italy,1853,24954372,24954372.0
Italy,1854,25117410,25117410.0
Italy,1855,25283207,25283207.0
Italy,1856,25452906,25452906.0
Italy,1857,25622696,25622696.0
Italy,1858,25789483,25789483.0
Italy,1859,25957457,25957457.0
Italy,1860,26127904,26127904.0
Italy,1861,26299205,26299205.0
Italy,1862,26471122,26471122.0
Italy,1863,26642797,26642797.0
Italy,1864,26812516,26812516.0
Italy,1865,26980519,26980519.0
Italy,1866,27150708,27150708.0
Italy,1867,27324084,27324084.0
Italy,1868,27498456,27498456.0
Italy,1869,27673254,27673254.0
Italy,1870,27845334,27845334.0
Italy,1871,28016030,28016030.0
Italy,1872,28189484,28189484.0
Italy,1873,28366170,28366170.0
Italy,1874,28539487,28539487.0
Italy,1875,28715117,28715117.0
Italy,1876,28893110,28893110.0
Italy,1877,29062712,29062712.0
Italy,1878,29249205,29249205.0
Italy,1879,29434811,29434811.0
Italy,1880,29621531,29621531.0
Italy,1881,29797208,29797208.0
Italy,1882,29994392,29994392.0
Italy,1883,30198837,30198837.0
Italy,1884,30391785,30391785.0
Italy,1885,30594499,30594499.0
Italy,1886,30799209,30799209.0
Italy,1887,31018274,31018274.0
Italy,1888,31236530,31236530.0
Italy,1889,31454328,31454328.0
Italy,1890,31665124,31665124.0
Italy,1891,31866466,31866466.0
Italy,1892,32067985,32067985.0
Italy,1893,32270863,32270863.0
Italy,1894,32474465,32474465.0
Italy,1895,32674427,32674427.0
Italy,1896,32871751,32871751.0
Italy,1897,33078067,33078067.0
Italy,1898,33290830,33290830.0
Italy,1899,33509677,33509677.0
Italy,1900,33736335,33736335.0
Italy,1901,33972983,33972983.0
Italy,1902,34199036,34199036.0
Italy,1903,34455129,34455129.0
Italy,1904,34722657,34722657.0
Italy,1905,35004504,35004504.0
Italy,1906,35303448,35303448.0
Italy,1907,35583197,35583197.0
Italy,1908,35894879,35894879.0
Italy,1909,36218347,36218347.0
Italy,1910,36529017,36529017.0
Italy,1911,36857936,36857936.0
Italy,1912,37082778,37082778.0
Italy,1913,37285296,37285296.0
Italy,1914,37562098,37562098.0
Italy,1915,37859548,37859548.0
Italy,1916,38010752,38010752.0
Italy,1917,37856484,37856484.0
Italy,1918,37559464,37559464.0
Italy,1919,37365256,37365256.0
Italy,1920,37422219,37422219.0
Italy,1921,37700706,37700706.0
Italy,1922,38054478,38054478.0
Italy,1923,38427238,38427238.0
Italy,1924,38786673,38786673.0
Italy,1925,39133783,39133783.0
Italy,1926,39479560,39479560.0
Italy,1927,39819674,39819674.0
Italy,1928,40141800,40141800.0
Italy,1929,40455931,40455931.0
Italy,1930,40771061,40771061.0
Italy,1931,41091521,41091521.0
Italy,1932,41411982,41411982.0
Italy,1933,41732109,41732109.0
Italy,1934,42064561,42064561.0
Italy,1935,42396680,42396680.0
Italy,1936,42721471,42721471.0
Italy,1937,43051259,43051259.0
Italy,1938,43422686,43422686.0
Italy,1939,43846746,43846746.0
Italy,1940,44284797,44284797.0
Italy,1941,44664219,44664219.0
Italy,1942,44942706,44942706.0
Italy,1943,45127920,45127920.0
Italy,1944,45273826,45273826.0
Italy,1945,45456375,45456375.0
Italy,1946,45706214,45706214.0
Italy,1947,46019013,46019013.0
Italy,1948,46354796,46354796.0
Italy,1949,46463649,46463649.0
Italy,1950,46598601,46598601.0
Italy,1951,47021900,47021900.0
Italy,1952,47411943,47411943.0
Italy,1953,47765978,47765978.0
Italy,1954,48084812,48084812.0
Italy,1955,48372842,48372842.0
Italy,1956,48638297,48638297.0
Italy,1957,48892969,48892969.0
Italy,1958,49151470,49151470.0
Italy,1959,49429946,49429946.0
Italy,1960,49742196,49742196.0
Italy,1961,50095597,50095597.0
Italy,1962,50487493,50487493.0
Italy,1963,50903660,50903660.0
Italy,1964,51322645,51322645.0
Italy,1965,51728664,51728664.0
Italy,1966,52115990,52115990.0
Italy,1967,52488486,52488486.0
Italy,1968,52851203,52851203.0
Italy,1969,53212820,53212820.0
Italy,1970,53578683,53578683.0
Italy,1971,53949930,53949930.0
Italy,1972,54321016,54321016.0
Italy,1973,54682627,54682627.0
Italy,1974,55022218,55022218.0
Italy,1975,55330694,55330694.0
Italy,1976,55604287,55604287.0
Italy,1977,55845068,55845068.0
Italy,1978,56057025,56057025.0
Italy,1979,56246800,56246800.0
Italy,1980,56419278,56419278.0
Italy,1981,56576504,56576504.0
Italy,1982,56717076,56717076.0
Italy,1983,56838675,56838675.0
Italy,1984,56937695,56937695.0
Italy,1985,57012352,57012352.0
Italy,1986,57061781,57061781.0
Italy,1987,57089451,57089451.0
Italy,1988,57103128,57103128.0
Italy,1989,57113159,57113159.0
Italy,1990,57127120,57127120.0
Italy,1991,57152516,57152516.0
Italy,1992,57188887,57188887.0
Italy,1993,57226647,57226647.0
Italy,1994,57251367,57251367.0
Italy,1995,57255193,57255193.0
Italy,1996,57229670,57229670.0
Italy,1997,57184901,57184901.0
Italy,1998,57153554,57153554.0
Italy,1999,57179989,57179989.0
Italy,2000,57293721,57293721.0
Italy,2001,57506367,57506367.0
Italy,2002,57801763,57801763.0
Italy,2003,58147037,58147037.0
Italy,2004,58494704,58494704.0
Italy,2005,58808483,58808483.0
Italy,2006,59079869,59079869.0
Italy,2007,59313511,59313511.0
Italy,2008,59502385,59502385.0
Italy,2009,59641853,59641853.0
Italy,2010,59729807,59729807.0
Italy,2011,59759929,59759929.0
Italy,2012,59733834,59733834.0
Italy,2013,59668000,59668000.0
Italy,2014,59585668,59585668.0
Italy,2015,59504212,59504212.0
Italy,2016,59429938,59429938.0
Italy,2017,59359900,59359900.0
Italy,2018,59290969,59290969.0
Italy,2019,59216525,59216525.0
Italy,2020,59132073,
Italy,2021,59037893,
Italy,2022,58937473,
Italy,2023,58833036,
Italy,2024,58727510,
Italy,2025,58623032,
Italy,2026,58520455,
Italy,2027,58419220,
Italy,2028,58318194,
Italy,2029,58215557,
Italy,2030,58109918,
Italy,2031,58000903,
Italy,2032,57888774,
Italy,2033,57773546,
Italy,2034,57655400,
Italy,2035,57534360,
Italy,2036,57410228,
Italy,2037,57282520,
Italy,2038,57150706,
Italy,2039,57014109,
Italy,2040,56872174,
Italy,2041,56724593,
Italy,2042,56571153,
Italy,2043,56411418,
