Entity,Year,Total population (Gapminder up to 1949; UN Population Division 1950 to 2015)
Italy,1700,13300000.0
Italy,1800,18822234.0
Italy,1820,20176000.0
Italy,1821,20306000.0
Italy,1822,20437000.0
Italy,1823,20568000.0
Italy,1824,20701000.0
Italy,1825,20834000.0
Italy,1826,20968000.0
Italy,1827,21103000.0
Italy,1828,21239000.0
Italy,1829,21376000.0
Italy,1830,21513000.0
Italy,1831,21652000.0
Italy,1832,21791000.0
Italy,1833,21932000.0
Italy,1834,22073000.0
Italy,1835,22215000.0
Italy,1836,22358000.0
Italy,1837,22502000.0
Italy,1838,22647000.0
Italy,1839,22793000.0
Italy,1840,22939000.0
Italy,1841,23087000.0
Italy,1842,23236000.0
Italy,1843,23385000.0
Italy,1844,23536000.0
Italy,1845,23687000.0
Italy,1846,23840000.0
Italy,1847,23993000.0
Italy,1848,24148000.0
Italy,1849,24303000.0
Italy,1850,24460000.0
Italy,1851,24617000.0
Italy,1852,24776000.0
Italy,1853,24935000.0
Italy,1854,25096000.0
Italy,1855,25257000.0
Italy,1856,25420000.0
Italy,1857,25584000.0
Italy,1858,25748000.0
Italy,1859,25914000.0
Italy,1860,26081000.0
Italy,1861,26249000.0
Italy,1862,26418000.0
Italy,1863,26610000.0
Italy,1864,26814000.0
Italy,1865,27023000.0
Italy,1866,27256000.0
Italy,1867,27411000.0
Italy,1868,27501000.0
Italy,1869,27681000.0
Italy,1870,27888000.0
Italy,1871,28063000.0
Italy,1872,28233000.0
Italy,1873,28387000.0
Italy,1874,28505000.0
Italy,1875,28630000.0
Italy,1876,28837000.0
Italy,1877,29067000.0
Italy,1878,29252000.0
Italy,1879,29425000.0
Italy,1880,29534000.0
Italy,1881,29672000.0
Italy,1882,29898000.0
Italy,1883,30113000.0
Italy,1884,30366000.0
Italy,1885,30644000.0
Italy,1886,30857000.0
Italy,1887,31049000.0
Italy,1888,31243000.0
Italy,1889,31468000.0
Italy,1890,31702000.0
Italy,1891,31892000.0
Italy,1892,32091000.0
Italy,1893,32303000.0
Italy,1894,32513000.0
Italy,1895,32689000.0
Italy,1896,32863000.0
Italy,1897,33078000.0
Italy,1898,33285000.0
Italy,1899,33487000.0
Italy,1900,33672000.0
Italy,1901,33877000.0
Italy,1902,34166000.0
Italy,1903,34436000.0
Italy,1904,34715000.0
Italy,1905,35011000.0
Italy,1906,35297000.0
Italy,1907,35594000.0
Italy,1908,35899000.0
Italy,1909,36213000.0
Italy,1910,36572000.0
Italy,1911,36917000.0
Italy,1912,37150000.0
Italy,1913,37248000.0
Italy,1914,37526000.0
Italy,1915,37982000.0
Italy,1916,38142000.0
Italy,1917,37981000.0
Italy,1918,37520000.0
Italy,1919,37250000.0
Italy,1920,37398000.0
Italy,1921,37691000.0
Italy,1922,38086000.0
Italy,1923,38460000.0
Italy,1924,38810000.0
Italy,1925,39165000.0
Italy,1926,39502000.0
Italy,1927,39848000.0
Italy,1928,40186000.0
Italy,1929,40469000.0
Italy,1930,40791000.0
Italy,1931,41132000.0
Italy,1932,41431000.0
Italy,1933,41753000.0
Italy,1934,42093000.0
Italy,1935,42429000.0
Italy,1936,42750000.0
Italy,1937,43068000.0
Italy,1938,43419000.0
Italy,1939,43865000.0
Italy,1940,44341000.0
Italy,1941,44734000.0
Italy,1942,45004000.0
Italy,1943,45177000.0
Italy,1944,45290000.0
Italy,1945,45442000.0
Italy,1946,45725000.0
Italy,1947,46040000.0
Italy,1948,46381000.0
Italy,1949,46733000.0
Italy,1950,46598600.0
Italy,1951,47021900.0
Italy,1952,47411940.0
Italy,1953,47765976.0
Italy,1954,48084812.0
Italy,1955,48372844.0
Italy,1956,48638296.0
Italy,1957,48892968.0
Italy,1958,49151468.0
Italy,1959,49429944.0
Italy,1960,49742196.0
Italy,1961,50095596.0
Italy,1962,50487492.0
Italy,1963,50903660.0
Italy,1964,51322644.0
Italy,1965,51728664.0
Italy,1966,52115988.0
Italy,1967,52488484.0
Italy,1968,52851204.0
Italy,1969,53212820.0
Italy,1970,53578684.0
Italy,1971,53949928.0
Italy,1972,54321016.0
Italy,1973,54682628.0
Italy,1974,55022220.0
Italy,1975,55330696.0
Italy,1976,55604284.0
Italy,1977,55845068.0
Italy,1978,56057024.0
Italy,1979,56246800.0
Italy,1980,56419276.0
Italy,1981,56576504.0
Italy,1982,56717076.0
Italy,1983,56838676.0
Italy,1984,56937696.0
Italy,1985,57012352.0
Italy,1986,57061780.0
Italy,1987,57089448.0
Italy,1988,57103128.0
Italy,1989,57113160.0
Italy,1990,57127120.0
Italy,1991,57152516.0
Italy,1992,57188888.0
Italy,1993,57226648.0
Italy,1994,57251368.0
Italy,1995,57255192.0
Italy,1996,57229672.0
Italy,1997,57184904.0
Italy,1998,57153556.0
Italy,1999,57179988.0
Italy,2000,57293724.0
Italy,2001,57506368.0
Italy,2002,57801760.0
Italy,2003,58147036.0
Italy,2004,58494704.0
Italy,2005,58808484.0
Italy,2006,59079868.0
Italy,2007,59313512.0
Italy,2008,59502388.0
Italy,2009,59641852.0
Italy,2010,59729808.0
Italy,2011,59759928.0
Italy,2012,59733836.0
Italy,2013,59668000.0
Italy,2014,59585668.0
Italy,2015,59504212.0
