Entity,Year,Freedom of the Press
Italy,1979,2
Italy,1980,2
Italy,1982,2
Italy,1983,2
Italy,1984,2
Italy,1985,2
Italy,1986,2
Italy,1987,2
Italy,1988,2
Italy,1990,2
Italy,1991,2
Italy,1992,2
Italy,1993,2
Italy,1994,2
Italy,1995,2
Italy,1996,2
Italy,1997,2
Italy,1998,2
Italy,1999,2
Italy,2000,2
Italy,2001,2
Italy,2002,2
Italy,2003,1
Italy,2004,1
Italy,2005,1
Italy,2006,2
Italy,2007,2
Italy,2008,1
Italy,2009,1
Italy,2010,1
Italy,2011,1
Italy,2012,1
Italy,2013,1
Italy,2014,1
Italy,2015,1
Italy,2016,1
