Entity,Year,Underweight (NCDRisC (2017)),Healthy (NCDRisC (2017)),Overweight (NCDRisC (2017)),Obese (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017))
Italy,1975,4.3,59.6,25.7,10.5,36.2
Italy,1976,4.2,59.2,25.9,10.8,36.6
Italy,1977,4.1,58.9,26.0,11.0,37.0
Italy,1978,4.0,58.5,26.2,11.3,37.5
Italy,1979,3.9,58.2,26.4,11.5,37.9
Italy,1980,3.8,57.8,26.6,11.8,38.3
Italy,1981,3.8,57.5,26.7,12.1,38.8
Italy,1982,3.7,57.1,26.9,12.3,39.2
Italy,1983,3.6,56.8,27.0,12.5,39.5
Italy,1984,3.6,56.5,27.1,12.8,39.9
Italy,1985,3.5,56.2,27.3,13.0,40.3
Italy,1986,3.5,55.9,27.4,13.3,40.7
Italy,1987,3.4,55.5,27.6,13.5,41.1
Italy,1988,3.3,55.2,27.7,13.8,41.5
Italy,1989,3.3,54.8,27.9,14.1,41.9
Italy,1990,3.2,54.4,28.0,14.3,42.4
Italy,1991,3.1,54.0,28.2,14.6,42.8
Italy,1992,3.1,53.6,28.4,14.9,43.3
Italy,1993,3.0,53.2,28.6,15.2,43.7
Italy,1994,3.0,52.9,28.7,15.4,44.2
Italy,1995,2.9,52.5,28.9,15.7,44.6
Italy,1996,2.9,52.0,29.1,16.0,45.1
Italy,1997,2.8,51.6,29.3,16.3,45.6
Italy,1998,2.7,51.2,29.4,16.6,46.1
Italy,1999,2.7,50.8,29.6,16.9,46.5
Italy,2000,2.6,50.3,29.8,17.3,47.0
Italy,2001,2.6,49.9,29.9,17.6,47.5
Italy,2002,2.5,49.5,30.1,17.9,48.0
Italy,2003,2.5,49.1,30.2,18.2,48.5
Italy,2004,2.4,48.7,30.4,18.6,49.0
Italy,2005,2.3,48.2,30.5,18.9,49.4
Italy,2006,2.3,47.8,30.7,19.2,49.9
Italy,2007,2.2,47.4,30.8,19.5,50.3
Italy,2008,2.2,47.0,31.0,19.8,50.8
Italy,2009,2.1,46.6,31.1,20.1,51.2
Italy,2010,2.1,46.3,31.2,20.4,51.6
Italy,2011,2.1,45.9,31.3,20.7,52.0
Italy,2012,2.0,45.5,31.4,21.0,52.4
Italy,2013,2.0,45.2,31.5,21.3,52.8
Italy,2014,2.0,44.8,31.6,21.6,53.2
