Entity,Year,Primary energy consumption (TWh),Annual change primary energy consumption (%),Annual change primary energy consumption (TWh),Energy per capita (kWh),Energy per GDP (kWh per $)
Italy,1965,920.417,,,17810.871,1.462
Italy,1966,999.784,8.623,79.367,19203.434,1.509
Italy,1967,1083.684,8.392,83.9,20667.784,1.527
Italy,1968,1171.639,8.116,87.955,22192.423,1.524
Italy,1969,1261.956,7.709,90.318,23741.257,1.552
Italy,1970,1393.913,10.457,131.957,26045.22,1.677
Italy,1971,1468.252,5.333,74.339,27245.915,1.734
Italy,1972,1539.894,4.879,71.642,28380.564,1.766
Italy,1973,1608.196,4.436,68.303,29443.771,1.731
Italy,1974,1607.484,-0.044,-0.713,29249.422,1.653
Italy,1975,1573.003,-2.145,-34.48,28462.78,1.653
Italy,1976,1660.975,5.593,87.972,29907.033,1.639
Italy,1977,1664.332,0.202,3.357,29838.574,1.596
Italy,1978,1706.412,2.528,42.079,30477.637,1.578
Italy,1979,1760.075,3.145,53.663,31330.414,1.54
Italy,1980,1714.859,-2.569,-45.216,30432.633,1.449
Italy,1981,1679.26,-2.076,-35.6,29718.527,1.412
Italy,1982,1645.767,-1.995,-33.493,29054.121,1.378
Italy,1983,1611.124,-2.105,-34.643,28382.223,1.333
Italy,1984,1636.109,1.551,24.985,28772.753,1.32
Italy,1985,1629.697,-0.392,-6.412,28622.917,1.279
Italy,1986,1674.166,2.729,44.47,29379.622,1.277
Italy,1987,1724.949,3.033,50.782,30258.148,1.276
Italy,1988,1767.403,2.461,42.454,30997.173,1.259
Italy,1989,1818.203,2.874,50.801,31882.247,1.259
Italy,1990,1849.004,1.694,30.8,32411.231,1.253
Italy,1991,1905.326,3.046,56.322,33375.165,1.263
Italy,1992,1897.517,-0.41,-7.808,33205.131,1.239
Italy,1993,1857.36,-2.116,-40.157,32472.687,1.214
Italy,1994,1852.565,-0.258,-4.795,32379.828,1.177
Italy,1995,1929.327,4.144,76.762,33744.583,1.183
Italy,1996,1927.875,-0.075,-1.451,33783.713,1.159
Italy,1997,1961.337,1.736,33.462,34467.701,1.15
Italy,1998,2006.569,2.306,45.231,35362.553,1.15
Italy,1999,2062.448,2.785,55.879,36403.224,1.156
Italy,2000,2090.401,1.355,27.954,36872.831,1.122
Italy,2001,2087.929,-0.118,-2.472,36710.748,1.093
Italy,2002,2074.614,-0.638,-13.315,36280.562,1.076
Italy,2003,2141.188,3.209,66.574,37196.268,1.101
Italy,2004,2187.434,2.16,46.246,37747.949,1.1
Italy,2005,2190.923,0.16,3.489,37592.272,1.083
Italy,2006,2180.2,-0.489,-10.724,37241.239,1.049
Italy,2007,2138.842,-1.897,-41.358,36407.142,1.008
Italy,2008,2100.346,-1.8,-38.495,35646.147,0.993
Italy,2009,1957.567,-6.798,-142.779,33119.818,0.972
Italy,2010,2020.456,3.213,62.889,34057.277,0.98
Italy,2011,1979.976,-2.004,-40.48,33227.164,0.948
Italy,2012,1923.549,-2.85,-56.427,32123.684,0.948
Italy,2013,1832.745,-4.721,-90.804,30461.049,0.919
Italy,2014,1734.104,-5.382,-98.641,28705.76,0.869
Italy,2015,1784.358,2.898,50.254,29455.315,0.887
Italy,2016,1790.446,0.341,6.087,29514.59,0.883
Italy,2017,1812.177,1.214,21.731,29867.582,0.879
Italy,2018,1825.474,0.734,13.298,30109.778,0.879
Italy,2019,1790.808,-1.899,-34.666,29575.646,
Italy,2020,1628.598,-9.058,-162.21,26935.966,
