Entity,Year,Age-standardised raised blood pressure prevalence (male),Age-standardised raised blood pressure prevalence (female),Crude raised blood pressure prevalence (male),Crude raised blood pressure prevalence (female)
Italy,1975,0.39277996,0.319798424,0.417876708,0.379172175
Italy,1976,0.392878055,0.318564975,0.418494062,0.379371142
Italy,1977,0.392918239,0.317267466,0.41893905,0.379358607
Italy,1978,0.392842437,0.315886103,0.419140536,0.379090138
Italy,1979,0.392694981,0.314450521,0.419131349,0.378570444
Italy,1980,0.392389265,0.312948228,0.418825294,0.377778695
Italy,1981,0.391828283,0.311249633,0.418124311,0.376575522
Italy,1982,0.390952313,0.309372703,0.417004292,0.375020612
Italy,1983,0.38990012,0.307342365,0.415689092,0.373229293
Italy,1984,0.388709353,0.305218372,0.414319204,0.37137922
Italy,1985,0.387367718,0.302985394,0.412956011,0.369537772
Italy,1986,0.385718909,0.300574916,0.411470189,0.367666328
Italy,1987,0.383767366,0.297973209,0.409862763,0.365746472
Italy,1988,0.381525004,0.295177973,0.408140182,0.363772967
Italy,1989,0.379047636,0.292202777,0.406340271,0.361742629
Italy,1990,0.376347324,0.289068425,0.404461874,0.359665758
Italy,1991,0.37333734,0.285712467,0.402405258,0.357468832
Italy,1992,0.370043646,0.282140123,0.400204935,0.355166467
Italy,1993,0.366599519,0.2784612,0.398024144,0.352896792
Italy,1994,0.36290823,0.274587119,0.395801285,0.350595024
Italy,1995,0.359069939,0.27057043,0.393656356,0.348328761
Italy,1996,0.355171912,0.266457959,0.391695689,0.346151987
Italy,1997,0.351238271,0.262298451,0.389909436,0.344086179
Italy,1998,0.347283104,0.25801292,0.388212694,0.341977465
Italy,1999,0.343161802,0.253548173,0.386313446,0.339673584
Italy,2000,0.338773378,0.248880166,0.383996827,0.337068803
Italy,2001,0.33426821,0.244069801,0.381363105,0.334201416
Italy,2002,0.329549586,0.239132547,0.378327764,0.331083167
Italy,2003,0.324643582,0.23408029,0.374972672,0.327706407
Italy,2004,0.319357422,0.228882314,0.371182255,0.324019717
Italy,2005,0.313833082,0.223569035,0.367169519,0.320049402
Italy,2006,0.307971515,0.218131782,0.362833196,0.31575624
Italy,2007,0.301889424,0.212644934,0.358263187,0.31123189
Italy,2008,0.295692306,0.207197197,0.353546049,0.306646359
Italy,2009,0.289326802,0.201750974,0.348585044,0.302045686
Italy,2010,0.282978512,0.196428993,0.343558817,0.297640288
Italy,2011,0.276610613,0.191187168,0.338423874,0.29340241
Italy,2012,0.270258938,0.186052884,0.333227501,0.289340727
Italy,2013,0.263995539,0.181050492,0.328048371,0.285434907
Italy,2014,0.257868926,0.176191209,0.322939636,0.281622765
Italy,2015,0.251855487,0.171450749,0.317872531,0.277819223
