Entity,Year,Onshore wind turbine nameplate capacity (MW),Onshore turbine rotor diameter (m),Total installed cost onshore wind (2019 USD/kW),Onshore wind capacity factor,Onshore wind LCOE (2019 USD/kWh),Total installed solar cost (2019 USD/kW),Solar LCOE (2019 USD/kWh),"Total installed solar cost, residential","Total installed solar cost, commercial",Solar capacity factor,"Solar LCOE, residential (USD/kW)","Solar LCOE, commercial (USD/kW)",Solar PV module price (2019 USD/W),Offshore wind average turbine rating (MW),Offshore wind average project capacity (MW),Offshore wind total installed costs (2019 USD/kW),Offshore wind capacity factor,Offshore wind LCOE (2019 USD/kWh),Hydro total installed costs (2018 USD/kW),"Hydro total installed costs, large ","Hydro total installed costs, small",Hydro capacity factor,Hydro LCOE (219 USD/kWh),Geothermal total installed costs (2018 USD/kW),Geothermal capacity factor,Geothermal LCOE (219 USD/kWh),Bioenergy total installed costs (2018 USD/kW),Bioenergy capacity factor,Bioenergy LCOE (2019 USD/kWh),CSP total installed costs (2019 USD/kW),CSP capacity factor,CSP LCOE (2019 USD/kWh)
Italy,1989,,,3188.0,0.205,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1991,,,3410.0,0.228,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1992,,,3215.0,0.2,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1993,,,3126.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1994,,,2895.0,0.2,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1995,,,2700.0,0.2,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1996,,,2612.0,0.19,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1997,,,2541.0,0.2,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1998,,,2506.0,0.2,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1999,,,2365.0,0.2,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2000,,,2241.0,0.2,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2001,,,2135.0,0.23,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2002,,,2054.0,0.2,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2003,,,2163.0,0.23,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2004,,,2012.0,0.252,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2005,,,2042.0,0.224,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2006,,,2040.0,0.229,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2007,,,2166.0,0.241,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2008,,,2329.0,0.239,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2009,,,2759.0,0.253,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2010,,,2555.0,0.254,0.113,5286.208,0.3826,6949.0,5405.0,,0.405,0.322,,,,,,,,,,,,,,,,,,,,
Italy,2011,,,3134.0,0.253,0.137,4876.327,0.3641,6106.0,4611.0,,0.36,0.279,,,,,,,,,,,,,,,,,,,,
Italy,2012,,,2932.0,0.255,0.128,2570.596,0.1906,4031.0,2600.0,,0.248,0.171,,,,,,,,,,,,,,,,,,,,
Italy,2013,,,2023.0,0.253,0.092,2035.49,0.174,3660.0,2053.0,,0.228,0.141,0.7947,,,,,,,,,,,,,,,,,,,
Italy,2014,,,1983.0,0.25,0.091,1971.845,0.1482,2438.0,2016.0,,0.162,0.139,,,,,,,,,,,,,,,,,,,,
Italy,2015,,,2122.0,0.26,0.094,,,1983.0,1571.0,,0.137,0.115,,,,,,,,,,,,,,,,,,,,
Italy,2016,,,1788.0,0.287,0.074,,,1803.0,1442.0,,0.128,0.108,,,,,,,,,,,,,,,,,,,,
Italy,2017,,,2559.0,0.304,0.097,972.238,0.0795,1676.0,1311.0,,0.121,0.101,,,,,,,,,,,,,,,,,,,,
Italy,2018,,,1758.0,0.33,0.065,870.252,0.0718,1527.0,1181.0,,0.113,0.094,,,,,,,,,,,,,,,,,,,,
Italy,2019,,,1670.0,0.33,0.062,830.125,0.0684,1460.0,1140.0,,0.109,0.092,0.3572,,,,,,,,,,,,,,,,,,,
