Entity,Year,Sex ratio by age (one-year olds),Sex ratio by age (five-year olds),Sex ratio by age (10 year olds),Sex ratio by age (15 year olds),Sex ratio by age (20 year olds),Sex ratio by age (30 year olds),Sex ratio by age (40 year olds),Sex ratio by age (50 year olds),Sex ratio by age (60 year olds),Sex ratio by age (70 year olds),Sex ratio by age (80 year olds),Sex ratio by age (90 year olds),Sex ratio by age (100 year olds)
Italy,1950,104.9059256,104.8483732,103.400273,101.7631983,100.2014267,92.22562357,94.67558127,88.49012969,80.19183759,85.71742313,,,
Italy,1951,104.6777962,104.799845,103.4506214,101.6258863,99.88361732,91.95464193,94.22171169,90.35110857,79.82963076,84.3652641,,,
Italy,1952,105.0881137,104.7388839,103.6455535,101.5330557,99.566654,91.69369613,93.74480902,92.26151468,79.64954456,83.17504811,,,
Italy,1953,105.1751425,104.6652629,103.9006447,101.5134262,99.30186514,91.81680701,93.32365328,93.69510643,79.65010245,81.93416584,,,
Italy,1954,105.218877,104.6182608,104.0733586,101.6142137,99.21931713,92.42540961,92.94530311,94.39771355,79.84540926,80.58007814,,,
Italy,1955,105.2259909,104.6570747,104.1255272,101.8678977,99.29959945,93.35250421,92.51932647,94.66353887,80.25728323,79.21557962,,,
Italy,1956,105.23214,104.6748238,104.28431,102.3149778,99.58728237,94.42420749,92.04681197,94.78669434,80.44386192,77.85725268,,,
Italy,1957,105.0308197,104.6212212,104.4842139,102.8423893,99.83302856,95.57339344,91.56686945,94.96589293,80.60279258,76.6044658,,,
Italy,1958,104.9337199,104.4975188,104.6520132,103.3540501,100.1206844,96.38199455,91.13825209,94.95681013,81.30149471,75.52552465,,,
Italy,1959,104.8837853,104.303497,104.7055863,103.7559582,100.5168706,96.59012235,90.88360417,94.67554782,82.77075585,74.63394171,,,
Italy,1960,104.8954636,104.0532094,104.6031617,104.0651823,101.0382321,96.42693079,90.79090979,94.21390038,84.71174665,73.89402621,,,
Italy,1961,105.2328868,104.1142477,104.343485,104.0376036,101.3713912,96.57326366,90.70458202,93.56009626,86.31748925,73.25280658,,,
Italy,1962,105.0766739,104.2450098,104.1823152,104.0514332,101.640759,96.68838981,90.61665692,92.92542916,87.92130684,72.69566289,,,
Italy,1963,105.2202464,104.3993404,104.1047938,104.0023292,101.8465317,96.84255459,90.86532852,92.41147221,89.17226087,72.27202643,,,
Italy,1964,105.3486817,104.5276361,104.1108564,103.8951771,102.011081,97.10351657,91.59524209,92.0322795,89.87934963,72.00867083,,,
Italy,1965,105.4427646,104.5800233,104.1858086,103.808488,102.1787002,97.39728917,92.71385815,91.73078301,90.2559921,71.92364888,,,
Italy,1966,105.640714,104.749009,104.2150462,103.6880145,102.2522937,97.73086824,93.96515563,91.27125595,90.41053344,71.84921164,,,
Italy,1967,105.4178865,104.9434854,104.3077271,103.710935,102.3545428,97.96728484,95.45544253,90.94812029,90.641966,71.61515666,,,
Italy,1968,105.3844535,105.1185009,104.4458286,103.8323567,102.4068036,98.11567752,96.70487573,90.73468313,90.65581458,71.929537,,,
Italy,1969,105.3539908,105.2222124,104.6177894,103.9705174,102.4183964,98.14646802,97.31554434,90.60306546,90.3525227,73.10640546,,,
Italy,1970,105.3399443,105.2060183,104.790035,104.0819596,102.4622986,98.03828837,97.4389239,90.56087791,89.86466326,74.80242585,,,
Italy,1971,105.3711081,105.2447853,104.8331212,103.9931783,102.5735154,98.151055,97.46934686,90.37568856,89.18384835,76.14329547,,,
Italy,1972,105.5282277,105.2567471,104.9007023,103.9148975,102.6364451,98.1797401,97.50858589,90.12060482,88.59579887,77.18614407,,,
Italy,1973,105.628094,105.2480306,104.9692408,103.8879234,102.6210826,98.3280276,97.56345344,90.27281071,88.07085573,77.85591774,,,
Italy,1974,105.7069766,105.234657,104.9931635,103.9394869,102.5586853,98.65937301,97.68774222,91.06223988,87.59833526,78.2036601,,,
Italy,1975,105.7524219,105.2366557,104.9635953,104.0508803,102.5088762,99.01920295,97.83588578,92.36608009,87.2052748,78.43015016,,,
Italy,1976,105.8817275,105.269233,104.9053842,104.1064702,102.4067521,99.35327658,97.89828299,93.45817895,86.68964258,78.5490337,,,
Italy,1977,105.7687217,105.3218911,104.8622152,104.2220765,102.3234455,99.57443208,97.97497836,94.73682774,86.49330504,78.52829794,,,
Italy,1978,105.7547957,105.39416,104.8496952,104.3322321,102.3363823,99.64088491,98.05557692,95.7425186,86.5255207,78.3131397,,,
Italy,1979,105.7661484,105.4807073,104.9107497,104.3995327,102.4960578,99.5553655,98.14080253,96.13308454,86.41243968,77.98039534,,,
Italy,1980,105.8274268,105.5651861,105.058649,104.4585679,102.7863155,99.3754949,98.25379322,96.15033627,86.12491595,77.67273175,,,
Italy,1981,105.75215,105.5102476,105.0394503,104.3837928,103.0756192,99.47129411,98.30466371,96.21021474,85.64152316,77.49004612,,,
Italy,1982,105.8304597,105.4888108,105.0604277,104.3676955,103.3471756,99.60424109,98.4034408,96.39072515,85.08806624,77.35628409,,,
Italy,1983,105.8826852,105.4870241,105.1024457,104.4079472,103.5211314,99.82534304,98.62416196,96.65973163,85.05419174,76.99977582,,,
Italy,1984,105.9314586,105.4884411,105.1257178,104.4751486,103.5901963,100.1230153,98.95259096,97.01642623,85.84157145,76.43510355,,,
Italy,1985,105.9527432,105.4857498,105.1053066,104.5257561,103.6074375,100.4143982,99.28232519,97.38338218,87.29270241,75.90597376,,,
Italy,1986,106.0994026,105.5807007,105.1140834,104.5669829,103.6698733,100.5725611,99.39236539,97.48456951,88.54260322,75.84617376,,,
Italy,1987,106.0227277,105.6785843,105.1226615,104.5931967,103.7135255,100.6668355,99.49144901,97.56546248,89.94918351,76.25097252,,,
Italy,1988,106.0234415,105.7721114,105.1398026,104.5949475,103.7414883,100.7783677,99.52374978,97.60859338,91.06703273,76.88871229,,,
Italy,1989,106.0189759,105.8511809,105.1860155,104.580793,103.7629148,100.9490106,99.477653,97.61390427,91.55325388,76.99517086,,,
Italy,1990,106.0215951,105.9029713,105.2700697,104.5751617,103.784977,101.1546325,99.39130348,97.61052661,91.65710677,76.55845171,59.83188943,34.83812999,31.85579196
Italy,1991,105.9602528,105.9298108,105.3494968,104.5402496,103.7390937,101.3320551,99.25747211,97.52823992,91.83458839,76.00547166,60.6428983,36.39468228,30.51490515
Italy,1992,106.0691217,105.9367361,105.4515869,104.5623311,103.6867751,101.4961042,99.12953914,97.44086729,92.15002895,75.25910567,61.01343877,37.11010216,29.24763328
Italy,1993,106.0996198,105.9311655,105.5596069,104.644596,103.6345863,101.6115517,99.03627289,97.45126447,92.52752257,75.02412908,60.61530153,37.82012848,28.01467217
Italy,1994,106.1290735,105.9266165,105.6436647,104.7599681,103.6158946,101.6624727,98.99687727,97.58889933,92.92767186,75.69013552,59.71577409,37.61202905,26.77065767
Italy,1995,106.1554219,105.9446224,105.6948719,104.8857614,103.66316,101.6725641,98.99500709,97.77011272,93.29646687,77.09553119,58.87651326,36.66207667,25.51296942
Italy,1996,106.1010042,105.861227,105.6684262,104.9653274,103.6898754,101.6422294,98.93871006,97.79348774,93.45595429,78.38398477,59.30797147,38.46440816,24.2456514
Italy,1997,106.0949659,105.7745026,105.6190473,105.0892026,103.7778527,101.5915815,98.88012876,97.81976744,93.62983484,79.78044969,60.0902414,38.49167973,23.01690507
Italy,1998,106.0709628,105.7026431,105.564873,105.2207531,103.9218154,101.5309587,98.92486963,97.7946055,93.74824138,80.9574164,61.01088285,38.8860124,21.95775067
Italy,1999,106.0736669,105.6677882,105.5438442,105.3309141,104.1094754,101.4929925,99.11687622,97.71499629,93.82184937,81.69168582,61.22420248,38.61539175,21.14285714
Italy,2000,106.1128576,105.6826887,105.5758785,105.426259,104.3508877,101.5022466,99.4091217,97.63237496,93.92087333,82.24038213,60.77012485,38.68769609,20.56702313
Italy,2001,106.159589,105.7189107,105.6115241,105.4617396,104.5880636,101.6584656,99.63087827,97.44371206,93.81622078,82.90207584,60.7475571,41.31626829,20.20063839
Italy,2002,105.9703919,105.7833658,105.6924952,105.5428427,104.8964097,101.9692269,99.81603056,97.32205504,93.77527695,83.76286619,60.31888739,41.94337486,20.04598662
Italy,2003,105.9366012,105.8333045,105.7847064,105.6497498,105.180111,102.3789125,99.92129293,97.30888562,93.91264494,84.62631635,60.29315467,41.5075264,20.0
Italy,2004,105.9009977,105.813034,105.8320428,105.7498701,105.3597369,102.7395059,99.95805879,97.44379802,94.20043614,85.31274265,61.06944897,40.31275361,20.00699545
Italy,2005,105.8494052,105.6841583,105.7990208,105.8047664,105.4299427,102.9539539,99.96489049,97.67906665,94.48127511,85.77933894,62.42382995,38.81050188,20.03509332
Italy,2006,105.9474221,105.7094923,105.7926169,105.7967216,105.2924163,102.893461,99.93405126,97.65194197,94.54852514,86.14836999,63.97873689,40.60284252,20.10466638
Italy,2007,105.9694934,105.6912848,105.7097432,105.7914103,105.1683096,102.7526497,99.85643327,97.58248978,94.54930247,86.51939438,65.24554755,42.25179746,20.18056293
Italy,2008,106.009388,105.658082,105.594115,105.7829657,105.0914216,102.5988315,99.83794884,97.46759004,94.40984747,86.72927959,66.25756417,43.37835842,20.28404953
Italy,2009,106.0675475,105.6544583,105.5253383,105.7596496,105.1025216,102.5051825,99.94576358,97.34257117,94.15422671,86.77600606,67.14415965,42.84619629,20.41972019
Italy,2010,106.1684014,105.7131135,105.5516598,105.7400121,105.2226475,102.4864651,100.1670043,97.27552313,93.88651012,86.78952746,68.12626855,41.12756915,20.60199309
Italy,2011,106.2201987,105.7088425,105.4681125,105.5463058,105.2076951,102.5866998,100.4146004,97.30696182,93.65329465,86.70542088,69.33377579,42.55906784,20.79592781
Italy,2012,106.1015867,105.7752798,105.4249821,105.4346104,105.263583,102.7277242,100.738258,97.39261722,93.51881626,86.74096018,70.38283321,42.47540115,21.01669196
Italy,2013,106.126389,105.8993268,105.4483183,105.4227934,105.3328531,102.9227685,101.0342329,97.5376731,93.57658665,87.05418656,71.27442808,42.53986582,21.253787
Italy,2014,106.1797799,106.0456855,105.5576059,105.4795688,105.3797581,103.1375833,101.2373952,97.74365113,93.830671,87.58432998,72.07864111,42.30664188,21.46776908
Italy,2015,106.2479395,106.1716993,105.7384301,105.5573211,105.4202368,103.3334078,101.3799997,97.99887914,94.18549768,88.12358043,72.87639989,43.04101673,21.67055662
