Entity,Year,"Share of deaths from air pollution (outdoor and indoor) (IHME, 2019)","Share of deaths from indoor air pollution (IHME, 2019)","Share of deaths from outdoor air pollution (IHME, 2019)"
Italy,1990,5.986375473,0.24184562,5.853947584
Italy,1991,5.930632846,0.221712446,5.817926035
Italy,1992,5.844661586,0.201441396,5.750979273
Italy,1993,5.752992877,0.185104103,5.674195337
Italy,1994,5.689709532,0.171605528,5.623926667
Italy,1995,5.608468673,0.160839471,5.551813596
Italy,1996,5.577813063,0.149520049,5.532563921
Italy,1997,5.575686351,0.139173943,5.542444236
Italy,1998,5.584621393,0.13278573,5.558490499
Italy,1999,5.538735836,0.127009656,5.519554185
Italy,2000,5.459564937,0.120164202,5.447505097
Italy,2001,5.433779085,0.111767108,5.43227386
Italy,2002,5.440011457,0.107043738,5.44716382
Italy,2003,5.480208263,0.102413308,5.497761623
Italy,2004,5.382039973,0.093993133,5.408060776
Italy,2005,5.333422526,0.089465977,5.36539811
Italy,2006,5.297212323,0.083900618,5.33637178
Italy,2007,5.26528334,0.077815427,5.311212847
Italy,2008,5.235217086,0.074396164,5.284896757
Italy,2009,5.20781456,0.072527137,5.259501872
Italy,2010,5.136911225,0.068252468,5.192184584
Italy,2011,5.229221286,0.06368863,5.291926872
Italy,2012,5.010518752,0.063966507,5.066160985
Italy,2013,4.930947525,0.062762297,4.985637345
Italy,2014,4.881850163,0.060176502,4.938267569
Italy,2015,4.916700168,0.059518419,4.976184104
Italy,2016,4.705130765,0.058102929,4.760983316
Italy,2017,4.719718449,0.055856415,4.779801228
