Entity,Year,"Share of workers in financial sector (GGDC, 2017)","Share of population in financial sector (GGDC, 2017)",Share of workers in financial sector
Italy,1960,0.010490749,0.010490749,0.010268075
Italy,1961,0.010660579,0.010660579,0.035360172
Italy,1962,0.010971493,0.010971493,0.06023923
Italy,1963,0.011428513,0.011428513,0.008934717
Italy,1964,0.011612772,0.011612772,0.074549065
Italy,1965,0.011605575,0.011605575,0.068600841
Italy,1966,0.011725218,0.011725218,0.001483174
Italy,1967,0.011723648,0.011723648,0.020156729
Italy,1968,0.012017759,0.012017759,0.043716198
Italy,1969,0.012164207,0.012164207,0.036112876
Italy,1970,0.012232052,0.012232052,0.010671645
Italy,1971,0.01227319,0.01227319,0.025696188
Italy,1972,0.012569788,0.012569788,0.065129673
Italy,1973,0.013186549,0.013186549,0.064568365
Italy,1974,0.013753794,0.013753794,0.044298109
Italy,1975,0.014118228,0.014118228,0.064518468
Italy,1976,0.014640681,0.014640681,0.002648267
Italy,1977,0.014957685,0.014957685,0.001439299
Italy,1978,0.015915013,0.015915013,0.03684912
Italy,1979,0.016794082,0.016794082,0.020196039
Italy,1980,0.017618351,0.017618351,0.009614102
Italy,1981,0.018746431,0.018746431,0.011292485
Italy,1982,0.020066827,0.020066827,0.063325689
Italy,1983,0.021585761,0.021585761,0.034895579
Italy,1984,0.023276171,0.023276171,0.045954873
Italy,1985,0.025991556,0.025991556,0.069159851
Italy,1986,0.027550009,0.027550009,0.066604857
Italy,1987,0.028725608,0.028725608,0.026979419
Italy,1988,0.030687942,0.030687942,0.001395972
Italy,1989,0.032642944,0.032642944,0.020804821
Italy,1990,0.034308245,0.034308245,0.002687288
Italy,1991,0.035995612,0.035995612,0.011722322
Italy,1992,0.036893298,0.036893298,0.033414931
Italy,1993,0.036173438,0.036173438,0.070198383
Italy,1994,0.035809302,0.035809302,0.048183133
Italy,1995,0.037175229,0.037175229,0.010233341
Italy,1996,0.038890065,0.038890065,0.072001812
Italy,1997,0.041091312,0.041091312,0.074024764
Italy,1998,0.04317063,0.04317063,0.032600931
Italy,1999,0.045463237,0.045463237,0.026982306
Italy,2000,0.048698583,0.048698583,0.001338624
Italy,2001,0.051107433,0.051107433,0.011500439
Italy,2002,0.053658487,0.053658487,0.050469276
Italy,2003,0.054933241,0.054933241,0.065298351
Italy,2004,0.055759413,0.055759413,0.023103474
Italy,2005,0.056664296,0.056664296,0.002604869
Italy,2006,0.057918293,0.057918293,0.068820765
Italy,2007,0.059407947,0.059407947,0.079839055
Italy,2008,0.060426188,0.060426188,0.033915931
Italy,2009,0.061251865,0.061251865,0.058253461
Italy,2010,0.061132654,0.061132654,0.012677483
Italy,2011,0.062549546,0.062549546,0.066680491
