Entity,Year,Share of women in top 10%,Share of women in top 5%,Share of women in top 1%,Share of women in top 0.1%,Share of women in top 0.5%,Share of women in top 0.25%,top 10% series 2,top 5% series 2,top 1% series 2,top 0.1% series 2,top 0.5% series 2,top 0.25% series 2,top 0.5% series 3
Italy,1999,25.2,21.4,15.4,12.5,14.3,13.6,,,,,,,
Italy,2000,25.3,21.7,15.5,12.3,14.1,13.3,,,,,,,
Italy,2001,25.4,21.9,15.7,12.0,14.1,13.2,,,,,,,
Italy,2002,25.4,21.9,15.7,12.2,14.1,13.2,,,,,,,
Italy,2003,25.7,22.1,15.9,12.6,14.3,13.4,,,,,,,
Italy,2004,25.6,22.3,15.8,11.7,14.2,13.0,,,,,,,
Italy,2005,25.6,22.5,16.1,11.7,14.3,13.0,,,,,,,
Italy,2006,26.2,22.8,16.7,12.1,14.8,13.4,,,,,,,
Italy,2007,26.2,23.1,16.7,12.1,14.8,13.5,,,,,,,
Italy,2008,27.2,23.5,17.0,12.0,14.9,13.4,,,,,,,
Italy,2009,28.2,24.2,17.5,12.0,15.4,13.5,,,,,,,
Italy,2010,28.6,24.5,17.9,12.1,15.7,13.8,,,,,,,
Italy,2011,28.8,24.9,18.2,12.5,16.0,14.2,,,,,,,
Italy,2012,28.0,24.8,18.4,12.7,16.2,14.4,,,,,,,
Italy,2013,28.5,25.4,19.1,13.4,17.0,15.1,,,,,,,
Italy,2014,29.0,25.9,19.6,13.8,17.5,15.6,,,,,,,
Italy,2015,28.6,26.0,19.7,14.1,17.8,16.0,,,,,,,
