Entity,Year,Total number of shark attacks (GSAF (2018)),Total number of shark attack fatalities (GSAF (2018))
Italy,-725,1,1
Italy,1721,1,1
Italy,1738,1,1
Italy,1868,1,1
Italy,1877,1,0
Italy,1881,1,1
Italy,1887,1,0
Italy,1899,2,1
Italy,1902,2,1
Italy,1904,1,1
Italy,1919,1,0
Italy,1926,1,1
Italy,1928,1,0
Italy,1934,1,0
Italy,1937,1,0
Italy,1942,1,0
Italy,1943,1,0
Italy,1944,1,1
Italy,1949,2,0
Italy,1950,2,0
Italy,1951,4,1
Italy,1952,2,1
Italy,1954,2,0
Italy,1956,2,0
Italy,1961,2,0
Italy,1962,2,1
Italy,1963,1,0
Italy,1966,1,0
Italy,1967,3,0
Italy,1970,1,0
Italy,1976,1,0
Italy,1978,1,0
Italy,1982,2,0
Italy,1984,1,0
Italy,1985,1,0
Italy,1987,1,0
Italy,1988,1,0
Italy,1989,2,1
Italy,1991,1,0
Italy,1999,1,0
Italy,2001,1,0
Italy,2006,1,1
Italy,2012,1,0
