Entity,Year,Reported Smallpox cases (WHO),"World Region (World Bank, 2017)"
Italy,1920,26453.0,Europe and Central Asia
Italy,1921,4644.0,Europe and Central Asia
Italy,1922,534.0,Europe and Central Asia
Italy,1923,495.0,Europe and Central Asia
Italy,1924,432.0,Europe and Central Asia
Italy,1925,195.0,Europe and Central Asia
Italy,1926,112.0,Europe and Central Asia
Italy,1927,60.0,Europe and Central Asia
Italy,1928,98.0,Europe and Central Asia
Italy,1929,6.0,Europe and Central Asia
Italy,1930,2.0,Europe and Central Asia
Italy,1931,,Europe and Central Asia
Italy,1932,,Europe and Central Asia
Italy,1933,,Europe and Central Asia
Italy,1934,,Europe and Central Asia
Italy,1935,,Europe and Central Asia
Italy,1936,,Europe and Central Asia
Italy,1937,,Europe and Central Asia
Italy,1938,0.0,Europe and Central Asia
Italy,1939,4.0,Europe and Central Asia
Italy,1940,0.0,Europe and Central Asia
Italy,1941,,Europe and Central Asia
Italy,1942,,Europe and Central Asia
Italy,1943,0.0,Europe and Central Asia
Italy,1944,2878.0,Europe and Central Asia
Italy,1945,3116.0,Europe and Central Asia
Italy,1946,772.0,Europe and Central Asia
Italy,1947,44.0,Europe and Central Asia
Italy,1948,9.0,Europe and Central Asia
Italy,1949,4.0,Europe and Central Asia
Italy,1950,1.0,Europe and Central Asia
Italy,1951,0.0,Europe and Central Asia
Italy,1952,0.0,Europe and Central Asia
Italy,1953,0.0,Europe and Central Asia
Italy,1954,0.0,Europe and Central Asia
Italy,1955,0.0,Europe and Central Asia
Italy,1956,0.0,Europe and Central Asia
Italy,1957,8.0,Europe and Central Asia
Italy,1958,0.0,Europe and Central Asia
Italy,1959,,Europe and Central Asia
Italy,1960,,Europe and Central Asia
Italy,1961,,Europe and Central Asia
Italy,1962,,Europe and Central Asia
Italy,1963,,Europe and Central Asia
Italy,1964,,Europe and Central Asia
Italy,1965,,Europe and Central Asia
Italy,1966,,Europe and Central Asia
