Entity,Year,Sales of cigarettes per adult per day (International Smoking Statistics (2017)) ,"Number of cigarettes smoked per smoker per day, females (ISS (2017))","Number of cigarettes smoked per smoker per day, males (ISS (2017))","Prevalence of smoking, females (ISS (2017))","Prevalence of smoking, males (ISS (2017))"
Italy,1904,0.2000000029802322,,,,
Italy,1905,0.2000000029802322,,,,
Italy,1909,0.300000011920929,,,,
Italy,1910,0.300000011920929,,,,
Italy,1914,0.5,,,,
Italy,1915,0.5,,,,
Italy,1919,0.699999988079071,,,,
Italy,1920,0.699999988079071,,,,
Italy,1921,1.100000023841858,,,,
Italy,1922,1.100000023841858,,,,
Italy,1923,1.100000023841858,,,,
Italy,1924,1.100000023841858,,,,
Italy,1925,1.100000023841858,,,,
Italy,1926,1.399999976158142,,,,
Italy,1927,1.399999976158142,,,,
Italy,1928,1.399999976158142,,,,
Italy,1929,1.399999976158142,,,,
Italy,1930,1.399999976158142,,,,
Italy,1931,1.200000047683716,,,,
Italy,1932,1.200000047683716,,,,
Italy,1933,1.200000047683716,,,,
Italy,1934,1.200000047683716,,,,
Italy,1935,1.200000047683716,,,,
Italy,1936,1.5,,,,
Italy,1937,1.5,,,,
Italy,1938,1.5,,,,
Italy,1939,1.5,,,,
Italy,1940,1.5,,,,
Italy,1941,1.799999952316284,,,,
Italy,1942,1.799999952316284,,,,
Italy,1943,1.799999952316284,,,,
Italy,1944,1.799999952316284,,,,
Italy,1945,1.799999952316284,,,,
Italy,1946,1.799999952316284,,,,
Italy,1947,1.799999952316284,,,,
Italy,1948,1.799999952316284,,,,
Italy,1949,1.799999952316284,,,,
Italy,1950,1.799999952316284,,,,
Italy,1951,2.799999952316284,,,,
Italy,1952,2.799999952316284,,,,
Italy,1953,2.799999952316284,,,,
Italy,1954,2.799999952316284,,,,
Italy,1955,2.799999952316284,,,,
Italy,1956,3.200000047683716,,,,
Italy,1957,3.400000095367432,,,,
Italy,1958,3.400000095367432,,,,
Italy,1959,3.5,,,,
Italy,1960,3.599999904632568,,,,
Italy,1961,3.799999952316284,,,,
Italy,1962,4.0,,,,
Italy,1963,4.0,,,,
Italy,1964,4.099999904632568,,,,
Italy,1965,4.199999809265137,,,,
Italy,1966,4.5,,,,
Italy,1967,4.599999904632568,,,,
Italy,1968,4.699999809265137,,,,
Italy,1969,4.699999809265137,,,,
Italy,1970,4.699999809265137,,,,
Italy,1971,4.699999809265137,,,,
Italy,1972,4.900000095367432,,,,
Italy,1973,5.300000190734863,,,,
Italy,1974,5.699999809265137,,,,
Italy,1975,5.699999809265137,,,,
Italy,1976,5.699999809265137,,,,
Italy,1977,5.699999809265137,,,,
Italy,1978,5.599999904632568,,,,
Italy,1979,6.0,,,,
Italy,1980,6.099999904632568,,,,
Italy,1981,6.099999904632568,,,,
Italy,1982,6.199999809265137,,,,
Italy,1983,6.199999809265137,,,,
Italy,1984,6.300000190734863,,,,
Italy,1985,6.300000190734863,,,,
Italy,1986,6.199999809265137,,,,
Italy,1987,6.0,,,,
Italy,1988,5.599999904632568,,,,
Italy,1989,5.599999904632568,,,,
Italy,1990,5.199999809265137,,,,
Italy,1991,5.099999904632568,,,,
Italy,1992,5.0,,,,
Italy,1993,5.0,,,,
Italy,1994,5.099999904632568,,,,
Italy,1995,5.099999904632568,,,,
Italy,1996,5.0,,,,
Italy,1997,5.0,,,,
Italy,1998,5.099999904632568,,,,
Italy,1999,5.400000095367432,,,,
Italy,2000,5.599999904632568,,,,
Italy,2001,5.699999809265137,,,,
Italy,2002,5.800000190734863,,,,
Italy,2003,5.599999904632568,,,,
Italy,2004,5.400000095367432,,,,
Italy,2005,5.0,,,,
Italy,2006,5.099999904632568,,,,
Italy,2007,5.0,,,,
Italy,2008,5.0,,,,
Italy,2009,4.800000190734863,,,,
Italy,2010,4.699999809265137,,,,
