Entity,Year,"Cigarette consumption per smoker per day (IHME, GHDx (2012))","Consumption per smoker per day lower bound (IHME, GHDx (2012))","Consumption per smoker per day upper bound (IHME, GHDx (2012))","Lower bound for daily smoking prevalence - both (IHME, GHDx (2012))","Upper bound for daily smoking prevalence - both (IHME, GHDx (2012))","Daily smoking prevalence - both (IHME, GHDx (2012))","Lower bound for daily smoking prevalence - male (IHME, GHDx (2012))","Upper bound for daily smoking prevalence - male (IHME, GHDx (2012))","Daily smoking prevalence - male (IHME, GHDx (2012))","Lower bound for daily smoking prevalence - female (IHME, GHDx (2012))","Upper bound for daily smoking prevalence - female (IHME, GHDx (2012))","Daily smoking prevalence - female (IHME, GHDx (2012))","Number of daily smokers - both (IHME, GHDx (2012))","Lower bound for number of daily smokers - both (IHME, GHDx (2012))","Upper bound for number of daily smokers - both (IHME, GHDx (2012))","Number of daily female smokers (IHME, GHDx (2012))","Lower bound for number of female daily smokers (IHME, GHDx (2012))","Upper bound for number of female daily smokers (IHME, GHDx (2012))","Number of daily male smokers (IHME, GHDx (2012))","Lower bound for number of daily male smokers (IHME, GHDx (2012))","Upper bound for number of daily male smokers (IHME, GHDx (2012))"
Italy,1980,20.700001,19.1,22.5,29.6,33.599998,31.700001,40.599998,47.299999,43.900002,18.4,22.6,20.5,13851670,12949026,14704042,4683180,4214204,5176215,9168490,8480223,9863310
Italy,1981,20.299999,18.9,22.0,29.6,33.400002,31.6,39.700001,46.099998,43.099998,19.0,23.1,21.0,13993964,13105818,14820709,4854939,4382500,5343015,9139025,8429461,9776737
Italy,1982,20.1,18.700001,21.700001,29.4,33.099998,31.299999,38.700001,45.099998,42.099998,19.4,23.5,21.4,14007427,13130351,14825389,4993272,4514783,5486398,9014155,8296402,9665024
Italy,1983,19.9,18.6,21.5,29.0,33.0,31.0,37.799999,44.099998,41.099998,19.6,24.0,21.799999,13996183,13066573,14864957,5119422,4613423,5626699,8876761,8162695,9523693
Italy,1984,19.799999,18.5,21.299999,28.799999,32.700001,30.700001,37.0,43.0,40.099998,19.9,24.200001,22.1,13956424,13077713,14851925,5226255,4698544,5730795,8730169,8050823,9365262
Italy,1985,19.700001,18.4,21.0,28.6,32.200001,30.4,36.400002,41.700001,39.099998,20.200001,24.4,22.299999,13900456,13082876,14742387,5318579,4811857,5812851,8581877,7982698,9153602
Italy,1986,19.5,18.4,20.6,28.5,31.6,30.0,35.900002,40.400002,38.200001,20.6,24.4,22.5,13856489,13131893,14592288,5410493,4958046,5850677,8445995,7935105,8933986
Italy,1987,19.299999,18.299999,20.299999,28.5,31.1,29.799999,35.5,39.299999,37.400002,21.299999,24.4,22.799999,13850692,13248120,14437680,5512402,5144437,5905115,8338290,7918225,8750344
Italy,1988,19.1,18.200001,20.0,28.6,30.6,29.6,35.200001,38.299999,36.700001,21.799999,24.5,23.1,13862257,13400039,14339843,5619609,5309584,5967819,8242647,7898047,8599208
Italy,1989,18.799999,18.0,19.799999,28.4,30.299999,29.4,34.700001,37.599998,36.200001,21.9,24.4,23.1,13866043,13410876,14308687,5680460,5364098,5994679,8185583,7849085,8515588
Italy,1990,18.700001,17.799999,19.700001,28.1,30.0,29.1,34.400002,37.200001,35.799999,21.700001,24.200001,22.9,13804637,13349567,14249889,5657413,5367425,5971516,8147224,7829337,8481183
