Entity,Year,Male suicide rate (age-standardized),Female suicide rate (age-standardized),Male:female suicide ratio,Suicide rate - 15-19 years (Male),Suicide rate - 15-19 years (Female),Suicide rate - 15-19 years (Both sexes),Suicide rate - 20-24 years (Male),Suicide rate - 20-24 years (Female),Suicide rate - 20-24 years (Both sexes),Suicide rate - 25-29 years (Male),Suicide rate - 25-29 years (Female),Suicide rate - 25-29 years (Both sexes),Suicide rate - 30-34 years (Male),Suicide rate - 30-34 years (Female),Suicide rate - 30-34 years (Both sexes),Suicide rate - 35-39 years (Male),Suicide rate - 35-39 years (Female),Suicide rate - 35-39 years (Both sexes),Suicide rate - 40-44 years (Male),Suicide rate - 40-44 years (Female),Suicide rate - 40-44 years (Both sexes),Suicide rate - 45-49 years (Male),Suicide rate - 45-49 years (Female),Suicide rate - 45-49 years (Both sexes),Suicide rate - 50-69 years (Male),Suicide rate - 50-69 years (Female),Suicide rate - 50-69 years (Both sexes),Suicide rate - 70+ years (Male),Suicide rate - 70+ years (Female),Suicide rate - 70+ years (Both sexes)
Italy,1990,11.08,3.85,2.88,43.43,1.52,2.86,9.05,2.13,5.62,11.18,1.87,6.49,13.49,3.08,8.17,17.92,3.17,10.36,22.25,4.94,13.35,26.32,6.88,13.06,19.5,8.44,13.66,43.07,12.19,24.05
Italy,1991,11.44,3.83,2.99,4.85,1.68,3.29,11.21,2.83,7.09,13.33,3.56,8.49,13.92,4.31,9.14,12.81,4.39,8.59,13.31,4.9,9.08,13.92,5.53,9.67,20.02,8.29,13.83,42.42,12.02,23.7
Italy,1992,11.36,3.67,3.1,23.43,10.45,17.07,43.44,8.07,25.57,42.06,9.6,25.13,37.66,7.44,21.86,28.52,6.81,17.26,25.8,8.08,16.71,22.66,7.52,14.97,19.85,7.95,13.58,41.11,11.37,22.81
Italy,1993,11.08,3.56,3.11,2.83,1.09,1.96,5.52,1.81,3.66,7.91,1.45,4.62,6.9,2.0,4.39,7.63,1.84,4.62,7.04,1.57,4.22,9.44,1.64,5.41,9.86,1.89,5.63,40.31,11.08,22.33
Italy,1994,11.21,3.41,3.29,6.29,3.53,4.9,12.22,4.96,8.48,14.68,5.8,10.08,16.14,6.16,11.02,18.11,7.42,12.68,19.76,7.46,13.64,23.21,7.6,20.46,40.78,17.18,28.66,40.22,10.59,22.01
Italy,1995,11.23,3.32,3.38,4.47,3.47,3.98,12.73,3.96,8.41,12.83,4.71,8.8,12.27,4.14,8.22,21.69,7.21,14.43,17.06,5.85,11.56,20.45,9.18,14.96,25.44,10.69,18.13,39.59,9.98,21.41
Italy,1996,11.03,3.26,3.38,5.41,1.67,3.58,12.01,2.5,7.32,13.1,3.08,8.14,13.06,3.55,8.33,12.44,3.75,8.09,13.1,4.29,8.67,13.98,4.89,9.38,35.78,8.15,21.15,38.31,9.76,20.79
Italy,1997,11.06,3.14,3.52,21.33,5.73,15.08,34.63,4.58,11.88,28.77,5.49,21.23,23.44,4.57,10.76,22.2,4.24,15.88,19.32,4.08,11.05,16.96,2.99,11.56,18.21,6.39,12.04,38.1,9.41,20.51
Italy,1998,10.95,3.14,3.49,1.73,0.76,1.27,3.31,1.05,2.31,4.19,1.32,2.99,4.88,1.43,13.71,25.9,4.62,15.12,28.48,4.48,16.28,34.24,4.66,19.15,17.62,6.23,11.68,37.71,9.36,20.35
Italy,1999,10.52,2.93,3.59,2.43,0.76,1.6,5.7,1.14,3.38,6.93,1.56,4.15,6.88,1.65,4.17,7.6,1.43,4.4,8.54,1.22,4.72,7.18,1.26,14.11,16.77,9.89,24.23,35.65,8.8,19.22
