Entity,Year,Abortion related,Airports & Aircraft,Business,Educational Institution,Food or Water Supply,Government (Diplomatic),Government (General),Journalists & Media,Maritime,Military,NGO,Other,Police,Private Citizens & Property,Religious Figures/Institutions,Telecommunications,Terrorists/Non-State Militia,Tourists,Transportation,Unknown,Utilities,Violent Political Party
Italy,1970,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,1971,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,1972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Italy,1973,0,4,3,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Italy,1974,0,1,10,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Italy,1975,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Italy,1976,0,5,52,4,0,15,27,6,0,21,1,0,16,14,1,0,0,1,1,0,0,9
Italy,1977,0,5,105,10,1,11,52,18,0,13,0,0,30,37,0,0,0,1,9,2,1,10
Italy,1978,0,1,90,8,1,1,73,12,0,4,0,1,47,15,4,0,0,1,3,2,4,10
Italy,1979,0,7,56,6,0,0,56,12,0,0,0,0,38,21,1,0,0,2,2,6,0,2
Italy,1980,0,10,27,3,0,5,20,10,0,2,0,0,19,4,0,0,0,2,5,0,1,2
Italy,1981,0,5,17,1,0,6,16,1,0,3,0,0,12,4,0,0,1,1,0,0,1,0
Italy,1982,0,2,3,0,0,1,1,0,0,3,0,0,7,3,1,0,2,0,0,0,0,0
Italy,1983,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
Italy,1984,0,0,2,0,0,4,3,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Italy,1985,0,5,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Italy,1986,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,1987,0,0,1,0,0,2,3,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
Italy,1988,0,0,7,2,0,0,5,2,0,1,0,0,1,4,0,0,0,0,4,0,3,0
Italy,1989,0,0,9,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0
Italy,1990,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0
Italy,1991,0,4,11,4,0,3,3,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0
Italy,1992,0,1,8,0,0,2,8,1,0,4,0,0,3,8,0,0,0,0,1,0,1,0
Italy,1994,0,0,9,0,0,0,4,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0
Italy,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,1996,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Italy,1997,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Italy,1998,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Italy,1999,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Italy,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,0,1
Italy,2001,0,0,1,0,0,1,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Italy,2002,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Italy,2003,0,1,1,0,0,1,4,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0
Italy,2004,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2005,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0
Italy,2006,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2008,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2009,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Italy,2010,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Italy,2011,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Italy,2012,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2013,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Italy,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0
Italy,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
Italy,2016,0,0,2,0,0,1,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0
Italy,2017,0,0,1,0,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
