Entity,Year,Biological,Chemical,Explosives,Fake Weapons,Firearms,Incendiary,Melee,Other,Radiological,Sabotage Equipment,Unknown,Vehicle
Italy,1970,0,1,1,0,1,0,0,0,0,0,0,0
Italy,1971,0,0,3,0,0,0,0,0,0,0,0,0
Italy,1972,0,0,4,0,0,0,0,0,0,0,0,0
Italy,1973,0,0,7,0,2,5,0,0,0,0,1,0
Italy,1974,0,0,11,0,1,8,0,0,0,0,2,0
Italy,1975,0,0,3,0,1,2,0,0,0,0,1,0
Italy,1976,0,0,62,0,26,81,0,0,0,0,4,0
Italy,1977,0,0,115,0,68,113,3,0,0,0,9,0
Italy,1978,0,1,97,0,59,105,1,0,0,0,14,0
Italy,1979,0,0,65,0,59,49,1,0,0,0,35,0
Italy,1980,0,1,30,0,45,28,1,0,0,0,5,0
Italy,1981,0,0,35,0,24,1,0,0,0,0,9,0
Italy,1982,0,0,13,0,8,0,0,0,0,0,2,0
Italy,1983,0,0,1,0,4,1,0,0,0,0,1,0
Italy,1984,0,0,7,0,5,1,1,0,0,0,0,0
Italy,1985,0,0,8,0,3,0,0,0,0,0,0,0
Italy,1986,0,0,2,0,0,1,0,0,0,0,4,0
Italy,1987,0,0,9,0,5,0,0,0,0,0,0,0
Italy,1988,0,0,27,0,1,1,0,0,0,0,0,0
Italy,1989,0,0,6,1,1,7,0,0,0,0,0,0
Italy,1990,0,0,6,0,0,0,0,0,0,0,0,0
Italy,1991,0,0,17,0,3,8,2,0,0,0,1,0
Italy,1992,0,0,18,0,9,5,3,0,0,0,2,0
Italy,1994,0,0,6,0,2,5,2,0,0,0,3,0
Italy,1995,0,0,0,0,0,0,1,0,0,0,0,0
Italy,1996,0,0,5,0,0,3,0,0,0,0,0,0
Italy,1997,0,0,4,0,1,0,0,0,0,0,3,0
Italy,1998,0,0,6,0,0,0,0,0,0,0,0,0
Italy,1999,0,0,5,0,1,1,0,0,0,0,0,0
Italy,2000,0,0,7,0,0,1,0,0,0,0,0,0
Italy,2001,0,0,9,0,0,2,0,0,0,0,0,0
Italy,2002,0,0,5,0,1,1,0,0,0,0,0,0
Italy,2003,0,1,12,0,0,2,0,0,0,0,0,0
Italy,2004,0,0,3,0,0,0,0,0,0,0,0,0
Italy,2005,0,0,6,0,0,0,0,0,0,0,0,0
Italy,2006,0,0,4,0,0,0,0,0,0,0,0,0
Italy,2008,0,0,0,0,0,0,2,0,0,0,0,0
Italy,2009,0,0,4,0,0,0,0,0,0,0,0,0
Italy,2010,0,0,10,0,0,0,0,0,0,0,0,0
Italy,2011,0,0,3,0,2,0,0,0,0,0,0,0
Italy,2012,0,0,7,0,2,1,0,0,0,0,0,0
Italy,2013,0,0,4,0,1,0,0,2,0,0,0,0
Italy,2014,0,0,4,0,0,2,1,0,0,0,0,0
Italy,2015,0,0,1,0,0,1,3,0,0,0,0,0
Italy,2016,0,0,9,0,1,1,0,0,0,0,0,0
Italy,2017,0,0,5,0,0,1,2,0,0,0,0,0
