Entity,Year,Import trade share from labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Import trade share from capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000)
Italy,1962,0.40874,9.79134,0.42162,7.95019
Italy,1963,0.44852,10.6371,0.43139,7.52132
Italy,1964,0.34547,9.30053,0.36262,7.92982
Italy,1965,0.32671,8.43459,0.44112,8.94693
Italy,1966,0.33297,9.20122,0.42525,9.43206
Italy,1967,0.26878,9.27769,0.36876,9.24637
Italy,1968,0.26211,9.08987,0.3885,10.06325
Italy,1969,0.31307,10.14092,0.3536,10.43912
Italy,1970,0.28893,11.60599,0.33227,10.32101
Italy,1971,0.24284,11.41206,0.32511,10.8852
Italy,1972,0.30255,11.89597,0.27283,11.57486
Italy,1973,0.3196,14.20328,0.26805,11.88995
Italy,1974,0.42207,17.97261,0.36882,13.64633
Italy,1975,0.37229,14.48412,0.46058,13.53884
Italy,1976,0.53952,16.51037,0.48697,14.82195
Italy,1977,0.51136,15.72386,0.60276,15.75186
Italy,1978,0.55631,15.14876,0.59564,16.28095
Italy,1979,0.68134,16.61763,0.50046,16.23844
Italy,1980,0.71921,17.54558,0.58312,14.5795
Italy,1981,0.81258,17.69015,0.64062,15.00248
Italy,1982,0.61392,17.03209,0.6333,14.80087
Italy,1983,0.65114,15.0715,0.64498,14.3378
Italy,1984,0.65326,16.46837,0.60563,14.84604
Italy,1985,0.70542,17.39923,0.60966,15.02057
Italy,1986,0.38085,14.33234,0.45401,13.70785
Italy,1987,0.37228,14.10222,0.37836,13.26034
Italy,1988,0.36814,14.19857,0.36868,13.41892
Italy,1989,0.41472,15.0207,0.38503,14.01873
Italy,1990,0.38556,14.28666,0.40051,13.47743
Italy,1991,0.31497,13.85021,0.33805,13.00832
Italy,1992,0.33799,13.57083,0.3528,12.79671
Italy,1993,0.39516,13.2128,0.47675,14.14573
Italy,1994,0.48595,14.48387,0.49126,15.68423
Italy,1995,0.53409,16.49133,0.53614,17.78054
Italy,1996,0.47848,15.01621,0.53929,17.17147
Italy,1997,0.4784,15.87554,0.56447,17.55763
Italy,1998,0.4773,16.12134,0.57527,17.52647
Italy,1999,0.49042,16.70718,0.51497,17.37965
Italy,2000,0.58456,19.59839,0.48091,19.12541
