Entity,Year,UN Population Division (Median Age) (2015)
Italy,1950,28.62
Italy,1955,30.14
Italy,1960,31.37
Italy,1965,32.06
Italy,1970,32.81
Italy,1975,33.33
Italy,1980,34.11
Italy,1985,35.51
Italy,1990,37.01
Italy,1995,38.65
Italy,2000,40.36
Italy,2005,41.99
Italy,2010,43.8
Italy,2015,45.88
Italy,2020,47.8
Italy,2025,49.57
Italy,2030,50.82
Italy,2035,51.52
Italy,2040,51.8
Italy,2045,51.84
Italy,2050,51.72
Italy,2055,51.58
Italy,2060,51.47
Italy,2065,51.13
Italy,2070,50.69
Italy,2075,50.33
Italy,2080,50.19
Italy,2085,50.27
Italy,2090,50.46
Italy,2095,50.67
Italy,2100,50.85
