Entity,Year,Urban population 1950-2050 (UN World Urbanization Prospects 2018),Rural population 1950-2050 (UN World Urbanization Prospects 2018)
Italy,1950,25212000,21387000
Italy,1951,25754000,21268000
Italy,1952,26235000,21177000
Italy,1953,26673000,21093000
Italy,1954,27095000,20989000
Italy,1955,27502000,20871000
Italy,1956,27899000,20739000
Italy,1957,28291000,20602000
Italy,1958,28686000,20465000
Italy,1959,29096000,20334000
Italy,1960,29528000,20215000
Italy,1961,29985000,20110000
Italy,1962,30472000,20016000
Italy,1963,30976000,19927000
Italy,1964,31486000,19836000
Italy,1965,31990000,19738000
Italy,1966,32486000,19630000
Italy,1967,32975000,19514000
Italy,1968,33460000,19392000
Italy,1969,33945000,19267000
Italy,1970,34436000,19142000
Italy,1971,34933000,19017000
Italy,1972,35330000,18991000
Italy,1973,35675000,19007000
Italy,1974,36008000,19014000
Italy,1975,36321000,19010000
Italy,1976,36612000,18992000
Italy,1977,36882000,18963000
Italy,1978,37134000,18923000
Italy,1979,37371000,18875000
Italy,1980,37598000,18821000
Italy,1981,37814000,18762000
Italy,1982,37936000,18781000
Italy,1983,38006000,18833000
Italy,1984,38061000,18877000
Italy,1985,38099000,18913000
Italy,1986,38121000,18941000
Italy,1987,38128000,18962000
Italy,1988,38126000,18978000
Italy,1989,38121000,18992000
Italy,1990,38119000,19008000
Italy,1991,38124000,19028000
Italy,1992,38169000,19020000
Italy,1993,38229000,18998000
Italy,1994,38280000,18972000
Italy,1995,38317000,18939000
Italy,1996,38334000,18896000
Italy,1997,38338000,18847000
Italy,1998,38351000,18802000
Italy,1999,38403000,18777000
Italy,2000,38514000,18780000
Italy,2001,38691000,18815000
Italy,2002,38948000,18854000
Italy,2003,39250000,18897000
Italy,2004,39554000,18941000
Italy,2005,39836000,18973000
Italy,2006,40089000,18990000
Italy,2007,40318000,18996000
Italy,2008,40516000,18986000
Italy,2009,40681000,18961000
Italy,2010,40811000,18918000
Italy,2011,40902000,18858000
Italy,2012,41028000,18706000
Italy,2013,41158000,18510000
Italy,2014,41276000,18309000
Italy,2015,41394000,18110000
Italy,2016,41515000,17915000
Italy,2017,41637000,17723000
Italy,2018,41763000,17528000
Italy,2019,41887000,17329000
Italy,2020,42007000,17125000
Italy,2021,42121000,16917000
Italy,2022,42233000,16704000
Italy,2023,42344000,16489000
Italy,2024,42455000,16272000
Italy,2025,42569000,16054000
Italy,2026,42685000,15835000
Italy,2027,42804000,15616000
Italy,2028,42923000,15395000
Italy,2029,43043000,15173000
Italy,2030,43161000,14949000
Italy,2031,43277000,14724000
Italy,2032,43391000,14498000
Italy,2033,43503000,14270000
Italy,2034,43614000,14042000
Italy,2035,43722000,13813000
Italy,2036,43827000,13583000
Italy,2037,43929000,13354000
Italy,2038,44027000,13123000
Italy,2039,44121000,12893000
Italy,2040,44210000,12662000
Italy,2041,44293000,12432000
Italy,2042,44369000,12202000
Italy,2043,44438000,11973000
Italy,2044,44499000,11745000
Italy,2045,44552000,11520000
Italy,2046,44594000,11296000
Italy,2047,44628000,11075000
Italy,2048,44652000,10855000
Italy,2049,44667000,10638000
Italy,2050,44671000,10422000
