Entity,Year,palm_oil_yield,sunflower_oil_yield,rapeseed_oil_yield,soybean_oil_yield,olive_oil_yield,coconut_oil_yield,groundnut_oil_yield,cottonseed_oil_yield,sesame_oil_yield,area_one_tonne_palm,area_one_tonne_sunflower,area_one_tonne_rapeseed,area_one_tonne_soybean,area_one_tonne_olive,area_one_tonne_coconut,area_one_tonne_groundnut,area_one_tonne_cottonseed,area_one_tonne_sesame,area_global_demand_palm,area_global_demand_sunflower,area_global_demand_rapeseed,area_global_demand_soybean,area_global_demand_olive,area_global_demand_coconut,area_global_demand_groundnut,area_global_demand_cottonseed,area_global_demand_sesame
Italy,1961,,,,,0.3207194010416667,,5.54075652637187,0.0501344514835239,,,,,,3.117990357777214,,0.1804807692307692,19.946363636363635,,,,,,703636884.0395838,,40729095.192307696,4501295881.818182,
Italy,1962,,,,,0.2484178482736521,,6.193419378294856,0.0409388646288209,,,,,,4.025475653015157,,0.161461696507191,24.42666666666667,,,,,,908429090.6159304,,36437061.05077781,5512365866.666667,
Italy,1963,,,,,0.4392393699502163,,16.158898305084747,0.0800591205813523,,,,,,2.276662950575994,,0.0618854071063327,12.490769230769232,,,,,,513774528.0564846,,13965679.821686111,2818791892.3076925,
Italy,1964,,,,,0.2465564738292011,,12.540185646366313,0.0800312317001756,,,,,,4.05586592178771,,0.0797436360353854,12.495121951219511,,,,,,915287262.5698324,,17995746.344105434,2819774170.731708,
Italy,1965,,,,,0.3378932968536252,,13.324082639531298,0.089862398202752,,,,,,2.9595141700404857,,0.0750520712797963,11.128125,,,,,,667873562.7530364,,16937000.925711643,2511283968.75,
Italy,1966,,,,,0.25364269876465,,22.75804289544236,0.0572232645403377,,,,,,3.942553855760224,,0.0439405094978648,17.475409836065573,,,,,,889716128.6294098,,9916054.778383154,3943675737.7049184,
Italy,1967,,,,,0.4243740620804044,,21.574894108586832,0.0611790878754171,,,,,,2.3564116880699792,,0.0463501695520257,16.345454545454547,,,,,,531771425.6467522,,10459842.76280564,3688678727.272728,
Italy,1968,,,,,0.302930056710775,,37.24155320221886,0.0571986607142857,,,,,,3.3010920436817472,,0.0268517264725795,17.482926829268294,,,,,,744957441.4976599,,6059629.113067028,3945372097.560976,
Italy,1969,,,,,0.3721113032542053,,31.040424121935057,0.0611620795107033,,,,,,2.6873679763413603,,0.0322160546541417,16.35,,,,,,606458331.2209548,,7270197.05380017,3689704500.0,
Italy,1970,,,,,0.3215406999004518,,36.75451807228916,0.054416073670992,,,,,,3.110026196713503,,0.0272075394386396,18.37692307692308,,,,,,701839611.8123362,,6139925.425117804,4147120230.769231,
Italy,1971,,,,,0.4569379759000517,,45.90568060021436,0.05239666213856,,,,,,2.188480828344928,,0.0217837964043894,19.085185185185185,,,,,,493874468.5325999,,4915949.334578566,4306953740.740741,
Italy,1972,,,,,0.2524156384718299,,50.41820418204182,0.0472222222222222,,,,,,3.9617196702002353,,0.0198341058794828,21.176470588235293,,,,,,894041277.9740871,,4475962.673822884,4778894117.6470585,
Italy,1973,,,,,0.4022528531199051,,48.03594351732991,0.0601456157011712,,,,,,2.4859985261606483,,0.0208177445216461,16.626315789473683,,,,,,561015287.3986735,,4697940.406199893,3752060684.210526,
Italy,1974,,,,,0.3103224877627411,,41.662049861495845,0.0464458804523424,,,,,,3.222454186963582,,0.024002659574468,21.530434782608697,,,,,,727211236.3720715,,5416680.186170213,4858773217.391305,
Italy,1975,,,,,0.4563743870781656,,43.4855403348554,0.0494411006018916,,,,,,2.1911834413019435,,0.0229961498074903,20.22608695652174,,,,,,494484367.19860953,,5189541.127056353,4564421043.478261,
Italy,1976,,,,,0.2133939525149744,,50.765306122448976,0.0591249507292077,,,,,,4.68616841393304,,0.0196984924623115,16.913333333333334,,,,,,1057527625.9722692,,4445358.793969849,3816831933.3333335,
Italy,1977,,,,,0.497078554425449,,26.21802002224694,0.0330305532617671,,,,,,2.0117544623421857,,0.0381417055579126,30.275,,,,,,453992629.516761,,8607438.693254137,6832159250.0,
Italy,1978,,,,,0.3024330373258248,,20.0,0.027192386131883,,,,,,3.306517068512772,,0.05,36.775,,,,,,746181706.8512772,,11283500.0,8299014250.0,
Italy,1979,,,,,0.3807883352026919,,29.058823529411764,0.0294117647058823,,,,,,2.6261308647170205,,0.034412955465587,34.0,,,,,,592638952.2406901,,7765971.659919028,7672780000.0,
Italy,1980,,,,,0.5537733579276606,,11.789772727272728,0.0306122448979591,,,,,,1.805792903692976,,0.0848192771084337,32.666666666666664,,,,,,407513284.5763939,,19141166.26506024,7371886666.666667,
Italy,1981,,,,,0.48714859437751,,21.612377850162865,0.011806375442739,,,,,,2.0527617477328937,,0.0462697814619442,84.7,,,,,,463246743.61088216,,10441701.582516955,19114249000.0,
Italy,1982,,,,,0.3459929192146765,,30.899653979238757,0.0230352303523035,,,,,,2.8902325581395347,,0.0323628219484882,43.41176470588236,,,,,,652238781.3953488,,7303318.029115342,9796732941.17647,
Italy,1983,,,,,0.6639132529654523,,22.075892857142858,6.611111111111111,,,,,,1.5062208737864078,,0.0452982810920121,0.1512605042016807,,,,,,339908864.5873786,,10222463.094034376,34134957.98319328,
Italy,1984,,,,,0.2761719604990408,,12.523364485981308,0.0178571428571428,,,,,,3.620932400932401,,0.0798507462686567,56.0,,,,,,817135814.918415,,18019917.91044776,12637520000.0,
Italy,1985,,,,,0.5420514471463928,,11.704918032786884,0.05,,,,,,1.8448433359314107,,0.0854341736694677,20.0,,,,,,416325795.6196415,,19279929.9719888,4513400000.0,
Italy,1986,,,,,0.293679389790512,,14.618589743589745,6.466666666666667,,,,,,3.4050738143841897,,0.0684060513045384,0.1546391752577319,,,,,,768423007.6920801,,15437193.5978952,34897422.68041237,
Italy,1987,,,,,0.5739008207529773,,21.96710526315789,23.98125,,,,,,1.7424613519248258,,0.0455226115603474,0.0416992442011988,,,,,,393221253.28887546,,10273087.7508236,9410268.438884543,
Italy,1988,,,,,0.3774104079674362,,23.463414634146343,68.50344827586207,,,,,,2.6496354602024708,,0.0426195426195426,0.0145978052954797,,,,,,597943234.3038915,,9617952.182952182,3294286.7210309072,
Italy,1989,,,,,0.5081693141784275,,41.51282051282051,280.5,,,,,,1.9678480618546004,,0.0240889437924644,0.0035650623885918,,,,,,444084272.1187277,,5436151.945645461,804527.6292335116,
Italy,1990,,,,,0.1439425534747688,,74.08333333333333,302.0851063829787,,,,,,6.947215926493109,,0.0134983127109111,0.0033103253979433,,,,,,1567778218.1316998,,3046164.229471316,747041.1325538808,
Italy,1991,,,,,0.7049085376241121,,172.63636363636363,,,,,,,1.4186237598575426,,0.0057925223802001,,,,,,,320140823.88705164,,1307198.525539758,,
Italy,1992,,,,,0.3860196279660753,,2902.0,,,,,,,2.5905418469754165,,0.0003445899379738,,,,,,,584607578.6069422,,77763.61130254997,,
Italy,1993,,,,,0.5052760429231333,,3368.0,,,,,,,1.9791161960000705,,0.0002969121140142,,,,,,,446627151.9513359,,67004.1567695962,,
Italy,1994,,,,,0.4348195291131094,,234.9375,,,,,,,2.2998047075752903,,0.0042564511838254,,,,,,,518996928.3585158,,960553.3386538972,,
Italy,1995,,,,,0.5696436671720905,,141.1764705882353,,,,,,,1.7554833971285035,,0.0070833333333333,,,,,,,396159938.2299894,,1598495.8333333333,,
Italy,1996,,,,,0.3533501793283339,,,,,,,,,2.8300537497981497,,,,,,,,,638658229.7169484,,,,
Italy,1997,,,,,0.5799407641952469,,,,,,,,,1.7243140364303364,,,,,,,,,389125948.601234,,,,
Italy,1998,,,,,0.4226966191372971,,,,,,,,,2.365762948473424,,,,,,,,,533881724.5819976,,,,
Italy,1999,,,,,0.6323863344282288,,,,,,,,,1.58131184302733,,,,,,,,,356854643.6159776,,,,
Italy,2000,,,,,0.4368112947658402,,,,,,,,,2.289318092234923,,,,,,,,,516630413.8746551,,,,
Italy,2001,,,,,0.4924615175886473,,,,,,,,,2.030615518744551,,,,,,,,,458249004.1150828,,,,
