Entity,Year,Volcanic eruption deaths (NGDC/NOAA)
Italy,-141,40
Italy,79,2100
Italy,450,0
Italy,764,0
Italy,1169,16000
Italy,1300,0
Italy,1362,0
Italy,1410,0
Italy,1485,0
Italy,1510,0
Italy,1536,1
Italy,1538,24
Italy,1568,0
Italy,1570,0
Italy,1580,0
Italy,1586,0
Italy,1595,0
Italy,1598,0
Italy,1600,0
Italy,1629,0
Italy,1630,0
Italy,1631,4000
Italy,1638,0
Italy,1640,0
Italy,1650,0
Italy,1660,0
Italy,1663,0
Italy,1664,0
Italy,1669,2
Italy,1672,0
Italy,1677,0
Italy,1682,4
Italy,1684,0
Italy,1711,0
Italy,1716,0
Italy,1717,0
Italy,1718,0
Italy,1721,0
Italy,1727,0
Italy,1737,2
Italy,1741,0
Italy,1754,0
Italy,1755,0
Italy,1757,0
Italy,1760,0
Italy,1766,0
Italy,1772,0
Italy,1775,0
Italy,1778,0
Italy,1779,0
Italy,1780,0
Italy,1781,0
Italy,1783,0
Italy,1784,0
Italy,1785,0
Italy,1786,0
Italy,1790,0
Italy,1792,0
Italy,1794,400
Italy,1800,0
Italy,1801,0
Italy,1805,4
Italy,1812,0
Italy,1814,0
Italy,1815,0
Italy,1816,0
Italy,1822,0
Italy,1832,0
Italy,1833,0
Italy,1838,0
Italy,1840,0
Italy,1843,56
Italy,1845,0
Italy,1846,0
Italy,1848,0
Italy,1853,0
Italy,1854,0
Italy,1856,0
Italy,1860,0
Italy,1861,0
Italy,1864,0
Italy,1866,0
Italy,1867,0
Italy,1868,0
Italy,1869,0
Italy,1871,0
Italy,1872,9
Italy,1873,9
Italy,1874,0
Italy,1875,0
Italy,1877,0
Italy,1878,0
Italy,1883,0
Italy,1885,0
Italy,1886,0
Italy,1887,0
Italy,1888,0
Italy,1892,0
Italy,1893,0
Italy,1894,0
Italy,1895,0
Italy,1896,0
Italy,1897,0
Italy,1899,0
Italy,1900,0
Italy,1902,0
Italy,1903,0
Italy,1904,0
Italy,1905,1
Italy,1906,350
Italy,1907,0
Italy,1909,0
Italy,1910,0
Italy,1911,0
Italy,1912,0
Italy,1913,0
Italy,1914,0
Italy,1917,0
Italy,1919,4
Italy,1920,0
Italy,1921,0
Italy,1923,0
Italy,1924,0
Italy,1926,0
Italy,1927,0
Italy,1928,5
Italy,1929,2
Italy,1930,6
Italy,1931,0
Italy,1932,0
Italy,1933,0
Italy,1934,0
Italy,1936,0
Italy,1937,0
Italy,1938,0
Italy,1939,0
Italy,1940,0
Italy,1941,0
Italy,1943,0
Italy,1944,27
Italy,1946,0
Italy,1947,0
Italy,1949,0
Italy,1950,0
Italy,1951,0
Italy,1952,0
Italy,1953,0
Italy,1954,0
Italy,1955,0
Italy,1957,0
Italy,1958,0
Italy,1961,0
Italy,1962,0
Italy,1963,0
Italy,1964,0
Italy,1965,0
Italy,1966,0
Italy,1967,0
Italy,1968,0
Italy,1969,0
Italy,1970,3
Italy,1971,0
Italy,1972,0
Italy,1973,0
Italy,1974,0
Italy,1975,0
Italy,1976,0
Italy,1977,0
Italy,1978,0
Italy,1979,9
Italy,1980,0
Italy,1981,0
Italy,1982,0
Italy,1983,0
Italy,1984,1
Italy,1985,1
Italy,1986,1
Italy,1987,2
Italy,1988,0
Italy,1989,0
Italy,1990,0
Italy,1991,0
Italy,1992,0
Italy,1993,0
Italy,1994,0
Italy,1995,0
Italy,1996,0
Italy,1997,0
Italy,1998,0
Italy,1999,0
Italy,2000,0
Italy,2001,2
Italy,2002,0
Italy,2004,0
Italy,2005,0
Italy,2006,0
Italy,2007,0
Italy,2008,0
Italy,2010,0
Italy,2011,0
Italy,2013,0
Italy,2014,0
Italy,2015,0
Italy,2016,0
Italy,2017,3
