Entity,Year,Full-time production workers (male and female) in non-agricultural activities (Weekly Work Hours) (Huberman & Minns (2007)) ,Full-time production workers (male and female) in non-agricultural activities (Annual Work Hours) (Huberman & Minns (2007)),Weeks Worked,Days of Vacation and Holidays
Italy,1870,63.3,3000,47.4,23.0
Italy,1880,63.4,3008,47.4,
Italy,1890,63.6,3006,47.3,
Italy,1900,63.8,3014,47.2,24.0
Italy,1913,62.4,2953,47.3,
Italy,1929,48.8,2153,44.1,
Italy,1938,48.5,2162,44.6,37.0
Italy,1950,47.8,1951,,24.0
Italy,1960,42.4,2012,,
Italy,1970,42.9,1825,,
Italy,1980,42.5,1724,,35.0
Italy,1990,39.6,1674,,40.0
Italy,2000,38.4,1612,,41.5
