Entity,Year,Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Italy,1996,4.4579,,
Italy,1998,4.46177,9.2389,24.63552
Italy,1999,4.52157,9.54947,25.81831
Italy,2000,4.29715,9.44847,25.81831
Italy,2001,4.667,9.82544,24.07855
Italy,2002,4.44524,9.50514,25.81831
Italy,2003,4.55283,9.64084,25.65385
Italy,2004,4.39519,9.38801,25.79931
Italy,2005,4.24747,9.01373,24.57947
Italy,2006,4.53567,9.52719,25.05577
Italy,2007,4.11659,8.80193,25.08452
Italy,2008,4.40076,9.20517,25.23137
Italy,2009,4.53407,8.86717,25.17905
Italy,2010,4.34919,8.72395,24.97795
Italy,2011,4.14054,8.43019,24.72651
