Entity,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2022)
Italy,2003,6.85378360748291
Italy,2005,6.57441234588623
Italy,2006,6.77977418899536
Italy,2007,6.33380031585693
Italy,2008,6.35423803329468
Italy,2009,6.05708646774292
Italy,2010,5.83931398391724
Italy,2011,6.00937366485596
Italy,2012,6.0265851020813
Italy,2013,5.84768390655518
Italy,2014,5.95452404022217
Italy,2015,6.19887018203735
Italy,2016,6.51652669906616
Italy,2017,6.44541692733765
Italy,2018,6.48835611343384
Italy,2019,6.48309993743896
Italy,2020,6.46670007705688
