Entity,Year,Youth mortality rate (UN IGME (2021)),Neonatal mortality rate,Infant mortality rate,Under-five mortality rate,Under-ten mortality rate,Under-fifteen mortality rate (2018),Under-fifteen mortality rate (2021),Under-twenty mortality rate,Under-twenty-five mortality rate
Italy,1950,9.65,,7.08,8.86,,9.65,,,
Italy,1951,8.91,,6.56,8.16,,8.91,,,
Italy,1952,8.25,,6.1,7.53,,8.25,,,
Italy,1953,7.67,,5.7,6.98,,7.67,,,
Italy,1954,7.2,,5.37,6.54,,7.2,,,
Italy,1955,6.83,,5.12,6.19,,6.83,,,
Italy,1956,6.56,,4.94,5.94,,6.56,,,
Italy,1957,6.35,,4.81,5.75,,6.35,,,
Italy,1958,6.15,,4.69,5.57,,6.15,,,
Italy,1959,5.95,,4.56,5.39,,5.95,,,
Italy,1960,5.73,2.44,4.41,5.19,,5.73,,,
Italy,1961,5.5,2.35,4.26,4.98,,5.5,,,
Italy,1962,5.27,2.29,4.09,4.76,,5.27,,,
Italy,1963,5.02,2.28,3.92,4.54,,5.02,,,
Italy,1964,4.78,2.28,3.74,4.31,,4.78,,,
Italy,1965,4.56,2.27,3.58,4.11,,4.56,,,
Italy,1966,4.37,2.24,3.43,3.93,,4.37,,,
Italy,1967,4.21,2.19,3.31,3.78,,4.21,,,
Italy,1968,4.06,2.12,3.2,3.64,,4.06,,,
Italy,1969,3.92,2.06,3.09,3.51,,3.92,,,
Italy,1970,3.76,2.04,2.96,3.35,,3.76,,,
Italy,1971,3.58,2.02,2.81,3.18,,3.58,,,
Italy,1972,3.36,1.97,2.64,2.98,,3.36,,,
Italy,1973,3.12,1.85,2.45,2.76,,3.12,,,
Italy,1974,2.88,1.72,2.24,2.53,,2.88,,,
Italy,1975,2.64,1.59,2.05,2.31,,2.64,,,
Italy,1976,2.44,1.49,1.88,2.11,,2.44,,,
Italy,1977,2.26,1.4,1.73,1.95,,2.26,,,
Italy,1978,2.12,1.31,1.61,1.82,,2.12,,,
Italy,1979,2.0,1.22,1.51,1.7,,2.0,,,
Italy,1980,1.89,1.13,1.42,1.61,,1.89,,,
Italy,1981,1.78,1.05,1.34,1.52,,1.78,,,
Italy,1982,1.69,0.98,1.26,1.43,,1.69,,,
Italy,1983,1.59,0.93,1.19,1.35,,1.59,,,
Italy,1984,1.5,0.88,1.12,1.27,,1.5,,,
Italy,1985,1.41,0.83,1.05,1.2,,1.41,,,
Italy,1986,1.33,0.78,0.99,1.14,,1.33,,,
Italy,1987,1.27,0.74,0.95,1.08,,1.27,,,
Italy,1988,1.23,0.71,0.9,1.04,,1.23,,,
Italy,1989,1.18,0.68,0.87,1.0,,1.18,,,
Italy,1990,1.15,0.65,0.84,0.97,1.05,1.15,1.15,1.42,1.77
Italy,1991,1.12,0.6,0.8,0.93,1.02,1.12,1.12,1.39,1.74
Italy,1992,1.08,0.56,0.77,0.89,0.98,1.08,1.08,1.35,1.7
Italy,1993,1.04,0.53,0.73,0.85,0.94,1.04,1.04,1.3,1.64
Italy,1994,0.99,0.5,0.68,0.8,0.89,0.99,0.99,1.24,1.57
Italy,1995,0.93,0.47,0.64,0.75,0.83,0.93,0.93,1.17,1.5
Italy,1996,0.88,0.44,0.6,0.7,0.78,0.88,0.88,1.11,1.43
Italy,1997,0.82,0.42,0.56,0.66,0.74,0.83,0.82,1.05,1.36
Italy,1998,0.78,0.39,0.53,0.62,0.69,0.78,0.78,1.0,1.3
Italy,1999,0.73,0.37,0.5,0.59,0.65,0.74,0.73,0.95,1.25
Italy,2000,0.69,0.35,0.47,0.56,0.62,0.7,0.69,0.9,1.19
Italy,2001,0.66,0.32,0.45,0.53,0.59,0.66,0.66,0.86,1.15
Italy,2002,0.63,0.31,0.43,0.5,0.56,0.62,0.63,0.83,1.1
Italy,2003,0.6,0.29,0.41,0.48,0.54,0.6,0.6,0.79,1.06
Italy,2004,0.58,0.28,0.39,0.46,0.52,0.57,0.58,0.76,1.02
Italy,2005,0.56,0.27,0.38,0.45,0.5,0.56,0.56,0.73,0.99
Italy,2006,0.54,0.26,0.37,0.43,0.48,0.54,0.54,0.71,0.95
Italy,2007,0.53,0.25,0.36,0.42,0.47,0.52,0.53,0.69,0.92
Italy,2008,0.51,0.25,0.35,0.41,0.46,0.51,0.51,0.67,0.89
Italy,2009,0.5,0.25,0.34,0.41,0.45,0.51,0.5,0.65,0.86
Italy,2010,0.49,0.24,0.34,0.4,0.44,0.49,0.49,0.63,0.83
Italy,2011,0.48,0.24,0.33,0.39,0.43,0.48,0.48,0.61,0.8
Italy,2012,0.46,0.23,0.32,0.38,0.42,0.47,0.46,0.59,0.77
Italy,2013,0.45,0.22,0.31,0.37,0.41,0.45,0.45,0.57,0.74
Italy,2014,0.44,0.22,0.3,0.36,0.39,0.44,0.44,0.55,0.71
Italy,2015,0.43,0.21,0.3,0.35,0.38,0.43,0.43,0.54,0.69
Italy,2016,0.42,0.21,0.29,0.34,0.37,0.41,0.42,0.52,0.67
Italy,2017,0.41,0.2,0.28,0.33,0.36,0.4,0.41,0.51,0.65
Italy,2018,0.39,0.19,0.27,0.32,0.35,,0.39,0.49,0.63
Italy,2019,0.37,0.18,0.26,0.3,0.33,,0.37,0.47,0.61
Italy,2020,0.36,0.17,0.25,0.29,0.32,,0.36,0.45,0.59
