DATAFLOW,LAST UPDATE,freq,unit,rskpovth,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2004,22.6,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2005,20.7,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2006,21.3,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2007,20.8,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2008,21.3,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2009,20.5,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2010,20.9,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2011,20.7,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2012,22.4,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2013,23.1,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2014,23.0,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2015,23.3,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2016,23.9,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2017,24.2,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2018,24.8,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2019,26.2,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2020,23.2,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2021,24.9,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2022,22.7,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2023,22.7,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2024,22.1,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,F,IT,2025,22.0,,
ESTAT:ILC_LVHO05A(1.0),08/06/26 23:00:00,A,PC,A_60,TOTAL,M,IT,2004,22.7,,
