DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1960,25526600.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1961,25705200.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1962,25869700.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1963,26059500.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1964,26257200.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1965,26498800.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1966,26710200.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1967,26916800.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1968,27106400.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1969,27268300.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1970,27425300.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1971,27567700.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1972,27689524.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1973,27896980.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1974,28088587.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1975,28286439.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1976,28451492.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1977,28598245.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1978,28725411.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1979,28837685.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1980,28929293.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1981,28994072.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1982,29036636.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1983,29062838.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1984,29069034.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1985,29087244.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1986,29097656.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1987,29101045.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1988,29113808.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1989,29138062.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1990,29166531.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1991,29196748.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1992,29218960.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1993,29249194.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1994,29266001.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1995,29275445.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1996,29283903.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1997,29309590.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1998,29332801.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,1999,29345361.0,,
ESTAT:DEMO_PJAN(1.0),09/07/26 11:00:00,A,NR,TOTAL,F,IT,2000,29360536.0,,
