DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1990,188.2,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1991,188.4,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1992,192.5,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1993,192.6,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1994,192.6,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1995,192.6,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1996,192.7,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1997,192.8,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1998,192.8,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,1999,192.9,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2000,193.0,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2001,193.1,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2002,193.3,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2003,194.2,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2004,195.5,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2005,196.4,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2006,197.0,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2007,198.0,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2008,199.3,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2009,200.2,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2010,200.9,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2011,201.2,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2012,201.8,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2013,199.4,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2014,206.0,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2015,205.8,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2016,205.4,b,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2017,203.3,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2018,202.9,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2019,201.5,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2020,200.6,b,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2021,199.6,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2022,198.1,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2023,198.1,,
ESTAT:DEMO_R_D3DENS(1.0),25/02/26 23:00:00,A,PER_KM2,IT,2024,198.0,,
