time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
1995,1995,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,24910.0
1996,1996,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,25240.0
1997,1997,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,25710.0
1998,1998,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,26170.0
1999,1999,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,26600.0
2000,2000,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,27620.0
2001,2001,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28160.0
2002,2002,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28180.0
2003,2003,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28050.0
2004,2004,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28250.0
2005,2005,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28300.0
2006,2006,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28690.0
2007,2007,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28940.0
2008,2008,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,28420.0
2009,2009,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,26760.0
2010,2010,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,27050.0
2011,2011,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,27140.0
2012,2012,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,26220.0
2013,2013,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,25690.0
2014,2014,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,25690.0
2015,2015,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,25960.0
2016,2016,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,26330.0
2017,2017,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,26800.0
2018,2018,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,27080.0
2019,2019,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,27260.0
2020,2020,IT,Italy,B1GQ,Gross domestic product at market prices,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,24960.0
