DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2000,56942.1,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2001,56979.8,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2002,57089.8,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2003,57399.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2004,57828.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2005,58166.7,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2006,58399.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2007,58756.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2008,59211.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2009,59555.5,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2010,59819.4,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2011,60026.8,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2012,60191.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2013,60311.6,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2014,60320.7,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2015,60229.6,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2016,60115.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2017,60002.3,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2018,59877.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2019,59729.1,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2020,59438.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2021,59133.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2022,59013.7,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2023,58984.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,IT,2024,58957.3,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2000,14912.27,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2001,14929.3,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2002,14964.6,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2003,15060.8,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2004,15208.4,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2005,15329.6,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2006,15407.5,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2007,15513.7,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2008,15646.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2009,15749.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2010,15833.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2011,15910.8,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2012,15981.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2013,16038.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2014,16057.5,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2015,16041.5,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2016,16023.2,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2017,16011.8,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2018,16001.4,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2019,15993.3,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2020,15943.9,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2021,15865.6,,
ESTAT:NAMA_10R_3POPGDP(1.0),10/02/26 11:00:00,A,THS,ITC,2022,15845.3,,
