DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2008,76.1,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2009,78.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2010,80.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2011,83.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2012,84.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2013,85.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2014,87.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2015,89.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2016,93,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2017,96.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2018,99.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2019,102.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2020,100,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2021,106.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2022,112.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL,2023,118,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2008,76.1,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2009,78.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2010,80.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2011,83.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2012,84.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2013,85.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2014,87.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2015,89.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2016,93,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2017,96.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2018,99.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2019,102.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2020,100,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2021,106.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2022,112.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL0,2023,118,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2008,83.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2009,86.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2010,92.1,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2011,92,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2012,93.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2013,93.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2014,92.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2015,97.1,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2016,101.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2017,103.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2018,103.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2019,105.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2020,100,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2021,108.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2022,115.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL01,2023,120.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2008,71.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2009,74.2,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2010,75.2,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2011,75.2,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2012,75.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2013,77.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2014,79.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2015,83.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2016,86.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2017,92.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2018,96.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2019,99.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2020,100,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2021,106.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2022,113.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL02,2023,119.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2008,78.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2009,79.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2010,81.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2011,91.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2012,92.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2013,94.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2014,97.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2015,94.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2016,98,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2017,97.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2018,102.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2019,104.8,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2020,100,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2021,105.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2022,108.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AL03,2023,113.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2000,78.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2001,79.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2002,81,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2003,82.1,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2004,84.3,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2005,86.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2006,89.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2007,92.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2008,94.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2009,90.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2010,92.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2011,95.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2012,95.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2013,95.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2014,96.4,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2015,97.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2016,99.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2017,101.9,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2018,104.7,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2019,106.6,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2020,100,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2021,104.5,,
ESTAT:NAMA_10R_2GVAGR(1.0),23/03/26 23:00:00,A,B1G,I20,AT,2022,111.3,,
