DATAFLOW,LAST UPDATE,freq,unit,landcover,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT,2009,5.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT,2012,4.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT,2015,4.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT,2018,4.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT,2022,2.5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT1,2009,10.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT1,2012,8.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT1,2015,8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT1,2018,6.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT1,2022,3.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT11,2009,25.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT11,2012,20.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT11,2015,18.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT11,2018,14.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT11,2022,0.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT12,2009,12.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT12,2012,10.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT12,2015,10,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT12,2018,8.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT12,2022,5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT13,2009,20.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT13,2012,16.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT13,2015,15.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT13,2018,14.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT13,2022,5.5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT2,2009,10.2,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT2,2012,8.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT2,2015,9.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT2,2018,12.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT2,2022,6.2,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT21,2009,20.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT21,2012,16.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT21,2015,17.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT21,2018,15.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT21,2022,13.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT22,2009,11.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT22,2012,10.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT22,2015,10.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT22,2018,16.5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT22,2022,2.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT3,2009,8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT3,2012,7.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT3,2015,7.2,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT3,2018,7.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT3,2022,3.3,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT31,2009,12.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT31,2012,10.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,AT31,2015,9.9,,
