year,value
2025,
2024,
2023,295720.0
2022,295720.0
2021,295717.0
2020,295717.0
2019,295717.0
2018,295718.0
2017,295718.0
2016,295718.0
2015,295718.0
2014,295718.0
2013,295718.0
2012,295718.0
2011,295718.0
2010,295718.0
2009,295718.0
2008,295718.0
2007,295718.0
2006,295718.0
2005,295718.0
2004,295718.0
2003,295718.0
2002,295718.0
2001,295718.0
2000,295718.0
1999,294110.0
1998,294110.0
1997,294110.0
1996,294110.0
1995,294110.0
1994,294110.0
1993,294110.0
1992,294110.0
1991,294110.0
1990,294110.0
1989,294110.0
1988,294110.0
1987,294110.0
1986,294110.0
1985,294110.0
1984,294110.0
1983,294110.0
1982,294110.0
1981,294110.0
1980,294110.0
1979,294110.0
1978,294110.0
1977,294110.0
1976,294110.0
1975,294110.0
1974,294110.0
1973,294110.0
1972,294110.0
1971,294110.0
1970,294110.0
1969,294110.0
1968,294110.0
1967,294110.0
1966,294110.0
1965,294110.0
1964,294110.0
1963,294110.0
1962,294110.0
1961,294110.0
1960,
