DATAFLOW,LAST UPDATE,freq,unit,landcover,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,IT,2009,1.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,IT,2012,1.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,IT,2015,1.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,IT,2018,2.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,IT,2022,1.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC,2009,3.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC,2012,3.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC,2015,3.4,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC,2018,3.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC,2022,5.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC1,2009,6.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC1,2012,5.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC1,2015,5.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC1,2018,7.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC1,2022,6.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC2,2009,24.5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC2,2012,24.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC2,2015,23.0,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC2,2018,23.5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC2,2022,5.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC3,2009,12.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC3,2012,11.9,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC3,2015,10.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC3,2018,14.2,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC3,2022,5.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC4,2009,4.8,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC4,2012,4.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC4,2015,4.6,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC4,2018,4.5,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITC4,2022,9.7,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITF,2009,4.1,,
ESTAT:LAN_LCV_ART(1.0),24/07/25 23:00:00,A,CVA,A00,ITF,2012,3.8,,
