DATAFLOW,LAST UPDATE,freq,unit,landuse,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1992,295081.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1993,295087.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1994,295101.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1995,295086.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1996,295096.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1997,295119.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1998,295115.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,1999,295116.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2000,295111.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2001,295106.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2002,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2003,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2004,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2005,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2006,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2007,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2008,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2009,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2010,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2011,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,IT,2012,295114.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1992,56219.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1993,56221.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1994,56235.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1995,56224.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1996,56224.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1997,56224.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1998,56224.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,1999,56224.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2000,56224.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2001,56226.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2002,56230.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2003,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2004,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2005,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2006,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2007,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2008,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2009,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2010,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2011,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC,2012,56229.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1992,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1993,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1994,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1995,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1996,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1997,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1998,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,1999,24856.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,2000,24857.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,2001,24857.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,2002,24859.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,2003,24860.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,2004,24860.0,,
ESTAT:DEMO_R_D3AREA(1.0),25/08/20 23:00:00,A,KM2,L0008,ITC1,2005,24860.0,,
