year,value
2025,
2024,
2023,8.1143987555796
2022,8.07062085756797
2021,7.33343872689091
2020,7.38934860018193
2019,8.16620958551588
2018,8.24095929229874
2017,8.39313129400307
2016,8.29168329286685
2015,8.27477529267748
2014,8.09216889063229
2013,7.64241608559506
2012,8.25786729248811
2011,8.523661055465
2010,8.75090457801013
2009,8.71911753765412
2008,8.60008521632095
2007,8.55882969585889
2006,8.60617209638913
2005,8.63660649672999
2004,8.6230800965785
2003,8.72452809771472
2002,8.81583129873731
2001,9.46171690597123
2000,9.48538810623635
1999,9.78205433341267
1998,9.54744823365407
1997,9.25164054265411
1996,9.09183638774608
1995,8.99323382407943
1994,9.56784876406786
1993,9.62225017850464
1992,9.78885451021726
1991,10.0302607867805
1990,10.0642616708034
1989,10.1118629084356
1988,10.2784672401482
1987,10.2172656489069
1986,10.241066267723
1985,10.4178708646425
1984,10.6592771412057
1983,10.6762775832172
1982,10.0540614055965
1981,10.0574614939988
1980,10.0404610519874
1979,10.0982625548264
1978,10.1016626432287
1977,10.1186630852402
1976,10.1628642344701
1975,10.1424637040563
1974,10.0948624664241
1973,10.013260344769
1972,9.90105742749311
1971,9.85345618986094
1970,10.0166604331713
1969,9.45224575838972
1968,9.68685185814831
1967,9.60184964809085
1966,9.56784876406786
1965,9.44544558158512
1964,9.43864540478052
1963,9.31964231070008
1962,9.43524531637823
1961,9.33664275271157
1960,
