time,time_label,geo,geo_label,unit,unit_label,siec,siec_label,nrg_bal,nrg_bal_label,freq,freq_label,OBS_VALUE
2010,2010,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,66187.0
2016,2016,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,64304.0
2017,2017,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,65490.699
2018,2018,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,65137.795
2019,2019,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,65588.003
2020,2020,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,66211.648
2021,2021,IT,Italy,GWH,Gigawatt-hour,E7000,Electricity,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,67119.685
