Categoria,Autovetture benzina,Autovetture gasolio,Autovetture gpl,Autovetture gas naturale,Veicoli commerciali leggeri benzina,Veicoli commerciali leggeri gasolio,Veicoli commerciali pesanti,Autobus gasolio,Autobus gas naturale,Ciclomotori e motocicli
2005.0,5.85,11.52,0.81,4.62,0.98,1.0,0.0,0.0,,
2006.0,13.65,23.3,4.87,13.15,4.01,4.65,0.23,0.35,68.97,
2007.0,18.79,33.06,16.77,26.48,7.34,10.91,4.14,3.64,74.61,
2008.0,23.07,39.7,25.48,38.5,10.41,16.52,7.83,7.79,77.08,
2009.0,27.07,44.64,42.52,51.83,13.8,20.36,9.7,10.85,79.25,
2010.0,30.84,49.05,51.92,58.67,16.59,24.49,11.91,14.91,80.68,
2011.0,34.42,53.48,55.79,62.09,21.95,27.83,14.22,18.13,82.3,
2012.0,36.63,56.55,60.21,65.69,23.41,30.14,15.95,20.85,83.51,
2013.0,38.89,59.47,63.79,69.42,24.69,32.14,17.84,23.75,83.66,
2014.0,41.04,62.31,66.94,72.88,25.78,34.45,19.53,26.33,85.44,
2015.0,43.43,64.86,69.61,75.94,26.9,36.83,21.56,29.27,86.29,
2016.0,46.53,68.58,72.21,78.36,27.53,40.41,24.56,32.83,87.53,0.5
2017.0,49.38,71.61,74.69,80.43,28.05,43.58,27.57,36.61,88.31,2.36
2018.0,52.17,74.22,76.93,82.45,29.76,46.31,30.57,41.39,89.62,4.65
2019.0,55.39,76.39,79.17,84.31,32.06,48.94,33.47,46.01,90.76,7.07
2020.0,57.53,77.77,80.55,85.69,34.21,51.03,35.9,49.42,92.98,9.25
2021.0,59.42,78.98,81.91,87.01,36.34,53.14,38.8,53.44,94.12,11.85
2022.0,60.94,79.88,83.05,87.88,39.3,54.82,41.23,57.22,95.32,14.31
2023.0,62.5,80.69,84.15,88.45,41.99,56.79,43.47,61.26,96.54,17.06
2024.0,64.07,81.43,85.22,89.0,44.29,58.77,45.67,65.34,97.71,19.98
,,,,,,,,,,
