Categoria,Autovetture,Veicoli commerciali leggeri,Veicoli commerciali pesanti - rigidi,Veicoli commerciali pesanti - articolati,Autobus urbani,Pullman extraurbani,Ciclomotori,Motocicli
1990.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1995.0,110.57,131.37,98.13,115.03,96.27,96.56,122.08,98.9
2000.0,117.49,179.54,81.34,122.62,108.59,114.19,139.27,125.49
2005.0,123.81,220.47,92.64,155.67,114.24,123.02,109.47,173.94
2010.0,132.94,254.51,87.44,165.23,115.72,137.47,85.01,213.05
2011.0,133.47,257.01,86.53,166.35,112.44,140.41,80.17,216.95
2012.0,133.89,257.44,84.68,160.12,113.68,135.75,80.15,219.95
2013.0,133.56,255.64,82.33,156.61,112.22,133.77,80.14,220.5
2014.0,134.19,256.16,80.66,155.7,111.57,132.78,80.08,221.6
2015.0,135.34,258.04,79.73,159.38,113.9,131.52,80.0,223.26
2016.0,137.52,264.0,79.64,168.98,112.97,132.56,79.98,225.91
2017.0,140.11,269.38,79.41,179.49,111.15,135.12,79.89,229.09
2018.0,142.21,273.77,79.28,189.58,109.5,137.52,79.67,232.78
2019.0,144.28,275.46,79.03,195.74,110.13,136.91,79.4,236.67
2020.0,145.08,279.23,78.85,201.26,109.31,135.68,79.09,240.79
2021.0,145.65,283.39,79.1,209.31,112.56,134.44,78.79,246.05
2022.0,147.31,287.74,79.48,217.67,108.27,133.92,78.5,251.23
2023.0,150.04,295.19,79.91,225.2,109.98,133.07,78.17,258.16
2024.0,151.77,301.68,80.31,231.78,109.98,135.98,77.91,265.72
,,,,,,,,
