Aeroporti,Numero   Movimenti del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter,Numero  passeggeri del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter,Numero  Transiti  del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter,Tonnellate Cargo  del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter,Movimenti Traffico aereo commerciale internazionale - Servizi di linea e charte,Passeggeri Traffico aereo commerciale internazionale - Servizi di linea e charte,Tonnellate Cargo Traffico aereo commerciale internazionale - Servizi di linea e charte ,Movimenti Traffico aereo commerciale nazionale - Servizi di linea e charter,Passeggeri Traffico aereo commerciale nazionale - Servizi di linea e charter,Tonnellate Cargo Traffico aereo commerciale nazionale - Servizi di linea e charter,Movimenti Traffico aereo commerciale di linea internazionale e nazionale,Passeggeri Traffico aereo commerciale di linea internazionale e nazionale,Tonnellate Cargo Traffico aereo commerciale di linea internazionale e nazionale,Movimenti  Traffico aereo commerciale di linea internazionale,Passeggeri  Traffico aereo commerciale di linea internazionale,Tonnellate Cargo Traffico aereo commerciale di linea internazionale,Movimenti Traffico aereo di linea nazionale,Passeggeri Traffico aereo di linea nazionale,Tonnellate Cargo Traffico aereo di linea nazionale,Movimenti  Traffico aereo charter complessivo internazionale e nazionale,Passeggeri  Traffico aereo charter complessivo internazionale e nazionale,Tonnellate Cargo Traffico aereo charter complessivo internazionale e nazionale,Movimenti Traffico aereo charter internazionale,Passeggeri Traffico aereo charter internazionale,Tonnellate Cargo Traffico aereo charter internazionale,Movimenti Traffico aereo charter nazionale,Passeggeri Traffico aereo charter nazionale,Tonnellate Cargo Traffico aereo charter nazionale,lat,lon
Alghero-Fertilia,9203,1318210,2346,7,1994,324909, - ,7209,993301,7,8556,1218616,7,1358,225411, - ,7198,993205,7,647,99594, - ,636,99498, - ,11,96, - ,40.6301526,8.2932567
Ancona-Falconara,6857,477472,2493,6422,3562,314081,357,3295,163391,6065,6368,472505,6071,3086,309503,19,3282,163002,6052,489,4967,351,476,4578,338,13,389,13,43.6163532,13.3705147
Bari-Palese Macchie,34608,4669278,12366,1569,13708,1835962,152,20900,2833316,1417,33573,4571537,1457,12756,1742011,40,20817,2829526,1417,1035,97741,112,952,93951,112,83,3790, - ,41.138056,16.765
Bergamo-Orio al Serio,84548,12330654,3361,125857,63616,9061742,110309,20932,3268912,15548,76673,12047176,34161,57229,8813146,29335,19444,3234030,4826,7875,283478,91696,6387,248596,80974,1488,34882,10722,45.6696253,9.6686121
Bologna-Borgo Panigale,66298,8220648,8218,41982,52223,6276461,37932,14075,1944187,4050,64554,8149417,26983,50603,6211784,23047,13951,1937633,3936,1744,71231,14999,1620,64677,14885,124,6554,114,44.5345254,11.2856706
Bolzano,102,6058, - , - ,12,648, - ,90,5410, - , - , - , - , - , - , - , - , - , - ,102,6058, - ,12,648, - ,90,5410, - ,46.4616447,11.3260503
Brescia-Montichiari,2842,8127, - ,27999,368,7607,13832,2474,520,14167,744,4612,5099,148,4612,745,596, - ,4354,2098,3515,22900,220,2995,13087,1878,520,9813,45.4255851,10.3248192
Brindisi-Papola Casale,15761,2314488,3053,89,3425,508626,47,12336,1805862,42,15497,2281015,42,3344,501068, - ,12153,1779947,42,264,33473,47,81,7558,47,183,25915, - ,40.6570757,17.9361438
Cagliari-Elmas,31351,4181748,2447,2842,6673,892698,39,24678,3289050,2803,30628,4107057,2801,6146,832479,2,24482,3274578,2799,723,74691,41,527,60219,37,196,14472,4,39.2540569,9.0582978
Catania-Fontanarossa,65737,9109745,6183,6686,20740,3013209,1832,44997,6096536,4854,61407,8528720,6682,17140,2481014,1832,44267,6047706,4850,4330,581025,4,3600,532195, - ,730,48830,4,37.466781,15.0639
Comiso-Aeroporto degli Iblei,2755,437940,157, - ,1120,174651, - ,1635,263289, - ,2383,390636, - ,757,127924, - ,1626,262712, - ,372,47304, - ,363,46727, - ,9,577, - ,36.991667,14.606944
Crotone, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,38.9949251,17.0750638
Cuneo-Levaldigi,812,116343,2012, - ,352,38622, - ,460,77721, - ,724,107798, - ,264,30077, - ,460,77721, - ,88,8545, - ,88,8545, - , - , - , - ,44.5483158,7.6216643
Firenze-Peretola,28970,2648278,163,63,24655,2263233,52,4315,385045,11,28865,2643061,63,24580,2259180,52,4285,383881,11,105,5217, - ,75,4053, - ,30,1164, - ,43.8086573,11.199036
Foggia-Gino Lisa,2,70, - , - , - , - , - ,2,70, - , - , - , - , - , - , - , - , - , - ,2,70, - , - , - , - ,2,70, - ,41.4339137,15.5336894
Forlì, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,44.1984858,12.0687383
Genova-Sestri,12896,1240962,1686,161,5863,528396,100,7033,712566,61,12758,1230012,153,5777,519825,94,6981,710187,59,138,10950,8,86,8571,6,52,2379,2,44.4139657,8.8443389
Grosseto,86,7774, - , - ,86,7774, - , - , - , - , - , - , - , - , - , - , - , - , - ,86,7774, - ,86,7774, - , - , - , - ,42.762433,11.0812354
Lamezia Terme,17302,2571305,7094,988,4240,620086,7,13062,1951219,981,16041,2463690,52,3601,533352, - ,12440,1930338,52,1261,107615,936,639,86734,7,622,20881,929,38.9065887,16.241213
Lampedusa,3889,257412, - ,17,68,1941, - ,3821,255471,17,3748,240149,17,50,1646, - ,3698,238503,17,141,17263, - ,18,295, - ,123,16968, - ,35.4988219,12.6152913
Marina di Campo-Isola d'Elba,854,9227, - , - ,328,5221, - ,526,4006, - ,854,9227, - ,328,5221, - ,526,4006, - , - , - , - , - , - , - , - , - , - ,42.761462,10.2374323
Milano-Linate,96392,9503065,984,13814,46125,4575377,12565,50267,4927688,1249,96388,9502652,13814,46122,4575014,12565,50266,4927638,1249,4,413, - ,3,363, - ,1,50, - ,45.4521756,9.2741192
Milano-Malpensa,174507,22037241,122849,589534,153187,18873019,588371,21320,3164222,1163,170368,21687406,555026,149434,18558203,554191,20934,3129203,835,4139,349835,34508,3753,314816,34180,386,35019,328,45.6300625,8.723342
Napoli-Capodichino,67786,8552223,13968,8642,40670,5742028,591,27116,2810195,8051,64071,8127978,2724,37630,5323738,587,26441,2804240,2137,3715,424245,5918,3040,418290,4,675,5955,5914,40.882989,14.2515598
Olbia-Costa Smeralda,22922,2813517,3001,187,10330,1361874,13,12592,1451643,174,21457,2605504,181,9057,1170548,7,12400,1434956,174,1465,208013,6,1273,191326,6,192,16687, - ,40.9022918,9.5132688
Palermo-Punta Raisi,43943,5753046,16337,324,10021,1352305,5,33922,4400741,319,42795,5604659,321,9047,1220437,2,33748,4384222,319,1148,148387,3,974,131868,3,174,16519, - ,38.1824001,13.0983932
Pantelleria,2949,136251, - ,20, - , - , - ,2949,136251,20,2887,129631,20, - , - , - ,2887,129631,20,62,6620, - , - , - , - ,62,6620, - ,36.815033,11.9648603
Parma,1120,157117,608, - ,290,32782, - ,830,124335, - ,1072,154396, - ,254,30506, - ,818,123890, - ,48,2721, - ,36,2276, - ,12,445, - ,44.8232625,10.2937462
Perugia-Sant'Egidio,1770,246815,14, - ,1212,173085, - ,558,73730, - ,1770,246815, - ,1212,173085, - ,558,73730, - , - , - , - , - , - , - , - , - , - ,43.0946706,12.5010596
Pescara,5361,665127,519,52,2351,358759,49,3010,306368,3,5319,662889,20,2335,357785,17,2984,305104,3,42,2238,32,16,974,32,26,1264, - ,42.431672,14.1830133
Pisa-San Giusto,37545,5222437,2283,10208,26706,3792689,7667,10839,1429748,2541,37271,5200065,9851,26460,3771267,7310,10811,1428798,2541,274,22372,357,246,21422,357,28,950, - ,43.6890842,10.3956958
Reggio di Calabria,3317,380062, - ,33, - , - , - ,3317,380062,33,3317,380062,33, - , - , - ,3317,380062,33, - , - , - , - , - , - , - , - , - ,38.071944,15.6511443
Rimini-Miramare,1973,300744,719,3,1952,300249,3,21,495, - ,1231,168339,3,1227,168339,3,4,..,..,742,132405, - ,725,131910, - ,17,495, - ,44.022888,12.6166303
Roma-Ciampino,35532,5851077,5470,17042,34092,5632464,16968,1440,218613,74,35041,5849644,8571,33607,5631031,8571,1434,218613, - ,491,1433,8471,485,1433,8397,6, - ,74,41.7993434,12.5878215
Roma-Fiumicino,295950,40840700,127615,185897,197109,29380826,182318,98841,11459874,3579,294087,40640209,185210,195467,29192974,181672,98620,11447235,3538,1863,200491,687,1642,187852,646,221,12639,41,41.7998868,12.2440497
Taranto-Grottaglie,210, - , - ,3440,209, - ,3438,1, - ,2, - , - , - , - , - , - , - , - , - ,210, - ,3440,209, - ,3438,1, - ,2,40.5184266,17.4016403
Torino-Caselle,39624,4186070,2935,425,21938,2052108,346,17686,2133962,79,38406,4026756,338,20828,1899337,259,17578,2127419,79,1218,159314,87,1110,152771,87,108,6543, - ,45.1965359,7.6456783
Trapani-Birgi,8947,1293128,469,39,2313,385175,21,6634,907953,18,8739,1283736,39,2231,378066,21,6508,905670,18,208,9392, - ,82,7109, - ,126,2283, - ,37.909518,12.4903339
Treviso-Sant'Angelo,17981,3005038,563, - ,12410,2042122, - ,5571,962916, - ,17777,2998008, - ,12268,2035250, - ,5509,962758, - ,204,7030, - ,142,6872, - ,62,158, - ,45.6532764,12.1998926
Trieste-Ronchi dei Legionari,8665,777575,262,105,3105,263086,83,5560,514489,22,8376,745672,22,2888,234271, - ,5488,511401,22,289,31903,83,217,28815,83,72,3088, - ,45.8206774,13.4831253
Venezia-Tessera,85176,10347377,7528,56477,72860,8988915,54422,12316,1358462,2055,83393,10199109,45258,71121,8841692,43293,12272,1357417,1965,1783,148268,11219,1739,147223,11129,44,1045,90,45.505061,12.3375823
Verona-Villafranca,26937,3076358,15282,419,17009,2055246,405,9928,1021112,14,24378,2727383,401,14657,1724456,387,9721,1002927,14,2559,348975,18,2352,330790,18,207,18185, - ,45.4000011,10.8879519
