locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
,Altri porti ( meno di un milione di tonnellate di merci movimentate e traffico passeggeri inferiore alle 200.000 unità),266,N/D,4,N/D,3,N/D,3,N/D,1,N/D,11,N/D,1,N/D,963,N/D,2,N/D,7107,N/D,4097,N/D,11204,N/D,2017,,
,Amalfi,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,232,,205,,437,,,N/D,,N/D,,N/D,2017,40.633333,14.6
ITAOI,Ancona,1662,,0,,638,,1994,,50,,4341,,522,,530,,1052,,2317,,2023,,4340,,2014,43.6206333333,13.5029972222
ITAOI,Ancona,1620,,0,,501,,2187,,280,,4589,,494,,485,,979,,2135,,2454,,4589,,2015,43.6206333333,13.5029972222
ITAOI,Ancona,1718,,7,,423,,2237,,135,,4520,,471,,493,,964,,2120,,2398,,4518,,2016,43.6206333333,13.5029972222
ITAOI,Ancona,2,,193,,602,,2,,213,,5,,519,,526,,1,,2430,,2546,,4976,,2017,43.6206333333,13.5029972222
ITAUG,Augusta,3,,22156,,961,,2,,199,,23321,,,N/D,,N/D,,N/D,13570,,7356,,20926,,2014,37.2427972222,15.2137111111
ITAUG,Augusta,23,,15045,,592,,8,,65,,19942,,,N/D,,N/D,,N/D,11857,,8085,,19942,,2015,37.2427972222,15.2137111111
ITAUG,Augusta,66,,19149,,422,,2,,237,,19876,,,N/D,,N/D,,N/D,11139,,8737,,19876,,2016,37.2427972222,15.2137111111
ITAUG,Augusta,23,,20,,591,,7,,103,,21,,,N/D,,N/D,,N/D,11956,,9139,,21095,,2017,37.2427972222,15.2137111111
ITBRI,Bari,312,,10,,1921,,1373,,79,,3696,,574,,509,,1083,,2433,,1262,,3695,,2014,41.1344944444,16.8640666667
ITBRI,Bari,405,,4,,1759,,1612,,23,,3804,,524,,481,,1005,,2543,,1263,,3806,,2015,41.1344944444,16.8640666667
ITBRI,Bari,678,,93,,2110,,1790,,25,,4696,,459,,421,,880,,3106,,1589,,4695,,2016,41.1344944444,16.8640666667
ITBRI,Bari,521,,184,,2,,2,,57,,5,,576,,577,,1,,3076,,1656,,4732,,2017,41.1344944444,16.8640666667
ITBLT,Barletta,0,,328,,515,,0,,164,,1006,,,N/D,,N/D,,N/D,892,,113,,1005,,2014,41.3255277778,16.2904
ITBLT,Barletta,0,,384,,696,,0,,57,,1137,,,N/D,,N/D,,N/D,935,,202,,1137,,2015,41.3255277778,16.2904
ITBLT,Barletta,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,694,,70,,764,,2016,41.3255277778,16.2904
ITBLT,Barletta,4,,566,,577,,1,,157,,1,,,N/D,,N/D,,N/D,1103,,200,,1304,,2017,41.3255277778,16.2904
ITBDS,Brindisi,6,,2993,,3733,,719,,702,,8153,,233,,233,,466,,6065,,2089,,8154,,2014,40.6505805556,17.9656805556
ITBDS,Brindisi,0,,1787,,3679,,2568,,499,,9765,,246,,188,,434,,7734,,2032,,9766,,2015,40.6505805556,17.9656805556
ITBDS,Brindisi,42,,1826,,3157,,3028,,576,,8629,,219,,204,,423,,5554,,3076,,8630,,2016,40.6505805556,17.9656805556
ITBDS,Brindisi,20,,2,,4,,3,,414,,9,,273,,227,,501,,6161,,2801,,8962,,2017,40.6505805556,17.9656805556
ITCAG,Cagliari,6841,,1756,,560,,3004,,756,,1292,,135,,142,,277,,5549,,5895,,11444,,2014,39.2106027778,9.112075
ITCAG,Cagliari,7035,,1383,,799,,3897,,38,,13154,,123,,136,,259,,4750,,5984,,10734,,2015,39.2106027778,9.112075
ITCAG,Cagliari,4772,,841,,723,,4132,,2929,,13397,,113,,116,,229,,6160,,7237,,13397,,2016,39.2106027778,9.112075
ITCAG,Cagliari,3,,2,,850,,4,,2,,12,,109,,175,,285,,5462,,6117,,11579,,2017,39.2106027778,9.112075
,Calasetta,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2017,39.116667,8.366667
ITCPA,Capraia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,43.0512027778,9.8376527778
ITCPA,Capraia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,43.0512027778,9.8376527778
ITCPA,Capraia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,43.0512027778,9.8376527778
,Capri,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2,,2,,4,,,N/D,,N/D,,N/D,2017,40.55,14.233333
,Carloforte,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2017,39.15,8.3
,Casamicciola,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,494,,481,,975,,,N/D,,N/D,,N/D,2017,40.75,13.916667
ITCAS,Castellammare di Stabia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,40.6941166667,14.4714361111
ITCAS,Castellammare di Stabia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,40.6941166667,14.4714361111
ITCAS,Castellammare di Stabia,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,40.6941166667,14.4714361111
ITCTA,Catania,163,,39,,222,,2513,,227,,3165,,,N/D,,N/D,,N/D,2057,,1108,,3165,,2014,37.4964444444,15.0941583333
ITCTA,Catania,325,,0,,334,,2689,,9,,3358,,,N/D,,N/D,,N/D,1737,,1623,,3360,,2015,37.4964444444,15.0941583333
ITCTA,Catania,241,,3,,325,,4111,,773,,5453,,,N/D,,N/D,,N/D,3569,,1884,,5453,,2016,37.4964444444,15.0941583333
ITCTA,Catania,189,,,N/D,362,,6,,1,,6,,,N/D,,N/D,,N/D,3929,,2161,,6090,,2017,37.4964444444,15.0941583333
ITCVX,Cavo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,42.8602416667,10.4233305556
ITCVX,Cavo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,42.8602416667,10.4233305556
ITCVX,Cavo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,42.8602416667,10.4233305556
ITCHI,Chioggia,1,,292,,832,,0,,892,,2015,,,N/D,,N/D,,N/D,1217,,799,,2016,,2014,45.2131277778,12.2693888889
ITCHI,Chioggia,0,,23,,1212,,1,,445,,1681,,,N/D,,N/D,,N/D,957,,724,,1681,,2015,45.2131277778,12.2693888889
