DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2013,6751.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2014,6844.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2015,6943.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2016,6943.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2017,6943.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2018,6966.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2019,6977.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2020,6978.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2021,7556.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2022,7558.0,,
ESTAT:TTR00002(1.0),10/06/26 23:00:00,A,MWAY,KM,IT,2023,7561.0,,
