DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2004,49254.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2005,50088.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2006,50185.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2007,49780.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2008,49524.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2009,48124.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2010,47172.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2011,,,C
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2012,46759.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2013,48739.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2014,49957.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2015,52207.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2016,52178.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2017,53231.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2018,55493.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2019,56586.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2020,22269.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2021,27693.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2022,46498.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2023,54791.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,MIO_PKM,IT,2024,55872.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2004,728177.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2005,759863.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2006,753536.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2007,774480.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2008,802440.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2009,799873.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2010,838892.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2011,,,C
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2012,854836.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2013,854756.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2014,864123.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2015,872623.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2016,869199.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2017,864570.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2018,882243.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2019,898472.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2020,389883.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2021,491782.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2022,693604.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2023,814441.0,,
ESTAT:RAIL_PA_TOTAL(1.0),21/07/26 23:00:00,A,THS_PAS,IT,2024,842822.0,,
