DATAFLOW,LAST UPDATE,freq,tra_type,tra_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,1999,24541.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2000,25594.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2001,30977.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2002,31938.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2003,30340.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2004,38193.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2005,39430.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2006,31317.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2007,26666.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2008,28360.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2009,21808.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2010,26131.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2011,14948.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2012,12037.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2013,14987.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2014,15230.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2015,12573.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2016,12216.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2017,12754.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2018,12869.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2019,15377.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2020,14943.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2021,16237.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2022,18714.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2023,16182.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_TKM,IT,2024,16419.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,1999,1128.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2000,1464.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2001,1789.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2002,1793.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2003,1819.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2004,2454.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2005,2546.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2006,1926.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2007,1666.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2008,1752.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2009,1279.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2010,1672.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2011,893.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2012,742.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2013,939.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2014,964.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2015,752.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2016,772.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2017,793.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2018,808.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2019,905.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2020,865.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2021,961.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2022,1105.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2023,975.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,MIO_VKM,IT,2024,1005.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,1999,26048.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2000,27608.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL,THS_T,IT,2001,32882.0,,
