DATAFLOW,LAST UPDATE,freq,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1990,77731.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1991,78649.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1992,78179.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1993,76974.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1994,76076.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1995,75023.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1996,80610.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1997,81478.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1998,83521.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,1999,85762.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2000,87956.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2001,89858.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2002,91716.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2003,92701.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2004,92874.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2005,94437.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2006,96099.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2007,96419.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2008,97510.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2009,98630.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2010,99810.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2011,100370.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2012,99400.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2013,98500.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2014,97848.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2015,97925.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2016,97753.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2017,99030.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2018,99973.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2019,100079.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2020,99818.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2021,100135.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2022,99951.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2023,100015.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,IT,2024,101303.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1990,18458.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1991,18914.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1992,18372.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1993,18170.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1994,17636.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1995,17342.0,,
ESTAT:TRAN_R_VEHST(1.0),04/03/26 23:00:00,A,BUS_TOT,NR,ITC,1996,17965.0,,
