year,value
2025,42080.0
2024,38640.0
2023,38750.0
2022,39060.0
2021,36760.0
2020,32600.0
2019,35030.0
2018,34270.0
2017,31790.0
2016,32400.0
2015,33460.0
2014,35370.0
2013,35700.0
2012,35970.0
2011,37710.0
2010,37720.0
2009,37830.0
2008,37870.0
2007,35880.0
2006,34260.0
2005,32480.0
2004,28390.0
2003,23440.0
2002,20830.0
2001,21260.0
2000,21980.0
1999,22050.0
1998,22270.0
1997,22370.0
1996,21880.0
1995,20720.0
1994,20910.0
1993,21640.0
1992,23010.0
1991,20410.0
1990,18710.0
1989,17340.0
1988,15990.0
1987,12190.0
1986,9400.0
1985,8050.0
1984,7780.0
1983,7650.0
1982,8240.0
1981,8730.0
1980,8450.0
1979,6760.0
1978,5280.0
1977,4740.0
1976,4520.0
1975,4330.0
1974,3940.0
1973,3260.0
1972,2620.0
1971,2290.0
1970,2120.0
1969,1940.0
1968,1770.0
1967,1620.0
1966,1480.0
1965,1330.0
1964,1210.0
1963,1110.0
1962,1010.0
1961,
1960,
