year,value
2025,
2024,
2023,1.9
2022,1.6
2021,1.7
2020,2.4
2019,2.9
2018,3.3
2017,3.5
2016,3.5
2015,4.0
2014,3.3
2013,3.4
2012,3.2
2011,2.8
2010,2.9
2009,2.2
2008,1.9
2007,1.9
2006,1.8
2005,2.1
2004,1.8
2003,2.3
2002,3.1
2001,
2000,3.6
1999,
1998,4.3
1997,
1996,
1995,4.2
1994,
1993,4.5
1992,
1991,1.8
1990,
1989,0.7
1988,
1987,3.2
1986,2.7
1985,
1984,2.2
1983,2.0
1982,1.5
1981,2.2
1980,2.8
1979,4.2
1978,4.3
1977,4.9
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
