year,value
2025,
2024,5136.67702163416
2023,5047.46897034285
2022,5215.69012140866
2021,5290.22854904133
2020,4969.24141417202
2019,5260.0173104957
2018,5271.10301261309
2017,5248.5196722283
2016,5124.17628393394
2015,5141.22581411583
2014,5041.25390970633
2013,5152.52344519454
2012,5339.31453521805
2011,5455.30956726508
2010,5443.93561106348
2009,5326.90087460336
2008,5720.55808175824
2007,5772.90104999388
2006,5807.89053590384
2005,5711.65465480737
2004,5673.94660654972
2003,5644.03493959078
2002,5536.7310293337
2001,5406.20079537033
2000,5299.85647879422
1999,5079.49240636916
1998,4955.721943958
1997,4791.28524594636
1996,4658.70015661723
1995,4597.89259796184
1994,4439.31925254295
1993,4303.64531166439
1992,4310.53796825883
1991,4224.74010554292
1990,4144.90744234232
1989,
1988,
1987,
1986,
1985,
1984,
1983,
1982,
1981,
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
