indicator,slug,year,value,country
SP.POP.TOTL,population_total,2025,58915656.0,IT
SP.POP.TOTL,population_total,2024,58952704.0,IT
SP.POP.TOTL,population_total,2023,58984216.0,IT
SP.POP.TOTL,population_total,2022,59013667.0,IT
SP.POP.TOTL,population_total,2021,59133173.0,IT
SP.POP.TOTL,population_total,2020,59438851.0,IT
SP.POP.TOTL,population_total,2019,59729081.0,IT
SP.POP.TOTL,population_total,2018,59877221.0,IT
SP.POP.TOTL,population_total,2017,60002252.0,IT
SP.POP.TOTL,population_total,2016,60115223.0,IT
SP.POP.TOTL,population_total,2015,60229605.0,IT
SP.POP.TOTL,population_total,2014,60320707.0,IT
SP.POP.TOTL,population_total,2013,60311613.0,IT
SP.POP.TOTL,population_total,2012,60191247.0,IT
SP.POP.TOTL,population_total,2011,60026841.0,IT
SP.POP.TOTL,population_total,2010,59819407.0,IT
SP.POP.TOTL,population_total,2009,59555454.0,IT
SP.POP.TOTL,population_total,2008,59211181.0,IT
SP.POP.TOTL,population_total,2007,58756247.0,IT
SP.POP.TOTL,population_total,2006,58399861.0,IT
SP.POP.TOTL,population_total,2005,58166682.0,IT
SP.POP.TOTL,population_total,2004,57828179.0,IT
SP.POP.TOTL,population_total,2003,57399184.0,IT
SP.POP.TOTL,population_total,2002,57089824.0,IT
SP.POP.TOTL,population_total,2001,56976981.0,IT
SP.POP.TOTL,population_total,2000,56942108.0,IT
SP.POP.TOTL,population_total,1999,56916317.0,IT
SP.POP.TOTL,population_total,1998,56906744.0,IT
SP.POP.TOTL,population_total,1997,56890372.0,IT
SP.POP.TOTL,population_total,1996,56860281.0,IT
SP.POP.TOTL,population_total,1995,56844303.0,IT
SP.POP.TOTL,population_total,1994,56843400.0,IT
SP.POP.TOTL,population_total,1993,56831821.0,IT
SP.POP.TOTL,population_total,1992,56797087.0,IT
SP.POP.TOTL,population_total,1991,56758521.0,IT
SP.POP.TOTL,population_total,1990,56719240.0,IT
SP.POP.TOTL,population_total,1989,56671781.0,IT
SP.POP.TOTL,population_total,1988,56629288.0,IT
SP.POP.TOTL,population_total,1987,56601931.0,IT
SP.POP.TOTL,population_total,1986,56596155.0,IT
SP.POP.TOTL,population_total,1985,56593071.0,IT
SP.POP.TOTL,population_total,1984,56576718.0,IT
SP.POP.TOTL,population_total,1983,56564074.0,IT
SP.POP.TOTL,population_total,1982,56543548.0,IT
SP.POP.TOTL,population_total,1981,56501675.0,IT
SP.POP.TOTL,population_total,1980,56433883.0,IT
SP.POP.TOTL,population_total,1979,56317749.0,IT
SP.POP.TOTL,population_total,1978,56155143.0,IT
SP.POP.TOTL,population_total,1977,55955411.0,IT
SP.POP.TOTL,population_total,1976,55718260.0,IT
SP.POP.TOTL,population_total,1975,55441001.0,IT
SP.POP.TOTL,population_total,1974,55110868.0,IT
SP.POP.TOTL,population_total,1973,54751406.0,IT
SP.POP.TOTL,population_total,1972,54381345.0,IT
