year,value
2025,
2024,83.9512195121951
2023,83.3512195121951
2022,82.7
2021,82.6463414634146
2020,82.1951219512195
2019,83.4975609756098
2018,83.3463414634146
2017,82.9463414634147
2016,83.2439024390244
2015,82.5439024390244
2014,83.090243902439
2013,82.690243902439
2012,82.2390243902439
2011,82.1878048780488
2010,82.0365853658537
2009,81.6365853658537
2008,81.4853658536585
2007,81.4341463414634
2006,81.2829268292683
2005,80.7829268292683
2004,80.7804878048781
2003,79.9829268292683
2002,80.2292682926829
2001,80.1268292682927
2000,79.7780487804878
1999,79.4243902439024
1998,78.9756097560976
1997,78.8243902439024
1996,78.5219512195122
1995,78.1707317073171
1994,77.9219512195122
1993,77.7219512195122
1992,77.419512195122
1991,77.0195121951219
1990,76.9707317073171
1989,76.819512195122
1988,76.3707317073171
1987,76.219512195122
1986,75.7707317073171
1985,75.4707317073171
1984,75.389512195122
1983,74.640243902439
1982,74.8146341463415
1981,74.3539024390244
1980,73.9431707317073
1979,74.0026829268293
1978,73.6931707317073
1977,73.3646341463415
1976,72.9919512195122
1975,72.6473170731708
1974,72.7343902439025
1973,72.0263414634146
1972,72.0753658536586
1971,71.8068292682927
1970,71.5587804878049
1969,70.8119512195122
1968,70.78
1967,70.9565853658537
1966,70.9260975609756
1965,70.1717073170732
1964,70.3117073170732
1963,69.2480487804878
1962,69.149756097561
1961,69.760243902439
1960,69.1239024390244
