year,value
2025,
2024,
2023,199.459678073854
2022,199.559268903016
2021,199.965416259464
2020,200.999100491348
2019,201.980545589195
2018,202.480812801385
2017,202.903617635721
2016,203.285640373599
2015,203.672434549131
2014,203.980505075782
2013,203.949752805037
2012,203.542723134878
2011,202.986767799052
2010,202.285308976795
2009,201.392725501999
2008,200.22853191216
2007,198.690127080529
2006,197.484972169432
2005,196.6964540542
2004,195.55177229658
2003,194.101082788332
2002,193.054951000615
2001,192.673361107542
2000,192.555434569421
1999,193.520509333243
1998,193.487960286967
1997,193.432294039645
1996,193.329981979531
1995,193.27565536704
1994,193.272585087212
1993,193.233215463602
1992,193.115116793037
1991,192.983988983714
1990,192.850430111183
1989,192.689065315698
1988,192.544585359219
1987,192.451569140798
1986,192.431930230186
1985,192.421444357553
1984,192.365842711911
1983,192.322851994152
1982,192.253061779606
1981,192.110689877937
1980,191.880191084968
1979,191.485325218456
1978,190.932450443712
1977,190.253343986944
1976,189.44700962225
1975,188.504304511917
1974,187.381823127401
1973,186.159620550134
1972,184.901380435891
1971,183.854646220802
1970,182.999047975247
1969,182.033762877835
1968,181.00625616266
1967,179.86637652579
1966,178.569242800313
1965,177.186596851518
1964,175.700758219714
1963,174.261330794601
1962,172.994627860324
1961,171.828057529496
1960,
