year,value
2025,-0.0628633523365352
2024,-0.0534387378437725
2023,-0.0499178457490556
2022,-0.20230086688254
2021,-0.515599998844444
2020,-0.487095091717782
2019,-0.247712826621699
2018,-0.208594586223998
2017,-0.188100912559894
2016,-0.190090486385849
2015,-0.151143561276007
2014,0.0150772197985246
2013,0.199772918304074
2012,0.273513088134657
2011,0.346167211080488
2010,0.442226157086815
2009,0.579748620940622
2008,0.771291301351719
2007,0.608396959196212
2006,0.400079310970985
2005,0.583653375692943
2004,0.744609563112575
2003,0.540420007681938
2002,0.197854295667482
2001,0.0612241572425483
2000,0.045303631138613
1999,0.0168208444553697
1998,0.0287740158774372
1997,0.05290695026061
1996,0.0281044080072756
1995,0.00158856230917393
1994,0.0203720739457194
1993,0.061135853002924
1992,0.0679244330808808
1991,0.0692311889532843
1990,0.0837085729587984
1989,0.0750090045352437
1988,0.0483205970471755
1987,0.0102051195547741
1986,0.00544928189677628
1985,0.0288999392122477
1984,0.0223509131041464
1983,0.0362946366697159
1982,0.0740818599916188
1981,0.12005432007943
1980,0.20599975185947
1979,0.289147207649738
1978,0.356312950366128
1977,0.424722057350148
1976,0.498851058340731
1975,0.597247218554801
1974,0.654388935648374
1973,0.678187647585975
1972,0.567712498645759
1971,0.466452872314018
1970,0.528877031717835
1969,0.56605850865814
1968,0.631737252752781
1967,0.723778172767654
1966,0.77730440730804
1965,0.842108616866269
1964,0.822623699867765
1963,0.729553242231653
1962,0.676622989670017
1961,0.668382874410405
1960,
