DATE,VALUE
1990-01-28,19.717707
1990-02-28,56.769324
1990-03-28,79.965359
1990-04-28,82.393395
1990-05-28,51.648405
1990-06-28,38.768756
1990-07-28,37.060575
1990-08-28,116.30569
1990-09-28,67.73208
1990-10-28,22.929851
1990-11-28,34.296173
1990-12-28,35.644288
1991-01-28,120.96235
1991-02-28,41.597934
1991-03-28,99.458291
1991-04-28,81.918241
1991-05-28,54.371909
1991-06-28,67.842325
1991-07-28,64.076289
1991-08-28,48.651621
1991-09-28,45.727876
1991-10-28,74.549652
1991-11-28,133.64727
1991-12-28,59.579519
1992-01-28,64.353782
1992-02-28,86.443585
1992-03-28,161.79414
1992-04-28,47.224527
1992-05-28,91.389313
1992-06-28,128.07648
1992-07-28,102.63381
1992-08-28,66.859658
1992-09-28,87.807938
1992-10-28,93.849483
1992-11-28,40.745529
1992-12-28,79.683337
1993-01-28,106.83641
1993-02-28,102.0386
1993-03-28,87.381812
1993-04-28,115.43931
1993-05-28,94.969449
1993-06-28,120.62745
1993-07-28,64.014147
1993-08-28,108.19722
1993-09-28,85.717589
1993-10-28,48.428208
1993-11-28,92.818331
1993-12-28,63.32826
1994-01-28,78.949951
1994-02-28,84.106003
1994-03-28,74.927471
1994-04-28,46.071666
1994-05-28,82.18096
1994-06-28,79.520994
1994-07-28,11.847556
1994-08-28,62.407936
1994-09-28,113.98409
1994-10-28,45.005766
1994-11-28,47.404012
1994-12-28,131.0304
1995-01-28,76.55562
1995-02-28,66.756076
1995-03-28,109.75047
1995-04-28,74.104092
1995-05-28,46.438777
1995-06-28,49.785218
1995-07-28,53.303095
1995-08-28,94.387818
1995-09-28,75.978874
1995-10-28,54.24017
1995-11-28,54.298122
1995-12-28,125.33015
1996-01-28,94.023355
1996-02-28,54.269526
1996-03-28,38.73482
1996-04-28,32.820892
1996-05-28,50.131677
1996-06-28,99.449368
1996-07-28,60.066525
1996-08-28,94.314569
1996-09-28,35.263534
1996-10-28,12.712732
1996-11-28,61.971299
1996-12-28,87.037837
1997-01-28,53.720203
1997-02-28,79.550102
1997-03-28,21.416553
1997-04-28,52.345113
1997-05-28,59.254095
1997-06-28,56.840103
1997-07-28,73.758545
1997-08-28,56.858613
1997-09-28,49.866861
1997-10-28,142.11893
1997-11-28,133.28817
1997-12-28,143.61825
1998-01-28,17.426658
1998-02-28,65.883073
1998-03-28,53.645817
1998-04-28,52.9319
1998-05-28,73.923367
1998-06-28,46.410233
1998-07-28,22.399548
1998-08-28,62.892895
1998-09-28,80.829633
1998-10-28,85.092927
1998-11-28,56.369759
1998-12-28,62.238816
1999-01-28,49.080352
1999-02-28,70.890705
1999-03-28,40.071605
1999-04-28,69.576016
1999-05-28,116.05976
1999-06-28,47.555637
1999-07-28,95.929615
1999-08-28,121.31958
1999-09-28,132.81905
1999-10-28,52.325064
1999-11-28,81.728707
1999-12-28,71.539826
2000-01-28,144.09456
2000-02-28,61.011779
2000-03-28,49.166245
2000-04-28,104.11517
2000-05-28,91.300072
2000-06-28,143.53424
2000-07-28,113.98493
2000-08-28,80.549096
2000-09-28,72.909506
2000-10-28,98.116522
2000-11-28,89.821584
2000-12-28,125.22179
2001-01-28,229.26648
2001-02-28,81.053514
2001-03-28,44.172
2001-04-28,126.0462
2001-05-28,310.2353
2001-06-28,80.257241
2001-07-28,127.92107
2001-08-28,140.62288
2001-09-28,113.67918
2001-10-28,73.024043
2001-11-28,101.54316
2001-12-28,84.692893
2002-01-28,127.2285
2002-02-28,87.206817
2002-03-28,99.387804
2002-04-28,114.59707
2002-05-28,89.649345
2002-06-28,84.875427
2002-07-28,89.611624
2002-08-28,55.749256
2002-09-28,65.35113
2002-10-28,87.412774
2002-11-28,103.42129
2002-12-28,73.253391
2003-01-28,63.294105
2003-02-28,68.732088
2003-03-28,96.986327
2003-04-28,68.69397
2003-05-28,60.965471
2003-06-28,87.709838
2003-07-28,78.679288
2003-08-28,133.17342
2003-09-28,95.708508
2003-10-28,75.431706
2003-11-28,117.26764
2003-12-28,89.007106
2004-01-28,88.745877
2004-02-28,86.611418
2004-03-28,55.517961
2004-04-28,72.009493
2004-05-28,83.819862
2004-06-28,77.570802
2004-07-28,68.863133
2004-08-28,111.35768
2004-09-28,67.138007
2004-10-28,88.916589
2004-11-28,97.750611
2004-12-28,65.566544
2005-01-28,62.813783
2005-02-28,94.781058
2005-03-28,66.088453
2005-04-28,79.294986
2005-05-28,65.020994
2005-06-28,117.98848
2005-07-28,121.98483
2005-08-28,85.416657
2005-09-28,94.856525
2005-10-28,97.789163
2005-11-28,63.679667
2005-12-28,82.221502
2006-01-28,83.804236
2006-02-28,76.244067
2006-03-28,66.460166
2006-04-28,87.90956
2006-05-28,112.3591
2006-06-28,80.905246
2006-07-28,76.857437
2006-08-28,88.826397
2006-09-28,60.506188
2006-10-28,100.78735
2006-11-28,95.832686
2006-12-28,90.685127
2007-01-28,187.4993
2007-02-28,99.172963
2007-03-28,97.341587
2007-04-28,125.75758
2007-05-28,106.71418
2007-06-28,129.4855
2007-07-28,92.517994
2007-08-28,100.05525
2007-09-28,68.481692
2007-10-28,69.085049
2007-11-28,92.805498
2007-12-28,149.88541
2008-01-28,127.55478
2008-02-28,77.650977
2008-03-28,72.068544
2008-04-28,132.60295
2008-05-28,112.41404
2008-06-28,116.69993
2008-07-28,101.30831
2008-08-28,148.26823
2008-09-28,123.99851
2008-10-28,149.63461
2008-11-28,139.60891
2008-12-28,153.93689
2009-01-28,135.84858
2009-02-28,175.95865
2009-03-28,124.24781
2009-04-28,118.70346
2009-05-28,113.39648
2009-06-28,115.60087
2009-07-28,127.71621
2009-08-28,81.545794
2009-09-28,106.47879
2009-10-28,83.168219
2009-11-28,147.45538
2009-12-28,181.75109
2010-01-28,158.27309
2010-02-28,150.72919
2010-03-28,99.067842
2010-04-28,135.83267
2010-05-28,162.20095
2010-06-28,190.54432
2010-07-28,156.53489
2010-08-28,115.22784
2010-09-28,141.5563
2010-10-28,117.40342
2010-11-28,124.62045
2010-12-28,124.58682
2011-01-28,136.01399
2011-02-28,89.824901
2011-03-28,123.15052
2011-04-28,108.72225
2011-05-28,84.938943
2011-06-28,92.774627
2011-07-28,89.154605
2011-08-28,100.3846
2011-09-28,139.99495
2011-10-28,117.28112
2011-11-28,79.928116
2011-12-28,118.10554
2012-01-28,84.623912
2012-02-28,75.793588
2012-03-28,86.787618
2012-04-28,52.8068
2012-05-28,67.850761
2012-06-28,85.320036
2012-07-28,68.020377
2012-08-28,80.04998
2012-09-28,91.935452
2012-10-28,110.42925
2012-11-28,117.63319
2012-12-28,85.165925
2013-01-28,97.093252
2013-02-28,77.169784
2013-03-28,84.825625
2013-04-28,70.569726
2013-05-28,66.802464
2013-06-28,88.671174
2013-07-28,61.660285
2013-08-28,51.420516
2013-09-28,82.818846
2013-10-28,104.93953
2013-11-28,97.677321
2013-12-28,71.147091
2014-01-28,97.779139
2014-02-28,60.139637
2014-03-28,85.603467
2014-04-28,66.343265
2014-05-28,121.01365
2014-06-28,78.008006
2014-07-28,60.657736
2014-08-28,75.994745
2014-09-28,84.864861
2014-10-28,72.506755
2014-11-28,151.08465
2014-12-28,92.801722
2015-01-28,134.60931
2015-02-28,70.670735
