DATE,VALUE
2021-07-07,26.025
2021-07-08,25.875
2021-07-09,26.424999
2021-07-12,26.385
2021-07-13,26.184999
2021-07-14,25.405001
2021-07-15,25.049999
2021-07-16,24.34
2021-07-19,23.48
2021-07-20,23.795
2021-07-21,24.625
2021-07-22,24.35
2021-07-23,24.26
2021-07-26,24.860001
2021-07-27,24.629999
2021-07-28,24.855
2021-07-29,25.094999
2021-07-30,24.695
2021-08-02,24.51
2021-08-03,24.93
2021-08-04,24.254999
2021-08-05,24.530001
2021-08-06,24.754999
2021-08-09,24.405001
2021-08-10,24.834999
2021-08-11,25.030001
2021-08-12,25.004999
2021-08-13,24.709999
2021-08-16,24.254999
2021-08-17,24.004999
2021-08-18,23.504999
2021-08-19,22.895
2021-08-20,22.945
2021-08-23,23.805
2021-08-24,24.200001
2021-08-25,24.385
2021-08-26,24.014999
2021-08-27,24.655001
2021-08-30,24.365
2021-08-31,24.200001
2021-09-01,23.844999
2021-09-02,24.450001
2021-09-03,24.309999
2021-09-07,24.165001
2021-09-08,23.855
2021-09-09,23.905001
2021-09-10,23.895
2021-09-13,24.58
2021-09-14,24.225
2021-09-15,25.129999
2021-09-16,24.844999
2021-09-17,24.66
2021-09-20,23.620001
2021-09-21,23.674999
2021-09-22,24.405001
2021-09-23,25.26
2021-09-24,25.450001
2021-09-27,26.355
2021-09-28,26.445
2021-09-29,26.445
2021-09-30,26.045
2021-10-01,26.92
2021-10-04,27.360001
2021-10-05,27.52
2021-10-06,27.23
2021-10-07,27.440001
2021-10-08,28.285
2021-10-11,28.18
2021-10-12,28.205
2021-10-13,28.18
2021-10-14,28.525
2021-10-15,28.665001
2021-10-18,28.684999
2021-10-19,29.01
2021-10-20,29.245001
2021-10-21,28.705
2021-10-22,28.975
2021-10-25,29.4
2021-10-26,29.57
2021-10-27,28.719999
2021-10-28,28.924999
2021-10-29,28.735001
2021-11-01,29.23
2021-11-02,28.955
2021-11-03,28.715
2021-11-04,28.754999
2021-11-05,29.129999
2021-11-08,29.395
2021-11-09,29.514999
2021-11-10,28.735001
2021-11-11,28.844999
2021-11-12,28.775
2021-11-15,29.014999
2021-11-16,29.059999
2021-11-17,28.615
2021-11-18,28.445
2021-11-19,27.334999
2021-11-22,27.82
2021-11-23,28.674999
2021-11-24,28.955
2021-11-26,27.790001
2021-11-29,27.950001
2021-11-30,27.295
2021-12-01,27.004999
2021-12-02,27.790001
2021-12-03,27.57
2021-12-06,27.98
2021-12-07,28.635
2021-12-08,28.629999
2021-12-09,28.41
2021-12-10,28.620001
2021-12-13,27.825001
2021-12-14,27.709999
2021-12-15,27.575001
2021-12-16,27.75
2021-12-17,27.184999
2021-12-20,26.504999
2021-12-21,27.26
2021-12-22,27.434999
2021-12-23,27.450001
2021-12-27,28.049999
2021-12-28,28.030001
2021-12-29,27.85
2021-12-30,27.68
2021-12-31,27.75
2022-01-03,28.610001
2022-01-04,29.6
2022-01-05,29.594999
2022-01-06,30.254999
2022-01-07,30.67
2022-01-10,30.575001
2022-01-11,31.615
2022-01-12,31.674999
2022-01-13,31.514999
2022-01-14,32.255001
2022-01-18,32.384998
2022-01-19,32.150002
2022-01-20,31.855
2022-01-21,31.225
2022-01-24,31.434999
2022-01-25,32.654999
2022-01-26,32.599998
2022-01-27,32.955002
2022-01-28,32.814999
2022-01-31,32.959999
2022-02-01,34.134998
2022-02-02,34.244999
2022-02-03,33.919998
2022-02-04,34.450001
2022-02-07,34.889999
2022-02-08,34.139999
2022-02-09,34.424999
2022-02-10,34.209999
2022-02-11,35.205002
2022-02-14,34.375
2022-02-15,34.014999
2022-02-16,34.290001
2022-02-17,34.235001
2022-02-18,34.025002
2022-02-22,33.474998
2022-02-23,33.82
2022-02-24,33.555
2022-02-25,34.439999
2022-02-28,35.290001
2022-03-01,35.645
2022-03-02,36.459999
2022-03-03,36.560001
2022-03-04,37.615002
2022-03-07,38.169998
2022-03-08,38.77
2022-03-09,37.584999
2022-03-10,38.735001
2022-03-11,38.424999
2022-03-14,37.275002
2022-03-15,35.91
2022-03-16,35.744999
2022-03-17,36.974998
2022-03-18,36.939999
2022-03-21,38.064999
2022-03-22,37.785
2022-03-23,38.435001
2022-03-24,38.529999
2022-03-25,39.375
2022-03-28,38.400002
2022-03-29,38.299999
2022-03-30,38.744999
2022-03-31,38.220001
2022-04-01,38.529999
2022-04-04,38.580002
2022-04-05,37.974998
2022-04-06,38.200001
2022-04-07,38.700001
2022-04-08,39.764999
2022-04-11,38.57
2022-04-12,39.209999
2022-04-13,39.794998
2022-04-14,39.924999
2022-04-18,40.509998
2022-04-19,40.18
2022-04-20,40.334999
2022-04-21,39.055
2022-04-22,38.099998
2022-04-25,36.84
2022-04-26,36.889999
2022-04-27,37.43
2022-04-28,38.564999
2022-04-29,37.575001
2022-05-02,38.174999
2022-05-03,39.244999
2022-05-04,40.875
2022-05-05,40.259998
2022-05-06,41.459999
2022-05-09,38.029999
2022-05-10,38.375
2022-05-11,38.889999
2022-05-12,39.055
2022-05-13,40.389999
2022-05-16,41.455002
2022-05-17,41.935001
2022-05-18,40.860001
2022-05-19,40.709999
2022-05-20,40.884998
2022-05-23,41.965
2022-05-24,42.125
2022-05-25,42.994999
2022-05-26,43.470001
2022-05-27,44.264999
2022-05-31,43.599998
2022-06-01,44.310001
2022-06-02,44.169998
2022-06-03,44.755001
2022-06-06,44.705002
2022-06-07,46.040001
2022-06-08,46.139999
2022-06-09,45.119999
2022-06-10,44.355
2022-06-13,42.040001
2022-06-14,42.119999
2022-06-15,41.189999
2022-06-16,38.869999
2022-06-17,36.744999
2022-06-21,38.220001
2022-06-22,36.689999
2022-06-23,35.330002
2022-06-24,35.794998
2022-06-27,36.845001
2022-06-28,37.84
2022-06-29,36.525002
2022-06-30,35.755001
2022-07-01,36.290001
2022-07-05,34.849998
2022-07-06,34.255001
2022-07-07,35.490002
2022-07-08,35.474998
2022-07-11,35.134998
2022-07-12,34.450001
2022-07-13,34.395
2022-07-14,33.744999
2022-07-15,34.294998
2022-07-18,35.080002
2022-07-19,36.16
2022-07-20,36.509998
2022-07-21,35.869999
2022-07-22,35.575001
2022-07-25,36.880001
2022-07-26,36.544998
