DATE,VALUE
2021-07-07,35.650002
2021-07-08,35.490002
2021-07-09,36.130001
2021-07-12,34.869999
2021-07-13,35.389999
2021-07-14,35.400002
2021-07-15,35.52
2021-07-16,35.619999
2021-07-19,34.93
2021-07-20,34.5
2021-07-21,34.810001
2021-07-22,33.860001
2021-07-23,34.32
2021-07-26,35.450001
2021-07-27,35.279999
2021-07-28,35.75
2021-07-29,35.98
2021-07-30,35.48
2021-08-02,36.139999
2021-08-03,36.259998
2021-08-04,36.740002
2021-08-05,37.139999
2021-08-06,37.25
2021-08-09,37.220001
2021-08-10,37.380001
2021-08-11,37.950001
2021-08-12,36.990002
2021-08-13,36.66
2021-08-16,38.23
2021-08-17,37.459999
2021-08-18,37.279999
2021-08-19,35.68
2021-08-20,35.77
2021-08-23,36.310001
2021-08-24,37.049999
2021-08-25,37.099998
2021-08-26,37.610001
2021-08-27,39.369999
2021-08-30,39.919998
2021-08-31,39.84
2021-09-01,39.540001
2021-09-02,40.16
2021-09-03,40.509998
2021-09-07,40.700001
2021-09-08,40.82
2021-09-09,40.599998
2021-09-10,39.93
2021-09-13,39.950001
2021-09-14,39.299999
2021-09-15,39.66
2021-09-16,39.459999
2021-09-17,39.59
2021-09-20,39.880001
2021-09-21,39.73
2021-09-22,39.93
2021-09-23,39.939999
2021-09-24,41.779999
2021-09-27,42.419998
2021-09-28,41.130001
2021-09-29,41.209999
2021-09-30,41.09
2021-10-01,42.119999
2021-10-04,42.490002
2021-10-05,42.970001
2021-10-06,40.529999
2021-10-07,40.619999
2021-10-08,39.099998
2021-10-11,39.84
2021-10-12,40.09
2021-10-13,40.130001
2021-10-14,41.490002
2021-10-15,40.060001
2021-10-18,39.509998
2021-10-19,38.650002
2021-10-20,40
2021-10-21,40.57
2021-10-22,41.419998
2021-10-25,41.459999
2021-10-26,41.59
2021-10-27,41.389999
2021-10-28,41.049999
2021-10-29,40.849998
2021-11-01,40.43
2021-11-02,41.860001
2021-11-03,41.93
2021-11-04,41.75
2021-11-05,41.669998
2021-11-08,42.450001
2021-11-09,42.509998
2021-11-10,43.779999
2021-11-11,44.290001
2021-11-12,44.240002
2021-11-15,45.810001
2021-11-16,46.040001
2021-11-17,45.599998
2021-11-18,46.790001
2021-11-19,47.080002
2021-11-22,46.82
2021-11-23,46.459999
2021-11-24,46.299999
2021-11-26,46.869999
2021-11-29,47.650002
2021-11-30,47.830002
2021-12-01,48.459999
2021-12-02,48.369999
2021-12-03,47.91
2021-12-06,50.029999
2021-12-07,51.849998
2021-12-08,54.740002
2021-12-09,50.330002
2021-12-10,51.580002
2021-12-13,50.110001
2021-12-14,49.290001
2021-12-15,50.130001
2021-12-16,51.93
2021-12-17,46.970001
2021-12-20,49.619999
2021-12-21,49.150002
2021-12-22,49
2021-12-23,47.810001
2021-12-27,48.73
2021-12-28,49.700001
2021-12-29,50.380001
2021-12-30,50.189999
2021-12-31,50.900002
2022-01-03,52.470001
2022-01-04,53.099998
2022-01-05,53.880001
2022-01-06,52.93
2022-01-07,52.400002
2022-01-10,50.32
2022-01-11,50.419998
2022-01-12,50.049999
2022-01-13,50.689999
2022-01-14,51.16
2022-01-18,50.810001
2022-01-19,49.84
2022-01-20,51.41
2022-01-21,50.75
2022-01-24,49.560001
2022-01-25,51.189999
2022-01-26,51.310001
2022-01-27,51.470001
2022-01-28,51.700001
2022-01-31,52.119999
2022-02-01,52.189999
2022-02-02,54.790001
2022-02-03,54.950001
2022-02-04,55.990002
2022-02-07,55.400002
2022-02-08,55.349998
2022-02-09,53.299999
2022-02-10,52.900002
2022-02-11,53.34
2022-02-14,52.439999
2022-02-15,51.939999
2022-02-16,51.799999
2022-02-17,50.490002
2022-02-18,51.75
2022-02-22,51.799999
2022-02-23,53.700001
2022-02-24,51.150002
2022-02-25,51.77
2022-02-28,49
2022-03-01,42.59
2022-03-02,42.080002
2022-03-03,40.5
2022-03-04,39.91
2022-03-07,35.599998
2022-03-08,39.939999
2022-03-09,43.110001
2022-03-10,44.060001
2022-03-11,44.830002
2022-03-14,45.130001
2022-03-15,45.599998
2022-03-16,46.279999
2022-03-17,46.900002
2022-03-18,46.349998
2022-03-21,45.849998
2022-03-22,46.57
2022-03-23,45.110001
2022-03-24,46
2022-03-25,46.130001
2022-03-28,47.220001
2022-03-29,48.68
2022-03-30,47.57
2022-03-31,46.66
2022-04-01,47.27
2022-04-04,47.619999
2022-04-05,47.139999
2022-04-06,46.73
2022-04-07,47.849998
2022-04-08,48.16
2022-04-11,47.110001
2022-04-12,47.389999
2022-04-13,47.23
2022-04-14,47.720001
2022-04-18,47.209999
2022-04-19,47.419998
2022-04-20,50.080002
2022-04-21,50.130001
2022-04-22,50.630001
2022-04-25,48.060001
2022-04-26,47.220001
2022-04-27,46.549999
2022-04-28,47.150002
2022-04-29,47.400002
2022-05-02,46.830002
2022-05-03,49.110001
2022-05-04,49.389999
2022-05-05,49.240002
2022-05-06,50.299999
2022-05-09,48.200001
2022-05-10,48.93
2022-05-11,48.880001
2022-05-12,47.98
2022-05-13,48.360001
2022-05-16,49.299999
2022-05-17,49.75
2022-05-18,47.5
2022-05-19,47.27
2022-05-20,46.330002
2022-05-23,46.27
2022-05-24,47.360001
2022-05-25,47.580002
2022-05-26,49.16
2022-05-27,48.970001
2022-05-31,49.169998
2022-06-01,49.84
2022-06-02,50.220001
2022-06-03,50.240002
2022-06-06,48.43
2022-06-07,47.91
2022-06-08,48
2022-06-09,47.650002
2022-06-10,47.939999
2022-06-13,46.669998
2022-06-14,47.07
2022-06-15,48.150002
2022-06-16,47.200001
2022-06-17,46.580002
2022-06-21,47.68
2022-06-22,46.360001
2022-06-23,46.73
2022-06-24,46.810001
2022-06-27,46.970001
2022-06-28,48.130001
2022-06-29,48.27
2022-06-30,49.23
2022-07-01,48.369999
2022-07-05,46.43
2022-07-06,46.529999
2022-07-07,46.880001
2022-07-08,46.41
2022-07-11,46.240002
2022-07-12,46.48
2022-07-13,45.639999
2022-07-14,45.389999
2022-07-15,45.779999
2022-07-18,45.540001
2022-07-19,45.900002
2022-07-20,43.689999
2022-07-21,43.790001
2022-07-22,42.709999
2022-07-25,42.939999
2022-07-26,42.509998
2022-07-27,43.09
2022-07-28,43.830002
2022-07-29,44.040001
2022-08-01,45.009998
2022-08-02,45.509998
2022-08-03,46.52
2022-08-04,46.82
2022-08-05,46.959999
2022-08-08,46.91
2022-08-09,47.860001
2022-08-10,48.77
2022-08-11,49.299999
2022-08-12,49.639999
2022-08-15,49.599998
2022-08-16,50.110001
2022-08-17,51.599998
2022-08-18,51.560001
2022-08-19,51.650002
2022-08-22,49.259998
2022-08-23,48.450001
2022-08-24,47.450001
2022-08-25,46.860001
2022-08-26,47.299999
2022-08-29,45.830002
2022-08-30,43.889999
2022-08-31,43.77
2022-09-01,43.509998
2022-09-02,42.830002
2022-09-06,39.740002
2022-09-07,39.689999
2022-09-08,38.599998
2022-09-09,38.580002
