DATE,VALUE
2009-01-03,4.971027e-08
2009-01-07,0
2009-01-11,5.2692886e-06
2009-01-15,6.3132042e-06
2009-01-19,5.9155221e-06
2009-01-23,3.3305881e-06
2009-01-27,5.1201578e-06
2009-01-31,6.4126248e-06
2009-02-04,6.1143632e-06
2009-02-08,6.6611761e-06
2009-02-12,5.8658118e-06
2009-02-16,6.1143632e-06
2009-02-20,6.3629145e-06
2009-02-24,5.5178399e-06
2009-02-28,5.0704475e-06
2009-03-04,5.2692886e-06
2009-03-08,5.5675502e-06
2009-03-12,5.8658118e-06
2009-03-16,6.4623351e-06
2009-03-20,5.8658118e-06
2009-03-24,5.2195783e-06
2009-03-28,5.9155221e-06
2009-04-01,5.3189989e-06
2009-04-05,6.4126248e-06
2009-04-09,4.9213167e-06
2009-04-13,5.716681e-06
2009-04-17,5.716681e-06
2009-04-21,6.1143632e-06
2009-04-25,6.0646529e-06
2009-04-29,6.1143632e-06
2009-05-03,5.6669707e-06
2009-05-07,6.0149426e-06
2009-05-11,5.9155221e-06
2009-05-15,7.1085686e-06
2009-05-19,4.971027e-06
2009-05-23,3.4797189e-07
2009-05-27,6.2137837e-06
2009-05-31,5.8658118e-06
2009-06-04,1.9387005e-06
2009-06-08,3.5791394e-06
2009-06-12,4.5236345e-06
2009-06-16,3.6288497e-06
2009-06-20,4.1756626e-06
2009-06-24,4.2253729e-06
2009-06-28,2.5352238e-06
2009-07-02,3.5791394e-06
2009-07-06,4.5236345e-06
2009-07-10,4.0762421e-06
2009-07-14,3.5791394e-06
2009-07-18,1.4913081e-07
2009-07-22,3.4300086e-06
2009-07-26,6.4623351e-07
2009-07-30,6.9594377e-07
2009-08-03,7.4565404e-07
2009-08-07,3.67856e-06
2009-08-11,3.3305881e-06
2009-08-15,1.6901492e-06
2009-08-19,7.4565404e-07
2009-08-23,5.9652324e-07
2009-08-27,1.4913081e-06
2009-08-31,4.6727653e-06
2009-09-04,3.131747e-06
2009-09-08,3.2808778e-06
2009-09-12,3.5294291e-06
2009-09-16,2.8831956e-06
2009-09-20,3.9271113e-06
2009-09-24,4.0762421e-06
2009-09-28,4.3745037e-06
2009-10-02,3.7282702e-06
2009-10-06,2.0381211e-06
2009-10-10,3.8276908e-06
2009-10-14,2.7837751e-06
2009-10-18,3.1814573e-06
2009-10-22,4.2750832e-06
2009-10-26,3.2311675e-06
2009-10-30,3.0323264e-06
2009-11-03,2.8334854e-06
2009-11-07,3.7779805e-06
2009-11-11,3.4300086e-06
2009-11-15,4.7721859e-06
2009-11-19,3.6288497e-06
2009-11-23,4.7721859e-06
2009-11-27,3.7282702e-06
2009-12-01,3.2808778e-06
2009-12-05,2.584934e-06
2009-12-09,4.6727653e-06
2009-12-13,5.169868e-06
2009-12-17,8.0033534e-06
2009-12-21,9.2958204e-06
2009-12-25,7.8045123e-06
2009-12-29,8.1524842e-06
2010-01-02,7.6442931e-06
2010-01-06,9.2907563e-06
2010-01-10,1.1231231e-05
2010-01-14,1.0250248e-05
2010-01-18,8.4337488e-06
2010-01-22,9.7312486e-06
2010-01-26,1.3498001e-05
2010-01-30,1.2027921e-05
2010-02-03,1.6237694e-05
2010-02-07,1.871394e-05
2010-02-11,1.6092181e-05
2010-02-15,2.3246091e-05
2010-02-19,2.2492164e-05
2010-02-23,3.1539292e-05
2010-02-27,3.2517675e-05
2010-03-03,2.7818589e-05
2010-03-07,3.2517675e-05
2010-03-11,3.2885229e-05
2010-03-15,2.7929921e-05
2010-03-19,2.9957092e-05
2010-03-23,4.6521773e-05
2010-03-27,3.9486773e-05
2010-03-31,4.6975644e-05
2010-04-04,5.0216776e-05
2010-04-08,5.8989586e-05
2010-04-12,8.4353155e-05
2010-04-16,7.8522292e-05
2010-04-20,7.9688464e-05
2010-04-24,8.3774452e-05
2010-04-28,9.973149e-05
2010-05-02,9.6882019e-05
2010-05-06,9.644919e-05
2010-05-10,8.7506881e-05
2010-05-14,7.6648363e-05
2010-05-18,0.00010730771
2010-05-22,0.00011306481
2010-05-26,0.00012484239
2010-05-30,0.00012474697
2010-06-03,0.00012970381
2010-06-07,0.00012887767
2010-06-11,0.00013879133
2010-06-15,0.00016935154
2010-06-19,0.00013651808
2010-06-23,0.00014775058
2010-06-27,0.00015337421
2010-07-01,0.00020064047
2010-07-05,0.00016977271
2010-07-09,0.00022079997
2010-07-13,0.0016785693
2010-07-17,0.0016514956
